generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	859649682		0.780331	0.584228	0.753198	3	15.340000	0.979030	0.790593	0.592359	5	15.337000	0.465314	25	25	50
1	412414262		0.839555	0.513899	0.987677	2	14.710000	0.608543	0.306096	0.722183	5	15.337000				
2	874099379		0.742642	0.385794	0.672838	2	14.710000	0.859039	0.318619	1.126526	5	15.337000				
3	583699595		0.700285	0.430955	1.901232	10	15.340000	0.884257	0.424780	0.280133	5	15.337000				
4	747938588		0.554729	0.489342	1.526084	4	15.340000	0.599660	0.308504	0.744746	5	15.337000				
5	527741380		0.584540	0.474963	1.882790	10	15.340000	0.822758	0.397935	0.234544	5	15.337000	0.358620	5	45	50
6	448560768		0.536687	0.470214	1.655677	4	15.340000	0.636287	0.287410	0.450643	5	15.337000				
7	1526498196		0.576902	0.474095	1.654367	10	15.340000	0.749061	0.468622	0.245876	5	15.337000				
8	217366341		0.543483	0.448970	1.389829	4	15.340000	0.798205	0.347634	0.153882	5	15.337000				
9	413352907		0.580131	0.418282	1.475687	4	15.340000	0.905647	0.333545	0.108283	5	15.337000				
10	1993655272		0.886916	0.393750	0.190109	4	15.340000	0.818035	0.362133	0.272299	5	15.337000	0.328563	4	46	50
11	1875342929		0.700821	0.436658	0.558015	4	15.340000	0.799679	0.467538	0.290005	5	15.337000				
12	1227361894		0.764897	0.495002	0.643941	4	15.340000	0.909086	0.494924	0.124269	5	15.337000				
13	1467590835		0.586432	0.394488	1.180964	4	15.340000	0.874268	0.395192	0.108047	5	15.337000				
14	1546778903		0.615047	0.445125	2.008837	8	15.340000	0.766628	0.424347	0.099309	5	15.337000				
15	2134353139		0.768147	0.515452	0.606327	4	15.340000	0.719463	0.388919	0.213490	5	15.337000	0.361251	11	39	50
16	947900323		0.687925	0.459747	2.059224	6	15.340000	0.754314	0.456015	0.238555	5	15.337000				
17	301464341		0.703025	0.520121	1.056919	4	15.340000	0.997003	0.530252	0.128816	5	15.337000				
18	2138575730		0.739042	0.480947	1.062322	6	15.340000	0.967192	0.590185	0.167202	5	15.337000				
19	1859557624		0.717667	0.463465	0.388686	2	15.340000	0.796657	0.451938	0.138573	5	15.337000				
