# RBT-106 no-selection baseline, seed 807, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	600	1.0000	1.0000	51.7377	0.0019
1	600	562	0.9367	0.9511	473	0.7883	0.8144	454	0.7567	0.7843	45.7611	0.0000
2	600	518	0.8633	0.8848	368	0.6133	0.6455	326	0.5433	0.5765	30.6389	0.0000
3	600	485	0.8083	0.8334	300	0.5000	0.5335	244	0.4067	0.4400	12.4280	0.0000
4	600	440	0.7333	0.7619	245	0.4083	0.4417	195	0.3250	0.3572	3.3484	0.0000
5	600	398	0.6633	0.6943	189	0.3150	0.3470	142	0.2367	0.2664	0.6101	0.0000
6	600	358	0.5967	0.6291	158	0.2633	0.2939	124	0.2067	0.2351	0.1535	0.0000
7	600	329	0.5483	0.5815	137	0.2283	0.2577	98	0.1633	0.1897	0.0095	0.0000
8	600	288	0.4800	0.5136	116	0.1933	0.2212	84	0.1400	0.1649	0.0000	0.0000
9	600	261	0.4350	0.4685	101	0.1683	0.1949	76	0.1267	0.1507	0.0000	0.0000
10	600	238	0.3967	0.4299	91	0.1517	0.1773	64	0.1067	0.1292	0.0000	0.0000
11	600	218	0.3633	0.3962	82	0.1367	0.1614	63	0.1050	0.1274	0.0000	0.0000
12	600	205	0.3417	0.3742	72	0.1200	0.1435	52	0.0867	0.1075	0.0000	0.0000
13	600	188	0.3133	0.3453	59	0.0983	0.1202	40	0.0667	0.0854	0.0000	0.0000
14	600	172	0.2867	0.3179	46	0.0767	0.0965	33	0.0550	0.0724	0.0000	0.0000
15	600	164	0.2733	0.3042	43	0.0717	0.0910	35	0.0583	0.0761	0.0000	0.0000
16	600	155	0.2583	0.2888	32	0.0533	0.0705	26	0.0433	0.0592	0.0000	0.0000
17	600	140	0.2333	0.2629	28	0.0467	0.0630	20	0.0333	0.0476	0.0000	0.0000
18	600	124	0.2067	0.2351	20	0.0333	0.0476	15	0.0250	0.0378	0.0000	0.0000
19	600	114	0.1900	0.2177	15	0.0250	0.0378	10	0.0167	0.0277	0.0000	0.0000
20	600	108	0.1800	0.2072	21	0.0350	0.0496	12	0.0200	0.0318	0.0000	0.0000
21	600	97	0.1617	0.1879	21	0.0350	0.0496	14	0.0233	0.0358	0.0000	0.0000
22	600	90	0.1500	0.1755	19	0.0317	0.0457	14	0.0233	0.0358	0.0000	0.0000
23	600	87	0.1450	0.1702	23	0.0383	0.0534	15	0.0250	0.0378	0.0000	0.0000
24	600	87	0.1450	0.1702	20	0.0333	0.0476	15	0.0250	0.0378	0.0000	0.0000
25	600	81	0.1350	0.1596	20	0.0333	0.0476	16	0.0267	0.0398	0.0000	0.0000
26	600	66	0.1100	0.1328	16	0.0267	0.0398	15	0.0250	0.0378	0.0000	0.0000
27	600	60	0.1000	0.1220	13	0.0217	0.0338	10	0.0167	0.0277	0.0000	0.0000
28	600	54	0.0900	0.1111	13	0.0217	0.0338	9	0.0150	0.0256	0.0000	0.0000
29	600	53	0.0883	0.1093	10	0.0167	0.0277	8	0.0133	0.0235	0.0000	0.0000
30	600	47	0.0783	0.0983	11	0.0183	0.0297	8	0.0133	0.0235	0.0000	0.0000
31	600	42	0.0700	0.0891	10	0.0167	0.0277	4	0.0067	0.0148	0.0000	0.0000
32	600	37	0.0617	0.0799	7	0.0117	0.0214	3	0.0050	0.0124	0.0000	0.0000
33	600	33	0.0550	0.0724	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
34	600	29	0.0483	0.0649	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
35	600	32	0.0533	0.0705	4	0.0067	0.0148	3	0.0050	0.0124	0.0000	0.0000
36	600	35	0.0583	0.0761	5	0.0083	0.0170	4	0.0067	0.0148	0.0000	0.0000
37	600	37	0.0617	0.0799	8	0.0133	0.0235	6	0.0100	0.0192	0.0000	0.0000
38	600	31	0.0517	0.0686	7	0.0117	0.0214	6	0.0100	0.0192	0.0000	0.0000
39	600	28	0.0467	0.0630	5	0.0083	0.0170	4	0.0067	0.0148	0.0000	0.0000
40	600	31	0.0517	0.0686	4	0.0067	0.0148	1	0.0017	0.0074	0.0000	0.0000
