# RBT-106 no-selection baseline, seed 806, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	600	1.0000	1.0000	50.5942	0.0000
1	600	550	0.9167	0.9334	467	0.7783	0.8049	443	0.7383	0.7667	44.0381	0.0000
2	600	500	0.8333	0.8569	355	0.5917	0.6242	318	0.5300	0.5633	28.1322	0.0000
3	600	455	0.7583	0.7859	285	0.4750	0.5086	253	0.4217	0.4551	8.5568	0.0000
4	600	417	0.6950	0.7250	219	0.3650	0.3979	186	0.3100	0.3419	1.1122	0.0000
5	600	382	0.6367	0.6683	190	0.3167	0.3487	151	0.2517	0.2819	0.2891	0.0000
6	600	351	0.5850	0.6176	144	0.2400	0.2698	110	0.1833	0.2107	0.0660	0.0000
7	600	326	0.5433	0.5765	122	0.2033	0.2317	91	0.1517	0.1773	0.0057	0.0000
8	600	304	0.5067	0.5401	102	0.1700	0.1967	77	0.1283	0.1525	0.0001	0.0000
9	600	269	0.4483	0.4819	85	0.1417	0.1667	65	0.1083	0.1310	0.0000	0.0000
10	600	246	0.4100	0.4434	74	0.1233	0.1471	55	0.0917	0.1129	0.0000	0.0000
11	600	220	0.3667	0.3996	60	0.1000	0.1220	43	0.0717	0.0910	0.0000	0.0000
12	600	196	0.3267	0.3589	50	0.0833	0.1038	37	0.0617	0.0799	0.0000	0.0000
13	600	185	0.3083	0.3401	47	0.0783	0.0983	29	0.0483	0.0649	0.0000	0.0000
14	600	166	0.2767	0.3077	41	0.0683	0.0873	27	0.0450	0.0611	0.0000	0.0000
15	600	154	0.2567	0.2870	42	0.0700	0.0891	31	0.0517	0.0686	0.0000	0.0000
16	600	150	0.2500	0.2802	34	0.0567	0.0743	24	0.0400	0.0554	0.0000	0.0000
17	600	138	0.2300	0.2594	30	0.0500	0.0668	23	0.0383	0.0534	0.0000	0.0000
18	600	132	0.2200	0.2490	29	0.0483	0.0649	23	0.0383	0.0534	0.0000	0.0000
19	600	112	0.1867	0.2142	25	0.0417	0.0573	21	0.0350	0.0496	0.0000	0.0000
20	600	100	0.1667	0.1932	19	0.0317	0.0457	16	0.0267	0.0398	0.0000	0.0000
21	600	89	0.1483	0.1738	22	0.0367	0.0515	16	0.0267	0.0398	0.0000	0.0000
22	600	80	0.1333	0.1578	20	0.0333	0.0476	17	0.0283	0.0418	0.0000	0.0000
23	600	78	0.1300	0.1543	15	0.0250	0.0378	10	0.0167	0.0277	0.0000	0.0000
24	600	78	0.1300	0.1543	12	0.0200	0.0318	8	0.0133	0.0235	0.0000	0.0000
25	600	66	0.1100	0.1328	14	0.0233	0.0358	11	0.0183	0.0297	0.0000	0.0000
26	600	63	0.1050	0.1274	13	0.0217	0.0338	11	0.0183	0.0297	0.0000	0.0000
27	600	64	0.1067	0.1292	15	0.0250	0.0378	12	0.0200	0.0318	0.0000	0.0000
28	600	63	0.1050	0.1274	14	0.0233	0.0358	12	0.0200	0.0318	0.0000	0.0000
29	600	60	0.1000	0.1220	12	0.0200	0.0318	9	0.0150	0.0256	0.0000	0.0000
30	600	54	0.0900	0.1111	13	0.0217	0.0338	10	0.0167	0.0277	0.0000	0.0000
31	600	50	0.0833	0.1038	12	0.0200	0.0318	9	0.0150	0.0256	0.0000	0.0000
32	600	44	0.0733	0.0928	9	0.0150	0.0256	7	0.0117	0.0214	0.0000	0.0000
33	600	35	0.0583	0.0761	7	0.0117	0.0214	6	0.0100	0.0192	0.0000	0.0000
34	600	37	0.0617	0.0799	7	0.0117	0.0214	6	0.0100	0.0192	0.0000	0.0000
35	600	33	0.0550	0.0724	7	0.0117	0.0214	7	0.0117	0.0214	0.0000	0.0000
36	600	36	0.0600	0.0780	7	0.0117	0.0214	7	0.0117	0.0214	0.0000	0.0000
37	600	34	0.0567	0.0743	7	0.0117	0.0214	7	0.0117	0.0214	0.0000	0.0000
38	600	30	0.0500	0.0668	8	0.0133	0.0235	8	0.0133	0.0235	0.0000	0.0000
39	600	27	0.0450	0.0611	6	0.0100	0.0192	5	0.0083	0.0170	0.0000	0.0000
40	600	24	0.0400	0.0554	2	0.0033	0.0100	1	0.0017	0.0074	0.0000	0.0000
