# RBT-106 no-selection baseline, seed 2, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	580	0.9667	0.9768	48.7333	0.0000
1	600	553	0.9217	0.9379	475	0.7917	0.8176	441	0.7350	0.7635	42.7139	0.0000
2	600	520	0.8667	0.8879	368	0.6133	0.6455	328	0.5467	0.5798	30.2643	0.0000
3	600	466	0.7767	0.8034	296	0.4933	0.5269	252	0.4200	0.4534	12.9936	0.0000
4	600	435	0.7250	0.7539	244	0.4067	0.4400	202	0.3367	0.3691	3.6352	0.0000
5	600	404	0.6733	0.7040	184	0.3067	0.3384	149	0.2483	0.2784	0.7157	0.0000
6	600	373	0.6217	0.6536	149	0.2483	0.2784	117	0.1950	0.2230	0.2607	0.0000
7	600	342	0.5700	0.6029	130	0.2167	0.2456	101	0.1683	0.1949	0.0222	0.0000
8	600	293	0.4883	0.5219	102	0.1700	0.1967	78	0.1300	0.1543	0.0000	0.0000
9	600	267	0.4450	0.4785	88	0.1467	0.1720	67	0.1117	0.1346	0.0000	0.0000
10	600	243	0.4050	0.4383	68	0.1133	0.1364	47	0.0783	0.0983	0.0000	0.0000
11	600	215	0.3583	0.3911	53	0.0883	0.1093	37	0.0617	0.0799	0.0000	0.0000
12	600	191	0.3183	0.3504	45	0.0750	0.0947	30	0.0500	0.0668	0.0000	0.0000
13	600	171	0.2850	0.3162	39	0.0650	0.0836	22	0.0367	0.0515	0.0000	0.0000
14	600	149	0.2483	0.2784	35	0.0583	0.0761	20	0.0333	0.0476	0.0000	0.0000
15	600	143	0.2383	0.2681	29	0.0483	0.0649	18	0.0300	0.0437	0.0000	0.0000
16	600	131	0.2183	0.2473	27	0.0450	0.0611	15	0.0250	0.0378	0.0000	0.0000
17	600	113	0.1883	0.2160	24	0.0400	0.0554	15	0.0250	0.0378	0.0000	0.0000
18	600	110	0.1833	0.2107	22	0.0367	0.0515	17	0.0283	0.0418	0.0000	0.0000
19	600	106	0.1767	0.2037	22	0.0367	0.0515	17	0.0283	0.0418	0.0000	0.0000
20	600	104	0.1733	0.2002	19	0.0317	0.0457	14	0.0233	0.0358	0.0000	0.0000
21	600	91	0.1517	0.1773	15	0.0250	0.0378	9	0.0150	0.0256	0.0000	0.0000
22	600	89	0.1483	0.1738	13	0.0217	0.0338	7	0.0117	0.0214	0.0000	0.0000
23	600	80	0.1333	0.1578	8	0.0133	0.0235	3	0.0050	0.0124	0.0000	0.0000
24	600	75	0.1250	0.1489	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
25	600	72	0.1200	0.1435	9	0.0150	0.0256	7	0.0117	0.0214	0.0000	0.0000
26	600	66	0.1100	0.1328	9	0.0150	0.0256	6	0.0100	0.0192	0.0000	0.0000
27	600	66	0.1100	0.1328	12	0.0200	0.0318	7	0.0117	0.0214	0.0000	0.0000
28	600	59	0.0983	0.1202	9	0.0150	0.0256	7	0.0117	0.0214	0.0000	0.0000
29	600	57	0.0950	0.1165	9	0.0150	0.0256	6	0.0100	0.0192	0.0000	0.0000
30	600	50	0.0833	0.1038	8	0.0133	0.0235	5	0.0083	0.0170	0.0000	0.0000
31	600	48	0.0800	0.1002	6	0.0100	0.0192	5	0.0083	0.0170	0.0000	0.0000
32	600	51	0.0850	0.1056	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
33	600	46	0.0767	0.0965	11	0.0183	0.0297	5	0.0083	0.0170	0.0000	0.0000
34	600	45	0.0750	0.0947	7	0.0117	0.0214	4	0.0067	0.0148	0.0000	0.0000
35	600	44	0.0733	0.0928	8	0.0133	0.0235	4	0.0067	0.0148	0.0000	0.0000
36	600	46	0.0767	0.0965	6	0.0100	0.0192	3	0.0050	0.0124	0.0000	0.0000
37	600	44	0.0733	0.0928	6	0.0100	0.0192	5	0.0083	0.0170	0.0000	0.0000
38	600	42	0.0700	0.0891	5	0.0083	0.0170	2	0.0033	0.0100	0.0000	0.0000
39	600	45	0.0750	0.0947	5	0.0083	0.0170	3	0.0050	0.0124	0.0000	0.0000
40	600	42	0.0700	0.0891	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
