# RBT-106 no-selection baseline, seed 3, founders w = 32, K = 1: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	380	0.6333	0.6650	25.5961	9.3115
1	600	552	0.9200	0.9364	449	0.7483	0.7763	240	0.4000	0.4333	22.7860	6.8431
2	600	499	0.8317	0.8553	327	0.5450	0.5782	167	0.2783	0.3094	15.5584	2.7199
3	600	453	0.7550	0.7827	230	0.3833	0.4164	107	0.1783	0.2055	0.0139	0.1414
4	600	411	0.6850	0.7153	165	0.2750	0.3059	82	0.1367	0.1614	0.0000	0.0102
5	600	367	0.6117	0.6438	113	0.1883	0.2160	57	0.0950	0.1165	0.0000	0.0002
6	600	327	0.5450	0.5782	70	0.1167	0.1400	31	0.0517	0.0686	0.0000	0.0000
7	600	297	0.4950	0.5285	54	0.0900	0.1111	22	0.0367	0.0515	0.0000	0.0000
8	600	267	0.4450	0.4785	40	0.0667	0.0854	18	0.0300	0.0437	0.0000	0.0000
9	600	242	0.4033	0.4366	29	0.0483	0.0649	12	0.0200	0.0318	0.0000	0.0000
10	600	223	0.3717	0.4046	24	0.0400	0.0554	10	0.0167	0.0277	0.0000	0.0000
11	600	189	0.3150	0.3470	20	0.0333	0.0476	10	0.0167	0.0277	0.0000	0.0000
12	600	165	0.2750	0.3059	14	0.0233	0.0358	6	0.0100	0.0192	0.0000	0.0000
13	600	152	0.2533	0.2836	8	0.0133	0.0235	4	0.0067	0.0148	0.0000	0.0000
14	600	139	0.2317	0.2612	8	0.0133	0.0235	5	0.0083	0.0170	0.0000	0.0000
15	600	139	0.2317	0.2612	8	0.0133	0.0235	6	0.0100	0.0192	0.0000	0.0000
16	600	121	0.2017	0.2299	8	0.0133	0.0235	5	0.0083	0.0170	0.0000	0.0000
17	600	119	0.1983	0.2264	8	0.0133	0.0235	4	0.0067	0.0148	0.0000	0.0000
18	600	103	0.1717	0.1984	9	0.0150	0.0256	6	0.0100	0.0192	0.0000	0.0000
19	600	94	0.1567	0.1826	10	0.0167	0.0277	4	0.0067	0.0148	0.0000	0.0000
20	600	85	0.1417	0.1667	7	0.0117	0.0214	1	0.0017	0.0074	0.0000	0.0000
21	600	86	0.1433	0.1685	7	0.0117	0.0214	2	0.0033	0.0100	0.0000	0.0000
22	600	78	0.1300	0.1543	6	0.0100	0.0192	2	0.0033	0.0100	0.0000	0.0000
23	600	73	0.1217	0.1453	4	0.0067	0.0148	1	0.0017	0.0074	0.0000	0.0000
24	600	73	0.1217	0.1453	3	0.0050	0.0124	0	0.0000	0.0045	0.0000	0.0000
25	600	65	0.1083	0.1310	2	0.0033	0.0100	1	0.0017	0.0074	0.0000	0.0000
26	600	61	0.1017	0.1238	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
27	600	59	0.0983	0.1202	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
28	600	56	0.0933	0.1147	2	0.0033	0.0100	0	0.0000	0.0045	0.0000	0.0000
29	600	54	0.0900	0.1111	2	0.0033	0.0100	0	0.0000	0.0045	0.0000	0.0000
30	600	49	0.0817	0.1020	2	0.0033	0.0100	0	0.0000	0.0045	0.0000	0.0000
31	600	48	0.0800	0.1002	3	0.0050	0.0124	0	0.0000	0.0045	0.0000	0.0001
32	600	43	0.0717	0.0910	2	0.0033	0.0100	0	0.0000	0.0045	0.0000	0.0001
33	600	39	0.0650	0.0836	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0001
34	600	35	0.0583	0.0761	2	0.0033	0.0100	0	0.0000	0.0045	0.0000	0.0001
35	600	33	0.0550	0.0724	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0002
36	600	25	0.0417	0.0573	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0002
37	600	25	0.0417	0.0573	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0002
38	600	27	0.0450	0.0611	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0003
39	600	21	0.0350	0.0496	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0003
40	600	22	0.0367	0.0515	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0004
