# RBT-106 no-selection baseline, seed 801, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	600	1.0000	1.0000	46.0131	0.0025
1	600	555	0.9250	0.9408	473	0.7883	0.8144	443	0.7383	0.7667	39.9522	0.0002
2	600	516	0.8600	0.8817	376	0.6267	0.6585	325	0.5417	0.5749	29.0928	0.0001
3	600	468	0.7800	0.8065	294	0.4900	0.5235	250	0.4167	0.4501	11.1983	0.0001
4	600	428	0.7133	0.7427	241	0.4017	0.4350	186	0.3100	0.3419	2.7208	0.0000
5	600	395	0.6583	0.6894	189	0.3150	0.3470	146	0.2433	0.2733	0.4550	0.0000
6	600	353	0.5883	0.6209	150	0.2500	0.2802	115	0.1917	0.2195	0.0564	0.0000
7	600	326	0.5433	0.5765	132	0.2200	0.2490	98	0.1633	0.1897	0.0055	0.0000
8	600	283	0.4717	0.5052	103	0.1717	0.1984	78	0.1300	0.1543	0.0000	0.0000
9	600	261	0.4350	0.4685	90	0.1500	0.1755	71	0.1183	0.1418	0.0000	0.0000
10	600	238	0.3967	0.4299	77	0.1283	0.1525	55	0.0917	0.1129	0.0000	0.0000
11	600	212	0.3533	0.3860	61	0.1017	0.1238	39	0.0650	0.0836	0.0000	0.0000
12	600	195	0.3250	0.3572	56	0.0933	0.1147	34	0.0567	0.0743	0.0000	0.0000
13	600	169	0.2817	0.3128	41	0.0683	0.0873	29	0.0483	0.0649	0.0000	0.0000
14	600	151	0.2517	0.2819	38	0.0633	0.0817	24	0.0400	0.0554	0.0000	0.0000
15	600	138	0.2300	0.2594	30	0.0500	0.0668	16	0.0267	0.0398	0.0000	0.0000
16	600	124	0.2067	0.2351	24	0.0400	0.0554	11	0.0183	0.0297	0.0000	0.0000
17	600	108	0.1800	0.2072	19	0.0317	0.0457	12	0.0200	0.0318	0.0000	0.0000
18	600	98	0.1633	0.1897	17	0.0283	0.0418	10	0.0167	0.0277	0.0000	0.0000
19	600	91	0.1517	0.1773	14	0.0233	0.0358	8	0.0133	0.0235	0.0000	0.0000
20	600	80	0.1333	0.1578	9	0.0150	0.0256	6	0.0100	0.0192	0.0000	0.0000
21	600	77	0.1283	0.1525	11	0.0183	0.0297	8	0.0133	0.0235	0.0000	0.0000
22	600	76	0.1267	0.1507	15	0.0250	0.0378	10	0.0167	0.0277	0.0000	0.0000
23	600	73	0.1217	0.1453	12	0.0200	0.0318	7	0.0117	0.0214	0.0000	0.0000
24	600	64	0.1067	0.1292	8	0.0133	0.0235	5	0.0083	0.0170	0.0000	0.0000
25	600	61	0.1017	0.1238	13	0.0217	0.0338	5	0.0083	0.0170	0.0000	0.0000
26	600	56	0.0933	0.1147	10	0.0167	0.0277	4	0.0067	0.0148	0.0000	0.0000
27	600	51	0.0850	0.1056	9	0.0150	0.0256	5	0.0083	0.0170	0.0000	0.0000
28	600	48	0.0800	0.1002	9	0.0150	0.0256	5	0.0083	0.0170	0.0000	0.0000
29	600	47	0.0783	0.0983	11	0.0183	0.0297	6	0.0100	0.0192	0.0000	0.0000
30	600	48	0.0800	0.1002	11	0.0183	0.0297	8	0.0133	0.0235	0.0000	0.0000
31	600	46	0.0767	0.0965	9	0.0150	0.0256	5	0.0083	0.0170	0.0000	0.0000
32	600	41	0.0683	0.0873	5	0.0083	0.0170	3	0.0050	0.0124	0.0000	0.0000
33	600	41	0.0683	0.0873	5	0.0083	0.0170	4	0.0067	0.0148	0.0000	0.0000
34	600	35	0.0583	0.0761	6	0.0100	0.0192	4	0.0067	0.0148	0.0000	0.0000
35	600	37	0.0617	0.0799	8	0.0133	0.0235	4	0.0067	0.0148	0.0000	0.0000
36	600	32	0.0533	0.0705	7	0.0117	0.0214	4	0.0067	0.0148	0.0000	0.0000
37	600	36	0.0600	0.0780	13	0.0217	0.0338	5	0.0083	0.0170	0.0000	0.0000
38	600	35	0.0583	0.0761	11	0.0183	0.0297	5	0.0083	0.0170	0.0000	0.0000
39	600	32	0.0533	0.0705	10	0.0167	0.0277	5	0.0083	0.0170	0.0000	0.0000
40	600	26	0.0433	0.0592	12	0.0200	0.0318	9	0.0150	0.0256	0.0000	0.0000
