# RBT-106 no-selection baseline, seed 3, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	600	1.0000	1.0000	48.5762	0.0005
1	600	554	0.9233	0.9394	488	0.8133	0.8381	464	0.7733	0.8002	43.6950	0.0000
2	600	516	0.8600	0.8817	383	0.6383	0.6699	330	0.5500	0.5831	30.5212	0.0000
3	600	466	0.7767	0.8034	309	0.5150	0.5484	256	0.4267	0.4601	14.7427	0.0000
4	600	430	0.7167	0.7459	234	0.3900	0.4232	189	0.3150	0.3470	3.6094	0.0000
5	600	392	0.6533	0.6845	192	0.3200	0.3521	148	0.2467	0.2767	0.7573	0.0000
6	600	357	0.5950	0.6275	162	0.2700	0.3008	117	0.1950	0.2230	0.1320	0.0000
7	600	310	0.5167	0.5501	129	0.2150	0.2438	86	0.1433	0.1685	0.0009	0.0000
8	600	283	0.4717	0.5052	105	0.1750	0.2020	71	0.1183	0.1418	0.0000	0.0000
9	600	265	0.4417	0.4752	89	0.1483	0.1738	57	0.0950	0.1165	0.0000	0.0000
10	600	241	0.4017	0.4350	73	0.1217	0.1453	44	0.0733	0.0928	0.0000	0.0000
11	600	212	0.3533	0.3860	66	0.1100	0.1328	33	0.0550	0.0724	0.0000	0.0000
12	600	190	0.3167	0.3487	55	0.0917	0.1129	31	0.0517	0.0686	0.0000	0.0000
13	600	174	0.2900	0.3214	48	0.0800	0.1002	31	0.0517	0.0686	0.0000	0.0000
14	600	163	0.2717	0.3025	39	0.0650	0.0836	26	0.0433	0.0592	0.0000	0.0000
15	600	151	0.2517	0.2819	37	0.0617	0.0799	30	0.0500	0.0668	0.0000	0.0000
16	600	139	0.2317	0.2612	32	0.0533	0.0705	22	0.0367	0.0515	0.0000	0.0000
17	600	123	0.2050	0.2334	28	0.0467	0.0630	21	0.0350	0.0496	0.0000	0.0000
18	600	118	0.1967	0.2247	27	0.0450	0.0611	19	0.0317	0.0457	0.0000	0.0000
19	600	115	0.1917	0.2195	23	0.0383	0.0534	13	0.0217	0.0338	0.0000	0.0000
20	600	99	0.1650	0.1914	18	0.0300	0.0437	10	0.0167	0.0277	0.0000	0.0000
21	600	89	0.1483	0.1738	15	0.0250	0.0378	10	0.0167	0.0277	0.0000	0.0000
22	600	79	0.1317	0.1560	17	0.0283	0.0418	9	0.0150	0.0256	0.0000	0.0000
23	600	76	0.1267	0.1507	16	0.0267	0.0398	10	0.0167	0.0277	0.0000	0.0000
24	600	73	0.1217	0.1453	15	0.0250	0.0378	9	0.0150	0.0256	0.0000	0.0000
25	600	70	0.1167	0.1400	10	0.0167	0.0277	7	0.0117	0.0214	0.0000	0.0000
26	600	60	0.1000	0.1220	11	0.0183	0.0297	6	0.0100	0.0192	0.0000	0.0000
27	600	56	0.0933	0.1147	11	0.0183	0.0297	4	0.0067	0.0148	0.0000	0.0000
28	600	52	0.0867	0.1075	8	0.0133	0.0235	5	0.0083	0.0170	0.0000	0.0000
29	600	49	0.0817	0.1020	8	0.0133	0.0235	3	0.0050	0.0124	0.0000	0.0000
30	600	44	0.0733	0.0928	6	0.0100	0.0192	2	0.0033	0.0100	0.0000	0.0000
31	600	38	0.0633	0.0817	4	0.0067	0.0148	0	0.0000	0.0045	0.0000	0.0000
32	600	34	0.0567	0.0743	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
33	600	34	0.0567	0.0743	4	0.0067	0.0148	1	0.0017	0.0074	0.0000	0.0000
34	600	35	0.0583	0.0761	5	0.0083	0.0170	2	0.0033	0.0100	0.0000	0.0000
35	600	34	0.0567	0.0743	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0000
36	600	32	0.0533	0.0705	5	0.0083	0.0170	2	0.0033	0.0100	0.0000	0.0000
37	600	32	0.0533	0.0705	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
38	600	32	0.0533	0.0705	3	0.0050	0.0124	2	0.0033	0.0100	0.0000	0.0000
39	600	27	0.0450	0.0611	5	0.0083	0.0170	2	0.0033	0.0100	0.0000	0.0000
40	600	27	0.0450	0.0611	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
