# RBT-106 no-selection baseline, seed 2, founders w = 32, K = 1: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	580	0.9667	0.9768	360	0.6000	0.6324	25.7916	10.5192
1	600	563	0.9383	0.9526	407	0.6783	0.7088	223	0.3717	0.4046	21.8651	6.0180
2	600	500	0.8333	0.8569	278	0.4633	0.4969	145	0.2417	0.2715	8.1556	1.5911
3	600	443	0.7383	0.7667	207	0.3450	0.3776	100	0.1667	0.1932	0.0140	0.1602
4	600	397	0.6617	0.6927	147	0.2450	0.2750	69	0.1150	0.1382	0.0000	0.0044
5	600	357	0.5950	0.6275	98	0.1633	0.1897	45	0.0750	0.0947	0.0000	0.0004
6	600	311	0.5183	0.5517	68	0.1133	0.1364	29	0.0483	0.0649	0.0000	0.0000
7	600	289	0.4817	0.5152	50	0.0833	0.1038	24	0.0400	0.0554	0.0000	0.0000
8	600	259	0.4317	0.4652	38	0.0633	0.0817	23	0.0383	0.0534	0.0000	0.0000
9	600	239	0.3983	0.4316	29	0.0483	0.0649	15	0.0250	0.0378	0.0000	0.0000
10	600	224	0.3733	0.4063	22	0.0367	0.0515	9	0.0150	0.0256	0.0000	0.0000
11	600	192	0.3200	0.3521	17	0.0283	0.0418	8	0.0133	0.0235	0.0000	0.0000
12	600	178	0.2967	0.3282	16	0.0267	0.0398	9	0.0150	0.0256	0.0000	0.0000
13	600	159	0.2650	0.2956	14	0.0233	0.0358	7	0.0117	0.0214	0.0000	0.0000
14	600	150	0.2500	0.2802	11	0.0183	0.0297	5	0.0083	0.0170	0.0000	0.0000
15	600	136	0.2267	0.2560	10	0.0167	0.0277	4	0.0067	0.0148	0.0000	0.0000
16	600	126	0.2100	0.2386	8	0.0133	0.0235	3	0.0050	0.0124	0.0000	0.0000
17	600	112	0.1867	0.2142	8	0.0133	0.0235	4	0.0067	0.0148	0.0000	0.0000
18	600	106	0.1767	0.2037	8	0.0133	0.0235	2	0.0033	0.0100	0.0000	0.0000
19	600	97	0.1617	0.1879	8	0.0133	0.0235	2	0.0033	0.0100	0.0000	0.0000
20	600	90	0.1500	0.1755	2	0.0033	0.0100	1	0.0017	0.0074	0.0000	0.0000
21	600	83	0.1383	0.1631	4	0.0067	0.0148	1	0.0017	0.0074	0.0000	0.0000
22	600	80	0.1333	0.1578	4	0.0067	0.0148	1	0.0017	0.0074	0.0000	0.0000
23	600	68	0.1133	0.1364	3	0.0050	0.0124	0	0.0000	0.0045	0.0000	0.0000
24	600	65	0.1083	0.1310	3	0.0050	0.0124	0	0.0000	0.0045	0.0000	0.0000
25	600	58	0.0967	0.1184	4	0.0067	0.0148	1	0.0017	0.0074	0.0000	0.0000
26	600	51	0.0850	0.1056	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0000
27	600	48	0.0800	0.1002	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
28	600	41	0.0683	0.0873	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0000
29	600	42	0.0700	0.0891	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0001
30	600	46	0.0767	0.0965	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0001
31	600	44	0.0733	0.0928	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0001
32	600	39	0.0650	0.0836	2	0.0033	0.0100	1	0.0017	0.0074	0.0000	0.0001
33	600	41	0.0683	0.0873	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0001
34	600	40	0.0667	0.0854	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0001
35	600	39	0.0650	0.0836	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0002
36	600	36	0.0600	0.0780	2	0.0033	0.0100	1	0.0017	0.0074	0.0000	0.0002
37	600	30	0.0500	0.0668	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0001
38	600	27	0.0450	0.0611	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0004
39	600	28	0.0467	0.0630	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0002
40	600	23	0.0383	0.0534	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0002
