# RBT-106 no-selection baseline, seed 805, founders w = 1, K = 1: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	0	0.0000	0.0045	0	0.0000	0.0045	0.8521	0.2606
1	600	560	0.9333	0.9482	9	0.0150	0.0256	9	0.0150	0.0256	0.7553	0.2259
2	600	500	0.8333	0.8569	10	0.0167	0.0277	10	0.0167	0.0277	0.6364	0.2083
3	600	457	0.7617	0.7891	4	0.0067	0.0148	4	0.0067	0.0148	0.5546	0.1544
4	600	417	0.6950	0.7250	2	0.0033	0.0100	2	0.0033	0.0100	0.4553	0.1392
5	600	388	0.6467	0.6780	2	0.0033	0.0100	2	0.0033	0.0100	0.3446	0.1168
6	600	353	0.5883	0.6209	5	0.0083	0.0170	5	0.0083	0.0170	0.2419	0.0912
7	600	324	0.5400	0.5732	4	0.0067	0.0148	4	0.0067	0.0148	0.1552	0.0665
8	600	291	0.4850	0.5186	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0639
9	600	267	0.4450	0.4785	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0472
10	600	250	0.4167	0.4501	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0396
11	600	218	0.3633	0.3962	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0371
12	600	198	0.3300	0.3623	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0259
13	600	178	0.2967	0.3282	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0248
14	600	163	0.2717	0.3025	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0319
15	600	145	0.2417	0.2715	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0188
16	600	134	0.2233	0.2525	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0164
17	600	117	0.1950	0.2230	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0175
18	600	107	0.1783	0.2055	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0103
19	600	96	0.1600	0.1861	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0114
20	600	89	0.1483	0.1738	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0127
21	600	85	0.1417	0.1667	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0123
22	600	82	0.1367	0.1614	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0141
23	600	76	0.1267	0.1507	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0107
24	600	69	0.1150	0.1382	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0104
25	600	68	0.1133	0.1364	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0098
26	600	64	0.1067	0.1292	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0086
27	600	60	0.1000	0.1220	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0103
28	600	56	0.0933	0.1147	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0106
29	600	54	0.0900	0.1111	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0094
30	600	51	0.0850	0.1056	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0083
31	600	42	0.0700	0.0891	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0071
32	600	40	0.0667	0.0854	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0076
33	600	39	0.0650	0.0836	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0092
34	600	41	0.0683	0.0873	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0074
35	600	38	0.0633	0.0817	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0055
36	600	31	0.0517	0.0686	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0078
37	600	27	0.0450	0.0611	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0088
38	600	26	0.0433	0.0592	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0095
39	600	27	0.0450	0.0611	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0082
40	600	27	0.0450	0.0611	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0093
