# RBT-106 no-selection baseline, seed 804, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	600	1.0000	1.0000	50.1763	0.0000
1	600	568	0.9467	0.9598	498	0.8300	0.8537	475	0.7917	0.8176	45.1541	0.0000
2	600	535	0.8917	0.9108	401	0.6683	0.6991	358	0.5967	0.6291	33.7968	0.0000
3	600	498	0.8300	0.8537	309	0.5150	0.5484	262	0.4367	0.4702	16.0644	0.0000
4	600	455	0.7583	0.7859	253	0.4217	0.4551	196	0.3267	0.3589	3.8029	0.0000
5	600	404	0.6733	0.7040	190	0.3167	0.3487	142	0.2367	0.2664	0.3034	0.0000
6	600	368	0.6133	0.6455	161	0.2683	0.2991	104	0.1733	0.2002	0.0399	0.0000
7	600	313	0.5217	0.5550	120	0.2000	0.2282	77	0.1283	0.1525	0.0012	0.0000
8	600	281	0.4683	0.5019	100	0.1667	0.1932	72	0.1200	0.1435	0.0000	0.0000
9	600	262	0.4367	0.4702	88	0.1467	0.1720	54	0.0900	0.1111	0.0000	0.0000
10	600	237	0.3950	0.4282	77	0.1283	0.1525	47	0.0783	0.0983	0.0000	0.0000
11	600	220	0.3667	0.3996	62	0.1033	0.1256	41	0.0683	0.0873	0.0000	0.0000
12	600	197	0.3283	0.3606	53	0.0883	0.1093	34	0.0567	0.0743	0.0000	0.0000
13	600	181	0.3017	0.3333	38	0.0633	0.0817	26	0.0433	0.0592	0.0000	0.0000
14	600	171	0.2850	0.3162	33	0.0550	0.0724	23	0.0383	0.0534	0.0000	0.0000
15	600	154	0.2567	0.2870	32	0.0533	0.0705	22	0.0367	0.0515	0.0000	0.0000
16	600	140	0.2333	0.2629	31	0.0517	0.0686	22	0.0367	0.0515	0.0000	0.0000
17	600	142	0.2367	0.2664	29	0.0483	0.0649	19	0.0317	0.0457	0.0000	0.0000
18	600	132	0.2200	0.2490	28	0.0467	0.0630	18	0.0300	0.0437	0.0000	0.0000
19	600	119	0.1983	0.2264	24	0.0400	0.0554	17	0.0283	0.0418	0.0000	0.0000
20	600	116	0.1933	0.2212	21	0.0350	0.0496	17	0.0283	0.0418	0.0000	0.0000
21	600	108	0.1800	0.2072	20	0.0333	0.0476	15	0.0250	0.0378	0.0000	0.0000
22	600	89	0.1483	0.1738	12	0.0200	0.0318	10	0.0167	0.0277	0.0000	0.0000
23	600	81	0.1350	0.1596	14	0.0233	0.0358	10	0.0167	0.0277	0.0000	0.0000
24	600	75	0.1250	0.1489	12	0.0200	0.0318	11	0.0183	0.0297	0.0000	0.0000
25	600	65	0.1083	0.1310	6	0.0100	0.0192	4	0.0067	0.0148	0.0000	0.0000
26	600	61	0.1017	0.1238	8	0.0133	0.0235	3	0.0050	0.0124	0.0000	0.0000
27	600	57	0.0950	0.1165	12	0.0200	0.0318	4	0.0067	0.0148	0.0000	0.0000
28	600	52	0.0867	0.1075	9	0.0150	0.0256	7	0.0117	0.0214	0.0000	0.0000
29	600	44	0.0733	0.0928	8	0.0133	0.0235	6	0.0100	0.0192	0.0000	0.0000
30	600	40	0.0667	0.0854	7	0.0117	0.0214	4	0.0067	0.0148	0.0000	0.0000
31	600	40	0.0667	0.0854	6	0.0100	0.0192	3	0.0050	0.0124	0.0000	0.0000
32	600	36	0.0600	0.0780	5	0.0083	0.0170	3	0.0050	0.0124	0.0000	0.0000
33	600	32	0.0533	0.0705	6	0.0100	0.0192	3	0.0050	0.0124	0.0000	0.0000
34	600	32	0.0533	0.0705	5	0.0083	0.0170	2	0.0033	0.0100	0.0000	0.0000
35	600	24	0.0400	0.0554	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
36	600	24	0.0400	0.0554	4	0.0067	0.0148	1	0.0017	0.0074	0.0000	0.0000
37	600	28	0.0467	0.0630	3	0.0050	0.0124	2	0.0033	0.0100	0.0000	0.0000
38	600	24	0.0400	0.0554	5	0.0083	0.0170	2	0.0033	0.0100	0.0000	0.0000
39	600	21	0.0350	0.0496	5	0.0083	0.0170	2	0.0033	0.0100	0.0000	0.0000
40	600	24	0.0400	0.0554	3	0.0050	0.0124	2	0.0033	0.0100	0.0000	0.0000
