# RBT-106 no-selection baseline, seed 7, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	600	1.0000	1.0000	52.0253	0.0000
1	600	567	0.9450	0.9584	492	0.8200	0.8443	468	0.7800	0.8065	44.8471	0.0000
2	600	510	0.8500	0.8724	374	0.6233	0.6553	331	0.5517	0.5848	31.6714	0.0000
3	600	473	0.7883	0.8144	309	0.5150	0.5484	260	0.4333	0.4668	17.7344	0.0000
4	600	430	0.7167	0.7459	243	0.4050	0.4383	190	0.3167	0.3487	2.9700	0.0000
5	600	390	0.6500	0.6813	197	0.3283	0.3606	160	0.2667	0.2974	0.8687	0.0000
6	600	338	0.5633	0.5963	150	0.2500	0.2802	113	0.1883	0.2160	0.0206	0.0000
7	600	314	0.5233	0.5567	123	0.2050	0.2334	89	0.1483	0.1738	0.0010	0.0000
8	600	287	0.4783	0.5119	112	0.1867	0.2142	85	0.1417	0.1667	0.0000	0.0000
9	600	266	0.4433	0.4769	90	0.1500	0.1755	65	0.1083	0.1310	0.0000	0.0000
10	600	242	0.4033	0.4366	75	0.1250	0.1489	50	0.0833	0.1038	0.0000	0.0000
11	600	213	0.3550	0.3877	63	0.1050	0.1274	40	0.0667	0.0854	0.0000	0.0000
12	600	192	0.3200	0.3521	58	0.0967	0.1184	30	0.0500	0.0668	0.0000	0.0000
13	600	173	0.2883	0.3196	45	0.0750	0.0947	24	0.0400	0.0554	0.0000	0.0000
14	600	159	0.2650	0.2956	36	0.0600	0.0780	23	0.0383	0.0534	0.0000	0.0000
15	600	145	0.2417	0.2715	33	0.0550	0.0724	20	0.0333	0.0476	0.0000	0.0000
16	600	136	0.2267	0.2560	40	0.0667	0.0854	29	0.0483	0.0649	0.0000	0.0000
17	600	116	0.1933	0.2212	33	0.0550	0.0724	19	0.0317	0.0457	0.0000	0.0000
18	600	102	0.1700	0.1967	28	0.0467	0.0630	20	0.0333	0.0476	0.0000	0.0000
19	600	95	0.1583	0.1844	27	0.0450	0.0611	17	0.0283	0.0418	0.0000	0.0000
20	600	90	0.1500	0.1755	20	0.0333	0.0476	13	0.0217	0.0338	0.0000	0.0000
21	600	89	0.1483	0.1738	18	0.0300	0.0437	14	0.0233	0.0358	0.0000	0.0000
22	600	77	0.1283	0.1525	12	0.0200	0.0318	9	0.0150	0.0256	0.0000	0.0000
23	600	68	0.1133	0.1364	11	0.0183	0.0297	8	0.0133	0.0235	0.0000	0.0000
24	600	76	0.1267	0.1507	10	0.0167	0.0277	7	0.0117	0.0214	0.0000	0.0000
25	600	71	0.1183	0.1418	8	0.0133	0.0235	5	0.0083	0.0170	0.0000	0.0000
26	600	66	0.1100	0.1328	7	0.0117	0.0214	6	0.0100	0.0192	0.0000	0.0000
27	600	59	0.0983	0.1202	9	0.0150	0.0256	7	0.0117	0.0214	0.0000	0.0000
28	600	53	0.0883	0.1093	10	0.0167	0.0277	8	0.0133	0.0235	0.0000	0.0000
29	600	54	0.0900	0.1111	7	0.0117	0.0214	4	0.0067	0.0148	0.0000	0.0000
30	600	48	0.0800	0.1002	10	0.0167	0.0277	7	0.0117	0.0214	0.0000	0.0000
31	600	45	0.0750	0.0947	9	0.0150	0.0256	6	0.0100	0.0192	0.0000	0.0000
32	600	43	0.0717	0.0910	6	0.0100	0.0192	5	0.0083	0.0170	0.0000	0.0000
33	600	38	0.0633	0.0817	3	0.0050	0.0124	2	0.0033	0.0100	0.0000	0.0000
34	600	40	0.0667	0.0854	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
35	600	38	0.0633	0.0817	6	0.0100	0.0192	3	0.0050	0.0124	0.0000	0.0000
36	600	40	0.0667	0.0854	8	0.0133	0.0235	4	0.0067	0.0148	0.0000	0.0000
37	600	36	0.0600	0.0780	5	0.0083	0.0170	4	0.0067	0.0148	0.0000	0.0000
38	600	34	0.0567	0.0743	4	0.0067	0.0148	3	0.0050	0.0124	0.0000	0.0000
39	600	36	0.0600	0.0780	4	0.0067	0.0148	3	0.0050	0.0124	0.0000	0.0000
40	600	37	0.0617	0.0799	7	0.0117	0.0214	3	0.0050	0.0124	0.0000	0.0000
