RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
    62     1.1696     0.6557    -0.0133     1.3893     0.6410     0.1152     1.0623     0.4868     0.3753
    63     1.0506     0.6839     0.0282     1.3329     0.6025     0.1526     0.9713     0.5464     0.3868
    64     1.0580     0.6702     0.0201     1.2847     0.6176     0.1300     1.0660     0.5861     0.3656
    65     1.0510     0.7314     0.0336     1.1977     0.6154     0.1252     1.0772     0.6451     0.4075
    66     1.0351     0.6761     0.0283     1.1321     0.6983     0.1226     1.0259     0.6727     0.4192
    67     1.0534     0.6810     0.0157     1.1960     0.7168     0.1277     0.9770     0.6114     0.4065
    68     1.0572     0.6644     0.0214     1.1279     0.7246     0.1548     1.0713     0.5970     0.4608
    69     1.0923     0.6685    -0.0105     1.1339     0.7588     0.1804     1.0163     0.7005     0.4055
    70     1.0633     0.5851    -0.0070     1.0734     0.7469     0.1824     0.9852     0.7160     0.4123
    71     1.0706     0.5725    -0.0050     1.1383     0.6956     0.1706     1.0494     0.6568     0.4084
    72     1.0255     0.5793    -0.0097     1.1293     0.6341     0.1621     1.0658     0.6309     0.3992
    73     0.9970     0.6637    -0.0164     1.0699     0.6407     0.1600     1.1472     0.6743     0.3945
    74     0.9872     0.6478    -0.0169     1.0669     0.6068     0.1574     1.1394     0.6543     0.3900
    75     1.0490     0.6078    -0.0235     1.1407     0.6427     0.1501     1.1091     0.6547     0.3720
    76     1.0415     0.5947    -0.0275     1.1068     0.6320     0.1509     1.0891     0.6897     0.3843
    77     1.0141     0.6476    -0.0267     1.1060     0.5973     0.1509     1.0817     0.6679     0.3698
    78     1.0871     0.6319    -0.0346     1.0767     0.6673     0.1454     1.0360     0.6919     0.3673
    79     1.1017     0.7001    -0.0369     1.1288     0.6660     0.1449     1.0563     0.6620     0.3794
