RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedB
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 451/451 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
| 60 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 2 | 0 | 3.04 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.01 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.03 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.06 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.15 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.09 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.15 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 1 | 3.05 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 3 | 3.10 |
| 150 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 5 | 4 | 2.95 |
| 160 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 3 | 2.93 |
| 170 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 5 | 3 | 2.90 |
| 180 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 5 | 3 | 2.92 |
| 190 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 3 | 2.95 |
| 200 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 2 | 2.98 |
| 210 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 3 | 2.98 |
| 220 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 6 | 5 | 3.11 |
| 230 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 5 | 5 | 3.11 |
| 240 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 7 | 7 | 3.11 |
| 250 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 6 | 6 | 3.15 |
| 260 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 4 | 3.20 |
| 270 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 4 | 3.20 |
| 280 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 3 | 3.21 |
| 290 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 4 | 3.26 |
| 299 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 3 | 3.29 |
### drift: 360/360 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 52 | 0.867 | +64.0 | 52 | 0.867 | +64.0 | 8 | 0 | 0 | 2.87 |
| 20 | 60 | 0 | 0.000 | +0.0 | 52 | 0.867 | +64.0 | 52 | 0.867 | +64.0 | 8 | 0 | 0 | 2.87 |
| 30 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 40 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.84 |
| 50 | 60 | 0 | 0.000 | +0.0 | 47 | 0.783 | +64.0 | 47 | 0.783 | +64.0 | 13 | 0 | 0 | 2.89 |
| 60 | 60 | 0 | 0.000 | +0.0 | 49 | 0.817 | +63.5 | 49 | 0.817 | +63.5 | 11 | 0 | 0 | 3.02 |
| 70 | 60 | 0 | 0.000 | +0.0 | 50 | 0.833 | +63.7 | 50 | 0.833 | +63.8 | 10 | 0 | 0 | 3.02 |
| 80 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +63.7 | 51 | 0.850 | +63.8 | 9 | 0 | 0 | 3.02 |
| 90 | 60 | 0 | 0.000 | +0.0 | 50 | 0.833 | +63.4 | 50 | 0.833 | +63.1 | 10 | 0 | 0 | 3.02 |
| 100 | 60 | 0 | 0.000 | +0.0 | 50 | 0.833 | +62.6 | 50 | 0.833 | +61.1 | 10 | 0 | 0 | 3.05 |
| 110 | 60 | 0 | 0.000 | +0.0 | 54 | 0.900 | +61.0 | 54 | 0.900 | +61.1 | 6 | 0 | 0 | 3.12 |
| 120 | 60 | 0 | 0.000 | +0.0 | 50 | 0.833 | +54.0 | 50 | 0.833 | +54.3 | 8 | 0 | 0 | 3.34 |
| 130 | 60 | 0 | 0.000 | +0.0 | 49 | 0.817 | +53.9 | 49 | 0.817 | +53.3 | 9 | 0 | 0 | 3.38 |
| 140 | 60 | 0 | 0.000 | +0.0 | 49 | 0.817 | +53.9 | 49 | 0.817 | +53.3 | 9 | 0 | 0 | 3.38 |
| 150 | 60 | 0 | 0.000 | +0.0 | 50 | 0.833 | +56.0 | 50 | 0.833 | +56.3 | 8 | 0 | 0 | 3.49 |
| 160 | 60 | 0 | 0.000 | +0.0 | 49 | 0.817 | +56.0 | 49 | 0.817 | +56.3 | 9 | 0 | 0 | 3.44 |
| 170 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +54.0 | 51 | 0.850 | +54.3 | 7 | 0 | 0 | 3.30 |
| 180 | 60 | 0 | 0.000 | +0.0 | 50 | 0.833 | +38.9 | 50 | 0.833 | +50.7 | 10 | 0 | 0 | 3.30 |
| 190 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +38.9 | 51 | 0.850 | +50.7 | 9 | 0 | 0 | 3.30 |
| 200 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +46.0 | 51 | 0.850 | +50.8 | 9 | 0 | 0 | 3.30 |
| 210 | 60 | 0 | 0.000 | +0.0 | 50 | 0.833 | +39.3 | 50 | 0.833 | +50.7 | 10 | 0 | 0 | 3.30 |
| 220 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +36.9 | 51 | 0.850 | +49.9 | 9 | 0 | 0 | 3.31 |
| 230 | 60 | 0 | 0.000 | +0.0 | 48 | 0.800 | +35.5 | 48 | 0.800 | +41.0 | 12 | 0 | 0 | 3.50 |
| 240 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +38.3 | 45 | 0.750 | +43.1 | 12 | 0 | 0 | 3.63 |
| 250 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +39.3 | 45 | 0.750 | +46.0 | 12 | 0 | 0 | 3.63 |
| 260 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +39.3 | 45 | 0.750 | +46.0 | 12 | 0 | 0 | 3.61 |
| 270 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +39.3 | 45 | 0.750 | +46.0 | 12 | 0 | 0 | 3.63 |
| 280 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +39.8 | 45 | 0.750 | +47.7 | 12 | 0 | 0 | 3.61 |
| 290 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +39.3 | 45 | 0.750 | +46.0 | 12 | 0 | 0 | 3.50 |
| 299 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +36.3 | 45 | 0.750 | +40.3 | 13 | 0 | 0 | 3.55 |

### Verdict quantity  seeded - drift,  under each predicate
| readout | d1 seeded | d1 drift | d1 diff | d2 seeded | d2 drift | d2 diff | d4 seeded | d4 drift | d4 diff |
|---|---|---|---|---|---|---|---|---|---|
| plateau 250-299 | 0.000 | 0.000 | +0.000 | 0.719 | 0.750 | -0.031 | 0.714 | 0.750 | -0.036 |
| season 299 | 0.000 | 0.000 | +0.000 | 0.767 | 0.750 | +0.017 | 0.767 | 0.750 | +0.017 |
