RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedA
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 429/429 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
| 60 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.02 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.90 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.89 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.91 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.79 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.79 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.67 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.66 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.70 |
| 150 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.68 |
| 160 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.68 |
| 170 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.69 |
| 180 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.73 |
| 190 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.74 |
| 200 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.73 |
| 210 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.74 |
| 220 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.78 |
| 230 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.79 |
| 240 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.78 |
| 250 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.89 |
| 260 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.93 |
| 270 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.85 |
| 280 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.88 |
| 290 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 1 | 1 | 2.89 |
| 299 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.89 |
### drift: 360/360 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.87 |
| 20 | 60 | 0 | 0.000 | +0.0 | 54 | 0.900 | +64.0 | 54 | 0.900 | +64.0 | 6 | 0 | 0 | 2.87 |
| 30 | 60 | 0 | 0.000 | +0.0 | 54 | 0.900 | +64.0 | 54 | 0.900 | +64.0 | 6 | 0 | 0 | 2.90 |
| 40 | 60 | 0 | 0.000 | +0.0 | 54 | 0.900 | +64.0 | 54 | 0.900 | +64.0 | 6 | 0 | 0 | 2.87 |
| 50 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +64.0 | 50 | 0.833 | +64.0 | 9 | 0 | 0 | 2.85 |
| 60 | 60 | 0 | 0.000 | +0.0 | 42 | 0.700 | +63.8 | 40 | 0.667 | +62.4 | 18 | 1 | 1 | 2.82 |
| 70 | 60 | 0 | 0.000 | +0.0 | 42 | 0.700 | +63.8 | 40 | 0.667 | +61.2 | 18 | 1 | 1 | 2.80 |
| 80 | 60 | 0 | 0.000 | +0.0 | 42 | 0.700 | +63.8 | 40 | 0.667 | +61.2 | 18 | 1 | 1 | 2.80 |
| 90 | 60 | 0 | 0.000 | +0.0 | 42 | 0.700 | +62.5 | 40 | 0.667 | +61.2 | 18 | 1 | 1 | 2.80 |
| 100 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +61.7 | 38 | 0.633 | +58.3 | 20 | 1 | 1 | 2.80 |
| 110 | 60 | 0 | 0.000 | +0.0 | 37 | 0.617 | +61.2 | 36 | 0.600 | +59.8 | 23 | 1 | 1 | 2.79 |
| 120 | 60 | 0 | 0.000 | +0.0 | 37 | 0.617 | +61.3 | 37 | 0.617 | +64.7 | 23 | 0 | 0 | 2.62 |
| 130 | 60 | 0 | 0.000 | +0.0 | 36 | 0.600 | +61.2 | 36 | 0.600 | +64.7 | 24 | 0 | 0 | 2.62 |
| 140 | 60 | 0 | 0.000 | +0.0 | 35 | 0.583 | +61.2 | 35 | 0.583 | +64.4 | 25 | 0 | 0 | 2.66 |
| 150 | 60 | 0 | 0.000 | +0.0 | 36 | 0.600 | +61.3 | 36 | 0.600 | +64.0 | 24 | 0 | 0 | 2.62 |
| 160 | 60 | 0 | 0.000 | +0.0 | 37 | 0.617 | +61.6 | 37 | 0.617 | +64.4 | 23 | 0 | 0 | 2.62 |
| 170 | 60 | 0 | 0.000 | +0.0 | 39 | 0.650 | +62.6 | 39 | 0.650 | +64.8 | 21 | 0 | 0 | 2.71 |
| 180 | 60 | 0 | 0.000 | +0.0 | 39 | 0.650 | +63.6 | 39 | 0.650 | +65.9 | 21 | 1 | 0 | 2.77 |
| 190 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +63.6 | 40 | 0.667 | +65.9 | 20 | 1 | 0 | 2.77 |
| 200 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +63.6 | 40 | 0.667 | +65.9 | 20 | 1 | 0 | 2.79 |
