# RBT-66 adversary: horizon sensitivity — runs/RBT-66/data/baseline-801 conventional gen 500
n=64 paired seeds from 4000; frozen probe, horizons (2, 3, 4, 6, 8, 12, 16, 24, 32, 48, 64)
control_dt 0.02s, so h=8 holds the other sensors 0.16s and h=64 holds them 1.28s

### peak-joint (THE COMMITTED RULE at h=8)

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | -0.03284 | +0.03284 | **throttle +** | +0.00000 |   +0.27 |
| 3 | -0.06131 | +0.04744 | **steer -** | +0.01387 |  +16.44 |
| 4 | -0.06245 | +0.04332 | **steer -** | +0.01902 |  +15.64 |
| 6 | -0.08822 | +0.06084 | **steer -** | +0.02656 |  +12.25 |
| 8 | -0.11913 | +0.08311 | **steer -** | +0.03603 |  +12.32 |
| 12 | -0.14301 | +0.10220 | **steer -** | +0.04059 |  +12.23 |
| 16 | -0.15969 | +0.11679 | **steer -** | +0.04269 |  +12.07 |
| 24 | -0.20275 | +0.15552 | **steer -** | +0.04722 |  +12.63 |
| 32 | -0.21087 | +0.16281 | **steer -** | +0.04805 |  +12.97 |
| 48 | -0.21298 | +0.16456 | **steer -** | +0.04842 |  +13.15 |
| 64 | -0.21505 | +0.16656 | **steer -** | +0.04848 |  +13.25 |

### peak per axis, each at its own argmax

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | -0.03284 | +0.03284 | **throttle +** | +0.00000 |   +0.27 |
| 3 | -0.06142 | +0.04774 | **steer -** | +0.01368 |  +16.98 |
| 4 | -0.06346 | +0.04208 | **steer -** | +0.02120 |  +15.17 |
| 6 | -0.09414 | +0.04880 | **steer -** | +0.04403 |  +14.21 |
| 8 | -0.13051 | +0.06225 | **steer -** | +0.06788 |  +14.42 |
| 12 | -0.16033 | +0.07680 | **steer -** | +0.08213 |  +13.29 |
| 16 | -0.17913 | +0.09114 | **steer -** | +0.08715 |  +13.05 |
| 24 | -0.22550 | +0.11036 | **steer -** | +0.11355 |  +12.14 |
| 32 | -0.23977 | +0.11160 | **steer -** | +0.12658 |  +12.83 |
| 48 | -0.24672 | +0.10844 | **steer -** | +0.13584 |  +13.40 |
| 64 | -0.25063 | +0.10780 | **steer -** | +0.14010 |  +13.59 |

### mean over ticks 2..h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | -0.03284 | +0.03284 | **throttle +** | +0.00000 |   +0.27 |
| 3 | -0.03429 | +0.02499 | **steer -** | +0.00930 |  +17.51 |
| 4 | -0.03040 | +0.01786 | **steer -** | +0.01252 |  +19.79 |
| 6 | -0.03796 | +0.01893 | **steer -** | +0.01903 |  +18.07 |
| 8 | -0.04196 | +0.01931 | **steer -** | +0.02265 |  +16.53 |
| 12 | -0.04699 | +0.02031 | **steer -** | +0.02668 |  +15.52 |
| 16 | -0.04881 | +0.01997 | **steer -** | +0.02884 |  +15.19 |
| 24 | -0.05091 | +0.01988 | **steer -** | +0.03103 |  +14.92 |
| 32 | -0.05170 | +0.01961 | **steer -** | +0.03209 |  +14.83 |
| 48 | -0.05261 | +0.01945 | **steer -** | +0.03316 |  +14.72 |
| 64 | -0.05310 | +0.01944 | **steer -** | +0.03366 |  +14.68 |

### the single tick h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | -0.03284 | +0.03284 | **throttle +** | +0.00000 |   +0.27 |
| 3 | -0.03574 | +0.01715 | **steer -** | +0.01859 |  +17.51 |
| 4 | -0.02263 | +0.00361 | **steer -** | +0.01024 |   +6.23 |
| 6 | -0.02372 | +0.00626 | **steer -** | +0.00991 |   +5.83 |
| 8 | -0.02568 | +0.00594 | **steer -** | +0.01127 |   +5.17 |
| 12 | -0.03412 | +0.01151 | **steer -** | +0.01670 |   +7.71 |
| 16 | -0.03684 | +0.01352 | **steer -** | +0.01493 |   +5.91 |
| 24 | -0.04868 | +0.02506 | **steer -** | +0.01836 |   +7.90 |
| 32 | -0.04274 | +0.01881 | **steer -** | +0.01937 |   +8.99 |
| 48 | -0.04173 | +0.01742 | **steer -** | +0.01760 |   +7.62 |
| 64 | -0.04139 | +0.01767 | **steer -** | +0.01604 |   +6.82 |

