RBT-80 population carriage — runs/RBT-80/seedC
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype

### seeded: 418 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
| 190 | 60 | 48 | 0.800 | +49.2 | 0.95 | 13 |
| 200 | 60 | 47 | 0.783 | +47.5 | 0.95 | 14 |
| 210 | 60 | 46 | 0.767 | +37.9 | 0.95 | 15 |
| 220 | 60 | 48 | 0.800 | +49.2 | 0.95 | 13 |
| 230 | 60 | 44 | 0.733 | +29.0 | 0.95 | 17 |
| 240 | 60 | 41 | 0.683 | +26.1 | 0.97 | 18 |
| 250 | 60 | 40 | 0.667 | +25.0 | 0.95 | 18 |
| 260 | 60 | 40 | 0.667 | +25.0 | 0.95 | 18 |
| 270 | 60 | 40 | 0.667 | +25.0 | 0.95 | 18 |
| 280 | 60 | 40 | 0.667 | +24.5 | 0.95 | 18 |
| 290 | 60 | 39 | 0.650 | +24.7 | 0.93 | 17 |
| 299 | 60 | 28 | 0.467 | +1.2 | 0.80 | 20 |

### Carrier fraction at the final sampled season
  seeded   season 299: 0.900  (n=60)
  control  season 299: 0.000  (n=60)
  drift    season 299: 0.467  (n=60)

  seeded − drift = +0.433   (pre-registered: HELD if >= +0.20, NOT HELD if |d| < 0.10; mutation-only floor 0.575 at 11 mutations)

[exited with code 0]
