# RBT-66 adversary: horizon sensitivity — runs/RBT-66/data/RBT-19 conventional gen 300
n=64 paired seeds from 4000; frozen probe, horizons (2, 3, 4, 6, 8, 12, 16, 24, 32, 48, 64)
control_dt 0.02s, so h=8 holds the other sensors 0.16s and h=64 holds them 1.28s

### peak-joint (THE COMMITTED RULE at h=8)

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.01463 | +0.08648 | **throttle +** | -0.05633 |   -5.53 |
| 4 | -0.04213 | +0.06219 | **throttle +** | -0.02099 |   -1.79 |
| 6 | +0.04698 | +0.11999 | **throttle +** | -0.05287 |   -6.58 |
| 8 | +0.07951 | +0.14924 | **throttle +** | -0.06205 |   -7.75 |
| 12 | +0.08714 | +0.18570 | **throttle +** | -0.08994 |   -8.03 |
| 16 | +0.09607 | +0.20390 | **throttle +** | -0.09844 |   -8.32 |
| 24 | +0.09919 | +0.22001 | **throttle +** | -0.11110 |   -9.16 |
| 32 | +0.10009 | +0.23202 | **throttle +** | -0.12074 |   -9.46 |
| 48 | +0.10024 | +0.24469 | **throttle +** | -0.13431 |  -10.67 |
| 64 | +0.10007 | +0.25324 | **throttle +** | -0.14343 |  -10.98 |

### peak per axis, each at its own argmax

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.01463 | +0.08648 | **throttle +** | -0.05633 |   -5.53 |
| 4 | -0.03779 | +0.07344 | **throttle +** | -0.02490 |   -2.07 |
| 6 | +0.03264 | +0.14308 | **throttle +** | -0.06991 |   -6.51 |
| 8 | +0.06944 | +0.18461 | **throttle +** | -0.09418 |   -8.81 |
| 12 | +0.08323 | +0.22990 | **throttle +** | -0.12673 |  -11.84 |
| 16 | +0.09416 | +0.24899 | **throttle +** | -0.13667 |  -12.16 |
| 24 | +0.09708 | +0.26940 | **throttle +** | -0.15224 |  -12.56 |
| 32 | +0.09850 | +0.28064 | **throttle +** | -0.16123 |  -12.83 |
| 48 | +0.09914 | +0.29341 | **throttle +** | -0.17320 |  -13.41 |
| 64 | +0.09864 | +0.30107 | **throttle +** | -0.18113 |  -13.83 |

### mean over ticks 2..h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.00732 | +0.04324 | **throttle +** | -0.02816 |   -5.53 |
| 4 | +0.00055 | +0.03919 | **throttle +** | -0.02239 |   -5.85 |
| 6 | +0.04119 | +0.08175 | **throttle +** | -0.03738 |  -13.57 |
| 8 | +0.06557 | +0.10857 | **throttle +** | -0.04162 |  -14.91 |
| 12 | +0.08336 | +0.12759 | **throttle +** | -0.04349 |  -15.23 |
| 16 | +0.09427 | +0.13960 | **throttle +** | -0.04484 |  -14.33 |
| 24 | +0.10319 | +0.14680 | **throttle +** | -0.04367 |  -13.22 |
| 32 | +0.10792 | +0.15087 | **throttle +** | -0.04337 |  -12.53 |
| 48 | +0.11213 | +0.15317 | **throttle +** | -0.04205 |  -11.71 |
| 64 | +0.11364 | +0.15372 | **throttle +** | -0.04129 |  -11.21 |

### the single tick h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.01463 | +0.08648 | **throttle +** | -0.05633 |   -5.53 |
| 4 | +0.01630 | +0.03109 | **throttle +** | -0.02108 |   -5.49 |
| 6 | +0.08671 | +0.07692 | **steer +** | +0.00712 |   +1.74 |
| 8 | +0.16749 | +0.16686 | **steer +** | -0.00174 |   -0.35 |
| 12 | +0.14905 | +0.13642 | **steer +** | +0.01085 |   +1.74 |
| 16 | +0.15607 | +0.14609 | **steer +** | +0.00957 |   +1.52 |
| 24 | +0.13256 | +0.12239 | **steer +** | +0.00583 |   +0.80 |
| 32 | +0.15272 | +0.14600 | **steer +** | +0.00636 |   +1.00 |
| 48 | +0.16598 | +0.15432 | **steer +** | +0.00819 |   +1.28 |
| 64 | +0.14567 | +0.14115 | **steer +** | +0.00203 |   +0.28 |

