RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedC
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 418/418 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
| 60 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.91 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.09 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.08 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.93 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.07 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.93 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.97 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.94 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.97 |
| 150 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.09 |
| 160 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 1 | 0 | 3.07 |
| 170 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 1 | 0 | 3.17 |
| 180 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 1 | 0 | 2.91 |
| 190 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 1 | 0 | 2.91 |
| 200 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 2 | 2.96 |
| 210 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 3 | 2.96 |
| 220 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 4 | 3.02 |
| 230 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 6 | 6 | 2.96 |
| 240 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 9 | 9 | 3.02 |
| 250 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 12 | 11 | 3.41 |
| 260 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 12 | 11 | 3.46 |
| 270 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 11 | 10 | 3.28 |
| 280 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 11 | 9 | 3.32 |
| 290 | 60 | 0 | 0.000 | -0.0 | 0 | 0.000 | -0.0 | 0 | 0.000 | -0.0 | 0 | 11 | 9 | 3.35 |
| 299 | 60 | 0 | 0.000 | -0.0 | 0 | 0.000 | -0.0 | 0 | 0.000 | -0.0 | 0 | 12 | 10 | 3.50 |
### drift: 360/360 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 20 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 30 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 40 | 60 | 0 | 0.000 | +0.0 | 52 | 0.867 | +64.0 | 52 | 0.867 | +64.0 | 8 | 0 | 0 | 2.84 |
| 50 | 60 | 0 | 0.000 | +0.0 | 49 | 0.817 | +64.0 | 49 | 0.817 | +64.0 | 11 | 0 | 0 | 2.85 |
| 60 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +63.9 | 46 | 0.767 | +63.7 | 14 | 0 | 0 | 2.88 |
| 70 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +63.9 | 46 | 0.767 | +63.7 | 14 | 0 | 0 | 2.88 |
| 80 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +63.9 | 46 | 0.767 | +63.7 | 14 | 0 | 0 | 2.88 |
| 90 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +63.9 | 46 | 0.767 | +63.6 | 14 | 0 | 0 | 2.94 |
| 100 | 60 | 0 | 0.000 | +0.0 | 47 | 0.783 | +63.9 | 47 | 0.783 | +63.7 | 13 | 0 | 0 | 3.01 |
| 110 | 60 | 0 | 0.000 | +0.0 | 47 | 0.783 | +63.8 | 47 | 0.783 | +63.8 | 13 | 0 | 0 | 3.02 |
