# RBT-91 (a): compass or anti-compass? 84 arrivals from docs/artifacts/RBT-91-drift-baseline.txt, re-signed

Shape is not direction. A motif steers TOWARD food only if its sign agrees with the way
its robot actually drives; W4b-801's founders drive backward (-174 deg), so a descendant
that drives forward needs the opposite steering sign to be chemotactic (RBT-80).
Probe: RBT-80's own, 2 seeds x 3s, imported.
FOUNDER_BACKWARD = True

| arrival | raw a | heading | drives | re-signed a | verdict |
| P-801-final60 #14809 | -0.6392 | +1.4 deg | forward | **+0.6392** | **COMPASS** |
| P-801-final60 #15505 | -54.9782 | +170.7 deg | backward | **-54.9782** | **ANTI-COMPASS** |
| P-801-final60 #15780 | +0.4607 | -1.4 deg | forward | **-0.4607** | **ANTI-COMPASS** |
| P-801-final60 #21070 | +0.0690 | -173.2 deg | backward | **+0.0690** | **COMPASS** |
| P-801-final60 #22053 | -0.0055 | +178.3 deg | backward | **-0.0055** | **ANTI-COMPASS** |
| P-801-final60 #22102 | -1.3640 | -0.7 deg | forward | **+1.3640** | **COMPASS** |
| P-801-final60 #26023 | -0.0302 | -0.3 deg | forward | **+0.0302** | **COMPASS** |
| P-801-final60 #30934 | +0.0673 | +43.9 deg | forward | **-0.0673** | **ANTI-COMPASS** |
| P-801-final60 #36555 | -0.0160 | +171.1 deg | backward | **-0.0160** | **ANTI-COMPASS** |
| P-801-final60 #37762 | -0.0591 | +154.2 deg | backward | **-0.0591** | **ANTI-COMPASS** |
| P-801-final60 #39764 | -0.0002 | +1.6 deg | forward | **+0.0002** | **COMPASS** |
| P-801-final60 #41823 | -0.1767 | -3.7 deg | forward | **+0.1767** | **COMPASS** |
| P-801-final60 #43987 | +0.0609 | -63.9 deg | forward | **-0.0609** | **ANTI-COMPASS** |
| P-801-final60 #45993 | -0.0086 | +5.8 deg | forward | **+0.0086** | **COMPASS** |
| P-801-final60 #46762 | +0.0000 | +8.6 deg | forward | **-0.0000** | **ANTI-COMPASS** |
| P-801-final60 #49941 | +0.0651 | -2.8 deg | forward | **-0.0651** | **ANTI-COMPASS** |
| P-801-final60 #53643 | +0.0486 | -0.2 deg | forward | **-0.0486** | **ANTI-COMPASS** |
| P-801-final60 #57186 | -0.6377 | +159.8 deg | backward | **-0.6377** | **ANTI-COMPASS** |
| P-801-final60 #62841 | -14.3668 | +4.4 deg | forward | **+14.3668** | **COMPASS** |
| P-801-final60 #68121 | +0.4368 | +1.7 deg | forward | **-0.4368** | **ANTI-COMPASS** |
| P-801-final60 #70575 | -0.0164 | +178.3 deg | backward | **-0.0164** | **ANTI-COMPASS** |
| P-801-final60 #74740 | +1.2728 | +3.2 deg | forward | **-1.2728** | **ANTI-COMPASS** |
| P-801-final60 #82129 | -0.3834 | +2.3 deg | forward | **+0.3834** | **COMPASS** |
| P-801-final60 #82865 | +0.2272 | +1.0 deg | forward | **-0.2272** | **ANTI-COMPASS** |
| P-801-final60 #90783 | -0.0459 | -169.3 deg | backward | **-0.0459** | **ANTI-COMPASS** |
| P-801-final60 #92541 | -0.2228 | +0.5 deg | forward | **+0.2228** | **COMPASS** |
| P-801-final60 #97822 | +0.5521 | +10.9 deg | forward | **-0.5521** | **ANTI-COMPASS** |

  compasses 36, anti-compasses 48
  chemotactic fraction of structural arrivals: 42.9% [32.8%, 53.5%] (Wilson 95%)

  The structural rate counts shape and is unchanged. What this changes is what the
  rate MEANS: only the compasses are circuits a selection pressure could reward.
  Realised gains of the compasses, largest first: 14.3668, 9.0289, 1.3640, 1.2213, 0.7088, 0.6392, 0.6265, 0.5566 ...
  Against the first paying rung (6.8664): 2 of 36 reach it.
