RBT-80 population carriage — runs/RBT-80/seedA
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype

### seeded: 429 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
| 190 | 60 | 40 | 0.667 | +65.9 | 1.00 | 20 |
| 200 | 60 | 40 | 0.667 | +65.9 | 1.00 | 20 |
| 210 | 60 | 39 | 0.650 | +65.9 | 1.00 | 21 |
| 220 | 60 | 39 | 0.650 | +65.9 | 1.00 | 21 |
| 230 | 60 | 41 | 0.683 | +66.4 | 1.00 | 19 |
| 240 | 60 | 39 | 0.650 | +58.9 | 0.98 | 20 |
| 250 | 60 | 38 | 0.633 | +58.3 | 0.98 | 21 |
| 260 | 60 | 39 | 0.650 | +58.9 | 0.98 | 20 |
| 270 | 60 | 40 | 0.667 | +60.9 | 0.97 | 19 |
| 280 | 60 | 41 | 0.683 | +62.5 | 0.97 | 18 |
| 290 | 60 | 41 | 0.683 | +60.6 | 0.97 | 18 |
| 299 | 60 | 50 | 0.833 | +71.6 | 0.92 | 8 |

### Carrier fraction at the final sampled season
  seeded   season 299: 0.933  (n=60)
  control  season 299: 0.000  (n=60)
  drift    season 299: 0.833  (n=60)

  seeded − drift = +0.100   (pre-registered: HELD if >= +0.20, NOT HELD if |d| < 0.10; mutation-only floor 0.575 at 11 mutations)

[exited with code 0]

### Realised depth and demographic state (added post-hoc)

| arm | births | births/slot | median descent depth | mean age s290 -> s299 | turnover vs s290 |
|---|---|---|---|---|---|
| seeded | 660 | 11.0 | 8 | 33.5 -> 31.7 | 14/60 |
| control | 631 | 10.5 | 8 | 23.3 -> 26.9 | 10/60 |
| drift | 300 | 5.0 | 9 | 40.1 -> 9.1 | 40/60 |

mutation-only floor: depth 5 = 0.858, depth 8 = 0.700, depth 11 = 0.575
