season	population	sizes	names_in_groups_below_modal
160	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
160	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
161	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
161	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
162	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
162	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
163	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
163	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
164	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
164	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
165	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
165	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
166	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
166	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
167	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
167	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
168	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
168	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
169	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
169	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
170	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
170	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
171	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
171	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
172	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
172	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
173	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
173	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
174	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
174	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
175	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
175	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
176	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
176	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
177	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
177	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
178	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
178	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
179	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
179	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
180	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
180	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
181	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
181	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
182	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
182	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
183	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
