generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	1959386939		0.560082	0.497161	1.575960	3	15.340000	0.996453	0.698124	0.061526	5	15.337000	0.421721	10	40	50
1	1475713599		0.643501	0.458028	2.015085	8	15.340000	0.985800	0.325851	0.264309	5	15.337000				
2	68636375		0.573995	0.511305	1.495555	9	15.340000	0.741449	0.331025	0.178428	5	15.337000				
3	1492422985		0.538127	0.449352	1.495555	9	15.340000	0.790685	0.440950	0.266050	5	15.337000				
4	852550635		0.504256	0.435692	1.495555	9	15.340000	0.722537	0.354916	1.124041	5	15.337000				
5	1783295775		0.512804	0.446447	1.495555	9	15.340000	0.862601	0.497961	0.251993	5	15.337000	0.482541	20	30	50
6	160989931		0.518192	0.448564	1.495555	9	15.340000	0.586403	0.429039	0.955263	5	15.337000				
7	1028786385		0.532805	0.430583	1.311393	5	15.340000	1.000000	0.559170	0.488282	5	15.337000				
8	1285167719		0.538920	0.441473	2.000002	6	15.340000	1.000000	0.458413	0.687388	5	15.337000				
9	936899132		0.538920	0.499306	2.000002	6	15.340000	0.618136	0.363712	0.202128	5	15.337000				
10	2044325231		0.558234	0.505043	1.582726	9	15.340000	0.882055	0.462643	0.096986	5	15.337000	0.186754	2	48	50
11	1790505237		0.545247	0.428131	1.699200	9	15.340000	0.910639	0.291546	0.058923	5	15.337000				
12	1897557533		0.525305	0.419906	1.747449	9	15.340000	1.000000	0.454575	1.928421	5	15.337000				
13	509921259		0.553498	0.451892	1.686767	14	15.340000	0.849433	0.461879	0.117787	5	15.337000				
14	400926204		0.535152	0.463390	1.465172	9	15.340000	0.853306	0.378796	0.078706	5	15.337000				
15	116782509		0.747609	0.458977	0.534879	14	15.340000	0.989459	0.665629	0.044651	5	15.337000	0.370911	13	37	50
16	373945988		1.000000	0.550500	2.203174	10	15.340000	0.921735	0.333199	0.053742	5	15.337000				
17	900482791		0.586671	0.483139	2.003002	14	15.340000	0.810484	0.339341	0.105951	5	15.337000				
18	820973882		0.749870	0.498978	0.668005	12	15.340000	0.929394	0.431513	0.031848	5	15.337000				
19	1708217417		0.635875	0.327318	0.961319	12	15.340000	0.742072	0.555874	0.883212	5	15.337000				
20	1893095452		0.715578	0.317017	0.786490	12	15.340000	0.826871	0.457966	0.260360	5	15.337000	0.309529	6	44	50
21	746835733		0.713252	0.409138	1.517553	12	15.340000	0.668523	0.463632	0.290230	5	15.337000				
22	294881051		0.644269	0.393125	1.362116	12	15.340000	0.995058	0.608990	0.003639	5	15.337000				
23	267959379		0.805410	0.314649	0.989308	12	15.340000	0.783570	0.304260	0.289726	5	15.337000				
24	1205243451		0.521976	0.342564	1.856469	12	15.340000	0.804506	0.338395	0.207145	5	15.337000				
25	517328657		0.539192	0.284295	1.732466	12	15.340000	0.899754	0.345453	0.087725	5	15.337000	0.203332	1	49	50
26	1722571018		0.521976	0.335527	1.856469	12	15.340000	0.886215	0.428783	0.409642	5	15.337000				
27	720341965		0.743162	0.375733	0.700484	12	15.340000	0.970353	0.414457	0.046608	5	15.337000				
28	1757277411		0.474370	0.352091	1.224656	12	15.340000	1.000000	0.507399	1.279542	5	15.337000				
29	1806023297		0.555346	0.309437	0.880106	12	15.340000	0.929866	0.446401	0.090167	5	15.337000				
30	1783384279		0.614722	0.345526	0.494059	14	15.340000	0.922820	0.461382	1.071314	5	15.337000	0.472609	14	36	50
31	1929080514		0.541769	0.396890	1.029203	12	15.340000	0.800789	0.401917	0.110753	5	15.337000				
32	11589315		0.588155	0.384028	1.458937	12	15.340000	1.000000	0.457366	7.449448	5	15.337000				
33	541805050		0.806047	0.322490	0.787855	12	15.340000	0.570579	0.315873	0.454974	5	15.337000				
34	1356436526		0.515334	0.311667	0.807654	12	15.340000	0.857889	0.438364	0.176144	5	15.337000				
35	809179924		0.547451	0.381268	1.537028	12	15.340000	0.979282	0.480607	0.208637	5	15.337000	0.276333	5	45	50
36	133958559		0.495855	0.292182	1.890516	12	15.340000	0.858611	0.411487	0.078288	5	15.337000				
37	565523763		0.647829	0.301119	1.090201	12	15.340000	0.862083	0.345176	0.534098	5	15.337000				
38	1523863946		0.645229	0.312026	1.102675	12	15.340000	0.887056	0.444648	0.289599	5	15.337000				
39	1065770675		0.575845	0.343754	1.477290	12	15.340000	0.741442	0.408116	0.705698	5	15.337000				
40	417826216		0.614771	0.357953	1.347508	12	15.340000	0.980680	0.765270	0.273202	5	15.337000	0.402065	12	38	50
41	739100861		0.609952	0.379845	0.706909	12	15.340000	0.836895	0.439249	0.274100	5	15.337000				
42	1947834913		0.584351	0.391750	1.210635	12	15.340000	0.879537	0.394714	0.181893	5	15.337000				
43	1973324555		0.712298	0.323966	0.806810	12	15.340000	0.954500	0.549386	1.248827	5	15.337000				
44	1297604338		0.666561	0.356555	0.775361	12	15.340000	0.657727	0.458729	0.410001	5	15.337000				
45	299887486		0.672893	0.318665	0.753479	12	15.340000	1.000000	0.517921	2.100119	5	15.337000	0.455887	18	32	50
46	1468827276		0.744434	0.376111	0.455616	14	15.340000	0.829526	0.412927	0.380606	5	15.337000				
47	1873058975		0.701858	0.248516	0.546851	14	15.340000	0.839102	0.445173	0.154381	5	15.337000				
48	1215747942		0.563389	0.298702	0.680554	12	15.340000	0.854464	0.413790	0.137412	5	15.337000				
49	541216609		0.734182	0.391136	0.604474	14	15.340000	0.888088	0.409923	0.135485	5	15.337000				
50	1957671890		0.764633	0.363052	0.399439	14	15.340000	0.788787	0.433572	0.230993	5	15.337000	0.440599	20	30	50
51	1521241534		0.651229	0.232724	0.472152	14	15.340000	0.882766	0.513589	0.117970	5	15.337000				
52	710704846		0.570908	0.314796	0.779228	14	15.340000	0.796367	0.470476	0.387901	5	15.337000				
53	1440340364		0.741294	0.199089	0.363874	14	15.340000	0.812265	0.460492	1.189491	5	15.337000				
54	539268844		0.559474	0.210208	0.520541	14	15.340000	0.822157	0.419739	0.216690	5	15.337000				
55	1048924813		0.750699	0.212347	0.374988	14	15.340000	0.906725	0.374116	0.168703	5	15.337000	0.494027	23	27	50
56	309476356		0.689052	0.278715	0.426273	14	15.340000	0.856473	0.427755	0.179596	5	15.337000				
57	950375215		0.678568	0.224551	0.451165	14	15.340000	0.730163	0.511280	0.527032	5	15.337000				
58	186194703		0.659670	0.215093	0.447449	14	15.340000	0.761749	0.355867	0.301342	5	15.337000				
