population	name	generation	age	evals	fitness	parents
conventional	ce1132	536	4	4	0.1702	ce1115,ce1048
conventional	ce1133	591	59	59	1.0648	ce1030
conventional	ce1134	533	1	1	-0.6806	ce1059
holistic	he858	592	59	59	0.9375	he805,he838
conventional	ce1135	593	59	59	0.8902	ce1040,ce1098
conventional	ce1136	540	6	6	0.2011	ce1109,ce1118
conventional	ce1137	593	59	59	0.652	ce1097,ce1082
conventional	ce1138	550	15	15	0.2204	ce1036
conventional	ce1139	540	5	5	0.1018	ce1054,ce1056
conventional	ce1140	594	59	59	0.6899	ce1048
holistic	he859	595	59	59	0.6656	he790
conventional	ce1141	575	39	39	0.2449	ce1056
conventional	ce1142	536	0	0	0.0	ce1062,ce1054
conventional	ce1143	596	59	59	0.6538	ce1095,ce1067
conventional	ce1144	539	2	2	-0.0116	ce1048
conventional	ce1145	538	1	1	-0.5493	ce1064
conventional	ce1146	597	59	59	0.8116	ce1081
conventional	ce1147	538	0	0	0.0	ce1129
conventional	ce1148	597	59	59	1.0298	ce1122,ce1061
conventional	ce1149	555	16	16	0.2349	ce1040
conventional	ce1150	598	59	59	0.5938	ce1129,ce1104
conventional	ce1151	545	6	6	0.2146	ce1042
conventional	ce1152	540	1	1	0.2334	ce1049
conventional	ce1153	542	2	2	-0.1536	ce1105
conventional	ce1154	543	3	3	0.0081	ce1054,ce1071
conventional	ce1155	599	58	58	1.1158	ce1048
conventional	ce1156	599	58	58	1.0767	ce1060
conventional	ce1157	541	0	0	0.0	ce1095
conventional	ce1158	545	4	4	0.021	ce1067
conventional	ce1159	599	58	58	0.8309	ce1116
conventional	ce1160	543	1	1	-0.6519	ce1058
conventional	ce1161	546	3	3	0.0825	ce1049
conventional	ce1162	599	56	56	0.7899	ce1089
conventional	ce1163	553	10	10	0.2023	ce1129
holistic	he860	599	55	55	1.2046	he807
conventional	ce1164	549	5	5	0.2051	ce1114
conventional	ce1165	599	55	55	1.0755	ce1057,ce1104
holistic	he861	599	54	54	1.3972	he844
conventional	ce1166	545	0	0	0.0	ce1074,ce1076
conventional	ce1167	599	54	54	0.8414	ce1060,ce1137
holistic	he862	599	53	53	0.6715	he854,he830
conventional	ce1168	546	0	0	0.0	ce1071
conventional	ce1169	599	53	53	0.8024	ce1060,ce1081
conventional	ce1170	548	2	2	0.2468	ce1098
conventional	ce1171	599	53	53	0.946	ce1058
conventional	ce1172	599	52	52	1.2295	ce1111
conventional	ce1173	599	52	52	0.7214	ce1098
holistic	he863	599	51	51	1.2133	he805
holistic	he864	599	50	50	1.1676	he845
conventional	ce1174	599	50	50	0.6969	ce1137
conventional	ce1175	551	1	1	-0.7497	ce1077
conventional	ce1176	552	2	2	-0.2147	ce1074
holistic	he865	599	48	48	1.2813	he796,he826
holistic	he866	599	48	48	0.7519	he800
conventional	ce1177	559	8	8	0.1765	ce1130
holistic	he867	599	47	47	1.442	he810
holistic	he868	599	47	47	0.8174	he828,he831
conventional	ce1178	552	0	0	0.0	ce1109
conventional	ce1179	573	21	21	0.2227	ce1056
holistic	he869	599	46	46	1.5993	he832
conventional	ce1180	555	2	2	-0.0834	ce1081
conventional	ce1181	555	2	2	-0.0628	ce1098,ce1111
conventional	ce1182	599	46	46	0.6456	ce1130
holistic	he870	556	2	2	-0.2038	he849
holistic	he871	557	3	3	-0.0036	he864
conventional	ce1183	599	45	45	0.3828	ce1060
conventional	ce1184	599	45	45	0.5892	ce1098,ce1140
holistic	he872	599	44	44	1.2079	he808
conventional	ce1185	599	44	44	0.8308	ce1171
conventional	ce1186	589	34	34	0.2427	ce1087
conventional	ce1187	599	44	44	0.5111	ce1081
conventional	ce1188	599	43	43	1.2335	ce1169
conventional	ce1189	599	43	43	0.8018	ce1061
conventional	ce1190	558	2	2	-0.1553	ce1071,ce1167
conventional	ce1191	556	0	0	0.0	ce1081,ce1182
conventional	ce1192	599	43	43	1.158	ce1067
holistic	he873	564	7	7	0.1168	he848
holistic	he874	599	42	42	2.8639	he855
conventional	ce1193	557	0	0	0.0	ce1105,ce1150
conventional	ce1194	559	2	2	-0.1948	ce1114
holistic	he875	599	41	41	1.2031	he857
holistic	he876	559	1	1	-0.2676	he858
holistic	he877	599	41	41	1.3621	he815
conventional	ce1195	560	2	2	0.2026	ce1133,ce1185
conventional	ce1196	599	40	40	0.6947	ce1074
holistic	he878	599	39	39	1.1047	he867
conventional	ce1197	599	39	39	1.1105	ce1104,ce1143
conventional	ce1198	560	0	0	0.0	ce1077,ce1104
conventional	ce1199	599	39	39	0.7138	ce1076
holistic	he879	599	38	38	0.7628	he867
holistic	he880	599	38	38	0.5713	he850
conventional	ce1200	563	2	2	0.1946	ce1081
conventional	ce1201	599	38	38	1.484	ce1172
holistic	he881	567	3	3	0.0	he824
holistic	he882	599	35	35	1.4301	he879,he862
conventional	ce1202	599	35	35	0.9851	ce1174
conventional	ce1203	565	1	1	-0.7263	ce1169,ce1087
holistic	he883	568	3	3	-0.0153	he861,he867
holistic	he884	571	6	6	0.0992	he816,he874
conventional	ce1204	599	33	33	0.7449	ce1077
conventional	ce1205	599	33	33	1.1786	ce1096
holistic	he885	599	32	32	0.9644	he828
holistic	he886	599	32	32	0.5024	he859
holistic	he887	599	32	32	1.1029	he840
conventional	ce1206	599	32	32	1.0725	ce1188,ce1179
holistic	he888	599	31	31	1.3224	he869
conventional	ce1207	599	31	31	0.4453	ce1196
conventional	ce1208	599	31	31	1.0725	ce1082
holistic	he889	599	30	30	0.5942	he833
holistic	he890	599	30	30	1.1263	he824
conventional	ce1209	570	1	1	-0.7091	ce1109,ce1123
conventional	ce1210	569	0	0	0.0	ce1137
conventional	ce1211	571	1	1	-0.6517	ce1185
holistic	he891	574	3	3	-0.0023	he879
holistic	he892	599	28	28	1.2112	he888
holistic	he893	599	28	28	0.6988	he825
conventional	ce1212	599	28	28	0.9215	ce1206,ce1205
conventional	ce1213	572	1	1	-0.4751	ce1162
holistic	he894	599	27	27	0.8073	he825
holistic	he895	599	27	27	1.5794	he857
conventional	ce1214	573	1	1	-0.6464	ce1135,ce1143
conventional	ce1215	578	6	6	0.2302	ce1097
holistic	he896	599	26	26	1.5334	he840
holistic	he897	599	26	26	1.2499	he837
conventional	ce1216	574	1	1	-0.7104	ce1185
holistic	he898	599	25	25	2.4787	he841
holistic	he899	577	3	3	-0.0	he852,he831
conventional	ce1217	599	25	25	0.3939	ce1133,ce1140
conventional	ce1218	576	2	2	0.0358	ce1140
holistic	he900	599	24	24	0.72	he854
holistic	he901	599	24	24	1.0217	he868
holistic	he902	599	24	24	0.8645	he889
holistic	he903	599	24	24	0.8826	he844,he835
holistic	he904	599	24	24	1.0909	he836
conventional	ce1219	589	14	14	0.2128	ce1148
conventional	ce1220	599	24	24	0.4813	ce1109,ce1135
conventional	ce1221	599	23	23	0.9806	ce1118
conventional	ce1222	599	23	23	0.8284	ce1182,ce1143
holistic	he905	588	11	11	0.1771	he886,he880
conventional	ce1223	599	22	22	0.4851	ce1123
conventional	ce1224	577	0	0	0.0	ce1109
holistic	he906	599	21	21	1.3326	he888
holistic	he907	599	21	21	1.1494	he885
holistic	he908	581	3	3	-0.0004	he850,he869
holistic	he909	581	3	3	-0.003	he862
conventional	ce1225	593	15	15	0.2064	ce1140
conventional	ce1226	599	21	21	0.9706	ce1123
holistic	he910	599	20	20	0.6533	he888
conventional	ce1227	599	20	20	1.0434	ce1201
holistic	he911	583	3	3	-0.0345	he890
holistic	he912	599	19	19	1.8696	he874
holistic	he913	599	19	19	1.7888	he875
holistic	he914	599	19	19	0.9326	he886,he887
holistic	he915	583	3	3	-0.0005	he864
holistic	he916	584	3	3	-0.0018	he898
holistic	he917	599	18	18	0.6889	he860
holistic	he918	599	17	17	0.2311	he906,he886
holistic	he919	583	1	1	-0.002	he854
conventional	ce1228	582	0	0	0.0	ce1212,ce1225
conventional	ce1229	583	1	1	-0.5627	ce1173
holistic	he920	599	16	16	1.3651	he851
conventional	ce1230	583	0	0	0.0	ce1189
conventional	ce1231	599	16	16	1.3258	ce1156
holistic	he921	599	15	15	1.4242	he895
holistic	he922	599	15	15	0.6852	he853
holistic	he923	587	3	3	-0.0029	he852
holistic	he924	599	15	15	0.5814	he917
conventional	ce1232	586	2	2	-0.0789	ce1125,ce1169
conventional	ce1233	599	15	15	1.5244	ce1116,ce1197
conventional	ce1234	585	1	1	-0.6599	ce1212,ce1129
holistic	he925	599	14	14	0.7464	he913
conventional	ce1235	599	14	14	0.7038	ce1185
conventional	ce1236	599	14	14	0.5357	ce1189
conventional	ce1237	599	13	13	1.0222	ce1143
conventional	ce1238	599	13	13	0.8265	ce1159,ce1187
conventional	ce1239	599	13	13	0.2916	ce1226
holistic	he926	599	12	12	0.8175	he901
holistic	he927	599	12	12	0.661	he887
holistic	he928	599	12	12	0.7018	he882
conventional	ce1240	599	12	12	0.721	ce1174,ce1192
holistic	he929	591	3	3	0.0	he874,he859
holistic	he930	599	10	10	0.9927	he856
holistic	he931	599	10	10	0.9741	he904
conventional	ce1241	590	1	1	-0.5399	ce1197,ce1185
conventional	ce1242	591	2	2	-0.038	ce1183
holistic	he932	591	1	1	-0.2569	he921,he895
holistic	he933	599	9	9	1.7788	he912
conventional	ce1243	595	5	5	0.1851	ce1204
conventional	ce1244	590	0	0	0.0	ce1172
holistic	he934	599	8	8	0.4077	he931
conventional	ce1245	599	8	8	1.5575	ce1192
conventional	ce1246	591	0	0	0.0	ce1212
conventional	ce1247	599	8	8	2.0716	ce1135
conventional	ce1248	593	2	2	-0.2365	ce1184
holistic	he935	595	3	3	0.0	he898
holistic	he936	599	7	7	1.2424	he879
conventional	ce1249	596	4	4	0.0717	ce1202
conventional	ce1250	594	2	2	0.0094	ce1162
conventional	ce1251	599	7	7	0.9843	ce1188
holistic	he937	596	3	3	-0.0004	he903,he889
conventional	ce1252	599	5	5	0.2565	ce1208
conventional	ce1253	597	3	3	0.0239	ce1143
conventional	ce1254	599	5	5	0.2169	ce1202
conventional	ce1255	599	5	5	0.269	ce1236
conventional	ce1256	596	1	1	-0.5642	ce1183,ce1202
conventional	ce1257	599	4	4	1.3719	ce1245,ce1231
holistic	he938	599	3	3	2.182	he892,he896
holistic	he939	597	1	1	-0.485	he879,he860
conventional	ce1258	596	0	0	0.0	ce1205,ce1165
holistic	he940	599	2	2	2.8157	he912,he864
conventional	ce1259	599	2	2	-0.0576	ce1247,ce1221
conventional	ce1260	599	2	2	1.2257	ce1237
conventional	ce1261	599	2	2	0.5382	ce1192
conventional	ce1262	598	1	1	-0.5065	ce1223
holistic	he941	599	1	1	1.9507	he922
conventional	ce1263	599	1	1	-0.6143	ce1196,ce1220
conventional	ce1264	599	1	1	1.3276	ce1235
conventional	ce1265	599	1	1	2.4858	ce1223,ce1169
conventional	ce1266	599	0	0	0.0	ce1236
conventional	ce1267	599	0	0	0.0	ce1162
