# RBT-101 adversary probe A: `new` against reproduction depth and against a non-posture placebo, baseline arms only (no terrain change), pseudo-onsets T every 20 seasons, P at T + 160
seed	fauna	T	|P|	new	new_other	depth	births
forage-805	holistic	420	60	0.200	0.083	4.13	232
forage-805	conventional	420	60	0.133	0.233	3.98	279
forage-806	holistic	100	60	0.017	0.067	3.82	233
forage-806	conventional	100	60	0.017	0.100	4.57	320
forage-806	holistic	120	60	0.017	0.083	4.10	262
forage-806	conventional	120	60	0.067	0.167	4.48	328
forage-806	holistic	140	60	0.017	0.117	4.18	278
forage-806	conventional	140	60	0.150	0.233	4.42	310
forage-806	holistic	160	60	0.033	0.117	3.63	244
forage-806	conventional	160	60	0.117	0.300	4.68	308
forage-806	holistic	180	60	0.100	0.133	3.92	257
forage-806	conventional	180	60	0.050	0.300	4.53	292
forage-806	holistic	200	60	0.133	0.133	4.22	278
forage-806	conventional	200	60	0.000	0.400	4.78	294
forage-806	holistic	220	60	0.100	0.100	4.00	257
forage-806	conventional	220	60	0.000	0.517	4.92	307
forage-806	holistic	240	60	0.133	0.067	4.30	284
forage-806	conventional	240	60	0.017	0.450	4.63	289
forage-806	holistic	260	60	0.067	0.033	4.67	305
forage-806	conventional	260	60	0.067	0.433	4.18	276
forage-806	holistic	280	60	0.067	0.033	4.40	292
forage-806	conventional	280	60	0.067	0.450	4.40	276
forage-806	holistic	300	60	0.033	0.017	4.33	301
forage-806	conventional	300	60	0.017	0.367	4.32	271
forage-806	holistic	320	60	0.033	0.033	4.40	334
forage-806	conventional	320	60	0.100	0.183	3.92	263
forage-806	holistic	340	60	0.050	0.033	4.25	319
forage-806	conventional	340	60	0.083	0.133	4.35	266
forage-806	holistic	360	60	0.017	0.033	4.22	310
forage-806	conventional	360	60	0.100	0.133	4.35	255
forage-806	holistic	380	60	0.033	0.067	4.85	304
forage-806	conventional	380	60	0.050	0.167	4.08	228
forage-806	holistic	400	60	0.067	0.067	4.52	274
forage-806	conventional	400	60	0.050	0.133	3.98	220
forage-806	holistic	420	60	0.133	0.083	4.37	270
forage-806	conventional	420	60	0.067	0.150	3.88	216
forage-807	holistic	100	60	0.000	0.050	3.87	235
forage-807	conventional	100	60	0.183	0.067	3.98	306
forage-807	holistic	120	60	0.000	0.067	4.62	271
forage-807	conventional	120	60	0.150	0.133	4.30	312
forage-807	holistic	140	60	0.017	0.083	4.33	256
forage-807	conventional	140	60	0.050	0.200	4.03	298
forage-807	holistic	160	60	0.017	0.067	4.15	230
forage-807	conventional	160	60	0.050	0.250	4.33	277
forage-807	holistic	180	60	0.017	0.083	4.70	259
forage-807	conventional	180	60	0.000	0.217	4.53	295
forage-807	holistic	200	60	0.000	0.083	4.50	256
forage-807	conventional	200	60	0.000	0.150	4.45	287
