generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	1060457471		0.537182	0.487005	2.009532	2	15.340000	0.991400	0.399852	0.046421	5	15.337000	0.387519	14	36	50
1	205314379		0.523570	0.495963	1.828602	2	15.340000	0.705397	0.354597	0.361797	5	15.337000				
2	555074330		0.578503	0.480749	2.000000	1	13.500000	1.000000	0.418097	1.002891	5	15.337000				
3	2137071901		0.680889	0.505556	0.937337	3	15.340000	1.000000	0.375883	4.230950	5	15.337000				
4	1269938626		0.579826	0.459657	1.669060	6	15.340000	0.989218	0.583142	0.255813	5	15.337000				
5	118666479		0.520975	0.483230	1.961742	10	15.340000	0.832226	0.437312	0.405640	5	15.337000	0.354273	9	41	50
6	93283740		0.533027	0.498167	1.718639	6	15.340000	0.915199	0.327523	0.134951	5	15.337000				
7	309750140		0.515896	0.464972	1.718635	6	15.340000	0.925314	0.365474	0.117262	5	15.337000				
8	1627334457		0.509733	0.469298	1.653006	4	15.340000	0.755194	0.375019	0.227941	5	15.337000				
9	1195044209		0.534906	0.473655	1.652821	4	15.340000	0.583990	0.344222	0.369156	5	15.337000				
10	1328214765		0.534873	0.477071	1.653009	4	15.340000	0.724432	0.400067	0.215026	5	15.337000	0.295898	5	45	50
11	1782209852		0.526992	0.471883	1.706184	5	15.340000	0.955229	0.555179	0.105585	5	15.337000				
12	766172909		0.540611	0.456364	1.617055	5	15.340000	0.785579	0.482439	0.304917	5	15.337000				
13	1462065297		0.517500	0.470436	1.635060	5	15.340000	0.851896	0.495705	0.243782	5	15.337000				
14	608543748		0.521192	0.449131	1.598994	5	15.340000	1.000000	0.656802	1.542674	5	15.337000				
15	87726840		0.562115	0.460699	1.821442	6	15.340000	0.885628	0.502260	0.891248	5	15.337000	0.387020	6	44	50
16	1079553253		0.549787	0.483566	1.821442	6	15.340000	0.819059	0.395347	0.258089	5	15.337000				
17	954217077		0.515724	0.484073	1.710376	5	15.340000	0.887563	0.395490	0.122481	5	15.337000				
18	26532665		0.505118	0.465026	1.675198	3	15.340000	1.000000	0.573058	0.934242	5	15.337000				
19	612066895		0.516468	0.482737	1.848376	6	15.340000	0.936440	0.401372	0.031617	5	15.337000				
20	1765453164		0.519465	0.483437	1.709850	5	15.340000	0.713088	0.384844	0.524172	5	15.337000	0.272374	2	48	50
21	261955361		0.526053	0.461369	1.540488	6	15.340000	0.923854	0.413267	0.119180	5	15.337000				
22	650224613		0.546397	0.448335	1.540488	6	15.340000	0.827149	0.459785	0.182322	5	15.337000				
23	515190408		0.550629	0.467720	1.454518	6	15.340000	1.000000	0.543626	1.504592	5	15.337000				
24	73356912		0.514336	0.435442	1.454518	6	15.340000	0.885233	0.513123	0.173446	5	15.337000				
25	1706906037		0.504362	0.442117	1.540475	6	15.340000	0.774990	0.503424	0.428102	5	15.337000	0.336463	4	46	50
26	1518673436		0.503946	0.431569	1.540475	6	15.340000	0.851580	0.547035	0.101219	5	15.337000				
27	1891663659		0.503946	0.433117	1.540475	6	15.340000	0.749548	0.453957	0.394787	5	15.337000				
28	1605506918		0.511411	0.445484	1.540475	6	15.340000	0.882887	0.514608	0.074418	5	15.337000				
29	1922009621		0.503946	0.430333	1.540475	6	15.340000	0.774799	0.427692	0.104161	5	15.337000				
