season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
    51  holistic         60       0       0  1.817/1.065           36.6       54
    51  conventional     60       0       0  3.518/0.938           32.1       58
    52  holistic         60       0       0  1.850/1.050           37.6       55
    52  conventional     60       1       1  2.511/0.925           33.1       59
    53  holistic         60       1       1  1.964/1.058           38.5       56
    53  conventional     60       1       1  2.158/0.927           33.1       59
    54  holistic         60       1       1  1.937/1.047           39.4       57
    54  conventional     60       1       1  1.997/0.885           33.1       52
    55  holistic         60       0       0  2.017/1.040           40.4       58
    55  conventional     60       0       0  2.283/0.884           34.1       53
    56  holistic         60       0       0  1.990/1.047           41.4       59
    56  conventional     60       1       1  1.813/0.910           35.1       54
    57  holistic         60       1       1  2.014/1.055           41.4       57
    57  conventional     60       0       0  2.044/0.902           36.1       55
    58  holistic         60       1       1  2.037/1.060           42.4       58
    58  conventional     60       1       1  2.222/0.902           37.0       56
    59  holistic         60       0       0  2.036/1.053           43.4       59
    59  conventional     60       0       0  2.375/0.945           38.0       57
    60  holistic         60       1       1  2.011/1.016           43.4       59
    60  conventional     60       0       0  2.872/0.934           39.0       58
    61  holistic         60       3       3  2.711/1.012           42.3       58
    61  conventional     60       0       0  1.924/0.916           40.0       59
    62  holistic         60       1       1  2.009/0.984           43.2       59
    62  conventional     60       2       2  1.800/0.894           39.0       59
    63  holistic         60       2       2  2.008/1.007           42.2       59
    63  conventional     60       1       1  2.494/0.952           39.0       59
    64  holistic         60       1       1  3.920/1.099           42.2       59
    64  conventional     60       3       3  2.539/0.913           37.0       59
    65  holistic         60       3       3  2.418/1.058           41.2       59
    65  conventional     60       3       3  2.358/0.892           35.9       59
    66  holistic         60       1       1  2.253/1.142           41.2       59
    66  conventional     60       1       1  4.432/1.010           35.9       59
    67  holistic         60       1       1  2.025/1.073           41.2       58
    67  conventional     60       3       3  3.509/1.025           33.9       59
    68  holistic         60       0       0  2.004/1.065           42.2       59
    68  conventional     60       5       5  2.965/0.900           31.4       59
    69  holistic         60       2       2  2.063/1.041           41.2       59
    69  conventional     60       4       4  2.147/0.873           30.4       59
    70  holistic         60       2       2  2.096/1.025           40.2       59
    70  conventional     60       2       2  2.236/0.962           30.3       59
    71  holistic         60       5       5  2.112/0.942           36.2       59
    71  conventional     60       3       3  2.398/0.992           29.3       59
    72  holistic         60       5       5  2.092/0.937           32.2       59
    72  conventional     60       3       3  2.191/0.880           28.2       59
    73  holistic         60       6       6  2.982/0.873           28.1       59
    73  conventional     60      10      10  2.028/0.797           23.1       59
    74  holistic         60       7       7  2.982/0.776           22.1       59
    74  conventional     60       4       4  1.998/0.849           22.0       59
    75  holistic         60       8       8  2.981/0.764           16.0       59
    75  conventional     60       4       4  2.156/0.881           21.9       59
    76  holistic         60       6       6  2.966/0.867           12.9       59
    76  conventional     60       2       2  2.492/0.963           21.8       56
    77  holistic         60       4       4  3.945/0.897           12.7       58
    77  conventional     60       3       3  1.859/0.864           22.7       57
    78  holistic         60       2       2  2.608/0.884           13.2       59
    78  conventional     60       2       2  4.377/1.005           23.4       58
    79  holistic         60       6       6  2.930/0.895           11.9       56
    79  conventional     60       0       0  1.913/0.952           24.4       59
    80  holistic         60       2       2  2.930/0.999           12.8       57
    80  conventional     60       2       2  1.808/0.953           24.4       59
    81  holistic         60       0       0  2.859/1.013           13.8       58
    81  conventional     60       4       4  2.190/0.871           22.3       59
    82  holistic         60       0       0  2.680/1.010           14.8       59
    82  conventional     60       1       1  2.532/1.052           22.3       59
    83  holistic         60       4       4  2.520/0.942           12.7       58
    83  conventional     60       3       3  3.286/1.003           21.1       56
    84  holistic         60       0       0  2.842/1.037           13.7       59
    84  conventional     60       1       1  3.287/0.972           21.4       57
    85  holistic         60       2       2  2.492/1.026           12.7       58
    85  conventional     60       0       0  6.505/1.042           22.4       58
    86  holistic         60       0       0  2.397/1.011           13.7       59
    86  conventional     60       3       3  4.005/0.989           23.2       59
    87  holistic         60       1       1  2.202/1.006           13.7       38
    87  conventional     60       1       1  3.174/1.000           23.2       57
    88  holistic         60       0       0  2.629/0.984           14.7       39
    88  conventional     60       1       1  2.511/1.027           24.1       58
    89  holistic         60       0       0  2.474/1.004           15.7       40
    89  conventional     60       1       1  2.309/1.000           24.8       59
    90  holistic         60       0       0  2.512/1.008           16.7       41
    90  conventional     60       3       3  1.882/0.960           24.7       59
    91  holistic         60       1       1  2.391/1.038           17.5       42
    91  conventional     60       3       3  1.911/0.914           22.7       59
    92  holistic         60       0       0  2.358/1.028           18.5       43
    92  conventional     60       2       2  1.885/0.880           22.6       59
    93  holistic         60       0       0  2.196/1.030           19.5       44
    93  conventional     60       3       3  3.320/0.935           21.6       59
    94  holistic         60       0       0  2.242/1.038           20.5       45
    94  conventional     60       1       1  2.495/0.911           21.6       59
    95  holistic         60       1       1  2.283/1.038           21.4       46
    95  conventional     60       4       4  1.939/0.919           21.1       58
    96  holistic         60       0       0  2.152/1.026           22.4       47
    96  conventional     60       1       1  1.680/0.867           22.1       59
    97  holistic         60       0       0  2.614/1.028           23.4       48
    97  conventional     60       4       4  1.762/0.866           21.9       59
    98  holistic         60       0       0  2.530/1.026           24.4       49
    98  conventional     60       1       1  4.532/0.972           21.9       57
    99  holistic         60       0       0  2.406/1.032           25.4       50
    99  conventional     60       0       0  3.030/0.977           22.9       58
   100  holistic         60       0       0  2.338/1.049           26.4       51
   100  conventional     60       0       0  2.193/0.955           23.9       59
   101  holistic         60       0       0  2.277/1.040           27.4       52
   101  conventional     60       1       1  1.797/0.898           23.9       57
   102  holistic         60       0       0  2.180/1.034           28.4       53
   102  conventional     60       0       0  1.729/0.876           24.9       58
   103  holistic         60       1       1  2.249/1.035           29.3       54
   103  conventional     60       2       2  1.724/0.888           25.1       59
   104  holistic         60       0       0  2.237/1.035           30.3       55
   104  conventional     60       1       1  1.663/0.843           25.1       59
   105  holistic         60       0       0  2.226/1.024           31.3       56
   105  conventional     60       3       3  1.665/0.808           24.9       55
   106  holistic         60       0       0  2.215/1.033           32.3       57
   106  conventional     60       1       1  3.379/0.877           25.9       56
   107  holistic         60       0       0  2.171/1.030           33.3       58
   107  conventional     60       2       2  1.935/0.882           26.8       57
   108  holistic         60       0       0  2.096/1.034           34.3       59
   108  conventional     60       0       0  1.887/0.897           27.8       58
   109  holistic         60       1       1  2.155/1.030           34.3       49
   109  conventional     60       1       1  1.821/0.856           28.8       59
   110  holistic         60       0       0  2.211/1.035           35.3       50
   110  conventional     60       1       1  1.806/0.847           28.8       57
   111  holistic         60       0       0  2.142/1.038           36.3       51
   111  conventional     60       1       1  1.766/0.858           29.7       58
   112  holistic         60       0       0  2.165/1.034           37.3       52
   112  conventional     60       0       0  1.786/0.831           30.7       59
   113  holistic         60       1       1  2.187/1.042           38.2       53
   113  conventional     60       2       2  1.831/0.848           30.7       55
   114  holistic         60       0       0  2.152/1.046           39.2       54
   114  conventional     60       1       1  1.873/0.880           31.7       56
   115  holistic         60       0       0  2.146/1.063           40.2       55
   115  conventional     60       1       1  1.814/0.882           32.6       57
   116  holistic         60       1       1  2.166/1.054           40.6       56
   116  conventional     60       0       0  2.025/0.865           33.6       58
   117  holistic         60       0       0  2.135/1.070           41.6       57
   117  conventional     60       1       1  2.314/0.874           34.5       59
   118  holistic         60       0       0  2.130/1.065           42.6       58
   118  conventional     60       1       1  2.257/0.839           34.5       56
   119  holistic         60       0       0  2.149/1.055           43.6       59
   119  conventional     60       1       1  2.607/0.870           35.5       57
   120  holistic         60       2       2  2.096/1.029           43.5       59
   120  conventional     60       0       0  1.896/0.820           36.5       58
   121  holistic         60       2       2  2.046/1.061           42.5       59
   121  conventional     60       1       1  1.998/0.857           37.5       59
   122  holistic         60       1       1  7.886/1.153           42.5       59
   122  conventional     60       4       4  2.030/0.808           36.2       58
   123  holistic         60       2       2  4.882/1.076           41.5       59
   123  conventional     60       0       0  2.224/0.830           37.2       59
   124  holistic         60       1       1  3.548/1.062           41.5       59
   124  conventional     60       4       4  2.188/0.758           35.2       59
   125  holistic         60       4       4  2.632/0.994           39.5       59
   125  conventional     60       5       5  2.205/0.695           34.0       59
   126  holistic         60       1       1  2.883/1.026           39.5       59
   126  conventional     60       4       4  2.185/0.737           34.0       58
   127  holistic         60       1       1  2.550/1.001           39.5       58
   127  conventional     60       2       2  3.351/0.873           34.8       59
   128  holistic         60       1       1  2.455/1.038           39.5       59
   128  conventional     60       4       4  2.368/0.815           32.8       59
   129  holistic         60       1       1  2.385/1.024           39.5       59
   129  conventional     60       2       2  2.192/0.777           31.8       57
   130  holistic         60       2       2  2.867/1.004           38.5       59
   130  conventional     60       1       1  2.199/0.789           32.8       58
   131  holistic         60       3       3  3.373/0.975           36.5       59
   131  conventional     60       0       0  2.172/0.810           33.8       59
   132  holistic         60       4       4  4.831/0.983           34.5       59
   132  conventional     60       4       4  1.870/0.760           32.6       59
   133  holistic         60       2       2  2.831/0.945           33.5       59
   133  conventional     60       8       8  2.501/0.736           28.8       59
   134  holistic         60       6       6  3.163/0.825           28.5       59
   134  conventional     60       1       1  2.593/0.779           28.8       59
   135  holistic         60       6       6  3.077/0.833           24.4       59
   135  conventional     60       4       4  1.972/0.768           27.7       59
   136  holistic         60       5       5  3.226/0.872           21.4       59
   136  conventional     60       4       4  2.121/0.762           26.6       59
   137  holistic         60       5       5  2.994/0.915           18.3       59
   137  conventional     60       3       3  1.958/0.784           24.6       59
   138  holistic         60       3       3  2.540/0.972           18.2       59
   138  conventional     60       5       5  1.723/0.701           24.5       58
   139  holistic         60       7       7  2.205/0.863           14.0       59
   139  conventional     60       2       2  1.929/0.673           25.4       59
   140  holistic         60       1       1  2.942/0.884           14.0       57
   140  conventional     60       8       8  2.283/0.708           23.3       59
   141  holistic         60       1       1  2.236/0.928           14.9       58
   141  conventional     60       4       4  2.710/0.844           21.3       58
   142  holistic         60       1       1  2.124/0.901           15.8       59
   142  conventional     60       2       2  1.758/0.803           21.9       59
   143  holistic         60       4       4  3.929/0.955           12.8       58
   143  conventional     60       2       2  1.775/0.831           21.7       59
   144  holistic         60       1       1  3.748/1.084           13.8       59
   144  conventional     60       2       2  2.253/0.842           20.9       58
   145  holistic         60       2       2  2.386/1.019           12.8       58
   145  conventional     60       1       1  2.035/0.907           21.9       59
   146  holistic         60       0       0  2.406/1.010           13.8       59
   146  conventional     60       1       1  2.126/0.819           21.9       59
   147  holistic         60       3       3  2.551/0.984           13.6       44
   147  conventional     60       6       6  2.156/0.790           21.3       59
   148  holistic         60       2       2  2.478/0.977           14.5       45
   148  conventional     60       1       1  1.944/0.802           21.3       59
   149  holistic         60       2       2  2.528/0.999           15.2       46
   149  conventional     60       2       2  1.972/0.841           21.2       59
   150  holistic         60       1       1  2.541/1.001           16.2       47
   150  conventional     60       3       3  2.479/0.913           20.7       59
   151  holistic         60       1       1  2.519/1.001           17.0       48
   151  conventional     60       3       3  2.084/0.867           19.6       59
   152  holistic         60       0       0  2.467/0.997           18.0       49
   152  conventional     60       2       2  2.473/0.844           19.6       59
   153  holistic         60       0       0  2.480/1.012           19.0       50
   153  conventional     60       3       3  2.065/0.839           19.5       58
   154  holistic         60       1       1  2.462/1.031           19.7       51
   154  conventional     60       1       1  2.378/0.887           20.5       59
   155  holistic         60       1       1  2.415/1.037           20.5       52
   155  conventional     60       1       1  2.252/0.925           20.5       59
   156  holistic         60       0       0  2.400/1.056           21.5       53
   156  conventional     60       1       1  4.514/0.958           20.5       59
   157  holistic         60       1       1  2.497/1.097           22.4       54
   157  conventional     60       3       3  2.923/0.929           18.5       59
   158  holistic         60       0       0  2.426/1.105           23.4       55
   158  conventional     60       2       2  2.455/0.928           18.4       54
   159  holistic         60       1       1  2.438/1.099           24.3       56
   159  conventional     60       3       3  2.467/0.930           18.9       55
   160  holistic         60       0       0  2.373/1.083           25.3       57
   160  conventional     60       1       1  3.078/0.955           19.6       56
   161  holistic         60       0       0  2.336/1.068           26.3       58
   161  conventional     60       0       0  2.961/0.952           20.6       57
   162  holistic         60       1       1  2.301/1.058           27.3       59
   162  conventional     60       2       2  2.819/0.989           21.1       58
   163  holistic         60       1       1  2.314/1.046           27.3       50
   163  conventional     60       1       1  2.163/0.987           21.1       59
   164  holistic         60       0       0  2.258/1.048           28.3       51
   164  conventional     60       2       2  2.091/0.909           21.1       59
   165  holistic         60       0       0  2.249/1.043           29.3       52
   165  conventional     60       2       2  2.518/0.949           21.0       40
   166  holistic         60       0       0  2.219/1.054           30.3       53
   166  conventional     60       0       0  2.426/0.973           22.0       41
   167  holistic         60       1       1  2.234/1.057           31.2       54
   167  conventional     60       2       2  2.266/0.938           22.7       42
   168  holistic         60       0       0  2.205/1.075           32.2       55
   168  conventional     60       0       0  2.200/0.935           23.7       43
   169  holistic         60       0       0  2.157/1.087           33.2       56
   169  conventional     60       2       2  2.106/0.946           24.4       44
   170  holistic         60       1       1  2.210/1.094           33.9       57
   170  conventional     60       0       0  3.558/1.002           25.4       45
   171  holistic         60       0       0  2.283/1.093           34.9       58
   171  conventional     60       0       0  2.159/0.953           26.4       46
   172  holistic         60       0       0  2.240/1.113           35.9       59
   172  conventional     60       0       0  2.074/0.965           27.4       47
   173  holistic         60       1       1  2.228/1.081           35.9       53
   173  conventional     60       0       0  2.024/0.963           28.4       48
   174  holistic         60       0       0  2.216/1.105           36.9       54
   174  conventional     60       0       0  1.949/0.960           29.4       49
   175  holistic         60       0       0  2.204/1.083           37.9       55
   175  conventional     60       0       0  1.935/0.940           30.4       50
   176  holistic         60       0       0  2.218/1.073           38.9       56
   176  conventional     60       0       0  1.922/0.931           31.4       51
   177  holistic         60       0       0  2.207/1.086           39.9       57
   177  conventional     60       1       1  1.936/0.931           31.9       52
   178  holistic         60       0       0  2.221/1.083           40.9       58
   178  conventional     60       0       0  1.896/0.926           32.9       53
   179  holistic         60       0       0  2.187/1.080           41.9       59
   179  conventional     60       1       1  1.859/0.924           33.8       54
   180  holistic         60       3       3  2.223/1.050           40.8       59
   180  conventional     60       0       0  1.848/0.922           34.8       55
   181  holistic         60       1       1  3.908/1.149           40.8       59
   181  conventional     60       1       1  1.813/0.935           35.8       56
   182  holistic         60       1       1  2.278/1.096           40.8       59
   182  conventional     60       0       0  1.780/0.929           36.8       57
   183  holistic         60       2       2  2.172/1.034           39.8       59
   183  conventional     60       0       0  1.745/0.938           37.8       58
   184  holistic         60       3       3  2.268/1.046           39.7       59
   184  conventional     60       0       0  1.770/0.916           38.8       59
   185  holistic         60       4       4  2.278/0.997           36.7       59
   185  conventional     60       3       3  1.729/0.856           36.8       59
   186  holistic         60       1       1  2.834/1.076           36.7       59
   186  conventional     60       3       3  1.731/0.863           35.7       59
   187  holistic         60       1       1  2.501/1.057           36.7       58
   187  conventional     60       2       2  1.771/0.825           34.7       59
   188  holistic         60       2       2  2.586/1.039           37.5       59
   188  conventional     60       4       4  1.762/0.807           33.6       59
   189  holistic         60       1       1  2.437/1.059           37.5       59
   189  conventional     60       2       2  2.348/0.845           33.6       57
   190  holistic         60       2       2  2.194/1.026           36.5       59
   190  conventional     60       0       0  1.848/0.919           34.6       58
   191  holistic         60       1       1  2.204/0.977           36.5       59
   191  conventional     60       1       1  1.976/0.916           35.5       59
   192  holistic         60       3       3  2.196/0.904           34.5       59
   192  conventional     60       1       1  1.702/0.887           35.5       59
   193  holistic         60       2       2  2.189/0.896           34.5       59
   193  conventional     60       4       4  1.744/0.860           34.4       58
   194  holistic         60       5       5  2.233/0.804           32.4       59
   194  conventional     60       0       0  2.014/0.911           35.4       59
   195  holistic         60       7       7  2.277/0.857           28.2       59
   195  conventional     60       2       2  1.633/0.824           35.3       59
   196  holistic         60       5       5  2.798/0.815           24.2       59
   196  conventional     60       3       3  2.436/0.824           34.3       58
   197  holistic         60       5       5  1.716/0.795           21.7       59
   197  conventional     60       0       0  1.930/0.805           35.3       59
   198  holistic         60       3       3  1.843/0.820           20.6       59
   198  conventional     60       4       4  1.759/0.771           33.2       59
   199  holistic         60       9       9  2.546/0.748           15.4       58
   199  conventional     60       3       3  1.663/0.783           32.2       59
   200  holistic         60       2       2  2.195/0.848           16.3       59
   200  conventional     60       5       5  2.610/0.793           29.0       59
   201  holistic         60       2       2  2.168/0.780           16.2       59
   201  conventional     60       4       4  5.306/0.734           27.0       59
   202  holistic         60       2       2  3.816/0.876           16.2       59
   202  conventional     60       4       4  2.324/0.755           25.9       58
   203  holistic         60       6       6  2.834/0.862           14.8       56
   203  conventional     60       5       5  2.409/0.795           26.7       59
   204  holistic         60       1       1  2.082/0.928           15.8       57
   204  conventional     60       2       2  1.992/0.710           25.7       58
   205  holistic         60       2       2  3.315/0.995           16.6       58
   205  conventional     60       1       1  1.936/0.758           26.6       59
   206  holistic         60       1       1  3.614/1.041           17.4       59
   206  conventional     60       3       3  1.850/0.769           26.5       59
   207  holistic         60       4       4  3.314/1.036           16.3       59
   207  conventional     60       8       8  1.764/0.669           23.1       59
   208  holistic         60       1       1  3.670/1.062           16.3       59
   208  conventional     60       3       3  2.775/0.699           22.8       59
   209  holistic         60       1       1  3.438/1.002           16.3       58
   209  conventional     60       6       6  2.357/0.697           22.3       59
   210  holistic         60       0       0  3.480/1.022           17.3       59
   210  conventional     60       2       2  1.878/0.789           22.3       58
   211  holistic         60       2       2  3.114/0.982           17.2       57
   211  conventional     60       1       1  1.617/0.726           23.2       59
   212  holistic         60       1       1  2.905/1.010           18.1       58
   212  conventional     60       5       5  2.453/0.788           22.1       59
   213  holistic         60       1       1  2.731/1.044           19.1       59
   213  conventional     60       2       2  2.463/0.794           21.1       59
   214  holistic         60       1       1  2.505/1.013           19.1       57
   214  conventional     60       2       2  2.453/0.798           21.1       59
   215  holistic         60       1       1  2.313/0.990           20.0       58
   215  conventional     60       4       4  1.711/0.717           20.9       58
   216  holistic         60       1       1  2.213/1.017           20.9       59
   216  conventional     60       0       0  1.732/0.834           21.9       59
   217  holistic         60       2       2  2.375/1.004           20.9       55
   217  conventional     60       4       4  1.744/0.779           20.7       59
   218  holistic         60       0       0  2.224/1.013           21.9       56
   218  conventional     60       2       2  3.514/0.846           20.6       59
   219  holistic         60       0       0  2.257/1.043           22.9       57
   219  conventional     60       3       3  3.026/0.831           19.6       57
   220  holistic         60       1       1  2.153/1.035           23.8       58
   220  conventional     60       1       1  2.523/0.845           20.5       58
   221  holistic         60       0       0  2.146/1.057           24.8       59
   221  conventional     60       2       2  3.027/0.933           21.4       59
   222  holistic         60       1       1  2.059/0.999           24.8       55
   222  conventional     60       1       1  2.329/0.800           21.4       59
   223  holistic         60       0       0  2.014/1.028           25.8       56
   223  conventional     60       1       1  2.169/0.824           21.4       59
   224  holistic         60       0       0  2.053/1.007           26.8       57
   224  conventional     60       1       1  1.817/0.746           21.4       59
   225  holistic         60       0       0  2.033/1.015           27.8       58
   225  conventional     60       4       4  1.531/0.701           20.2       58
   226  holistic         60       0       0  2.004/1.005           28.8       59
   226  conventional     60       0       0  2.005/0.742           21.2       59
   227  holistic         60       1       1  2.047/0.998           28.8       57
   227  conventional     60       4       4  1.540/0.743           21.0       58
   228  holistic         60       0       0  2.065/1.025           29.8       58
   228  conventional     60       0       0  4.486/0.862           22.0       59
   229  holistic         60       1       1  2.038/1.026           30.6       59
   229  conventional     60       2       2  2.472/0.828           21.0       44
   230  holistic         60       1       1  2.000/1.021           30.6       50
   230  conventional     60       1       1  2.054/0.828           22.0       45
   231  holistic         60       0       0  1.967/1.018           31.6       51
   231  conventional     60       2       2  1.974/0.790           22.7       46
   232  holistic         60       0       0  2.078/1.020           32.6       52
   232  conventional     60       2       2  1.682/0.804           23.7       47
