# RBT-102 structural carriage -- /tmp/claude-0/-home-user-rabbitstew/22b19251-73cf-541e-9535-6078cbfc5dc4/scratchpad/arms/forage-804

seed 804; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1198; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
| 107 | 60 | 0 | 0.0000 | 3.8 |
| 108 | 60 | 0 | 0.0000 | 3.8 |
| 109 | 60 | 0 | 0.0000 | 3.9 |
| 110 | 60 | 0 | 0.0000 | 3.9 |
| 111 | 60 | 0 | 0.0000 | 3.9 |
| 112 | 60 | 0 | 0.0000 | 3.9 |
| 113 | 60 | 0 | 0.0000 | 3.9 |
| 114 | 60 | 0 | 0.0000 | 3.9 |
| 115 | 60 | 0 | 0.0000 | 3.9 |
| 116 | 60 | 0 | 0.0000 | 4.0 |
| 117 | 60 | 0 | 0.0000 | 4.0 |
| 118 | 60 | 0 | 0.0000 | 4.0 |
| 119 | 60 | 0 | 0.0000 | 4.0 |
| 120 | 60 | 0 | 0.0000 | 4.0 |
| 121 | 60 | 0 | 0.0000 | 4.0 |
| 122 | 60 | 0 | 0.0000 | 4.0 |
| 123 | 60 | 0 | 0.0000 | 4.1 |
| 124 | 60 | 0 | 0.0000 | 4.1 |
| 125 | 60 | 0 | 0.0000 | 4.2 |
| 126 | 60 | 0 | 0.0000 | 4.3 |
| 127 | 60 | 0 | 0.0000 | 4.3 |
| 128 | 60 | 0 | 0.0000 | 4.5 |
| 129 | 60 | 0 | 0.0000 | 4.5 |
| 130 | 60 | 0 | 0.0000 | 4.5 |
| 131 | 60 | 0 | 0.0000 | 4.6 |
| 132 | 60 | 0 | 0.0000 | 4.6 |
| 133 | 60 | 0 | 0.0000 | 4.7 |
| 134 | 60 | 0 | 0.0000 | 4.6 |
| 135 | 60 | 0 | 0.0000 | 4.7 |
| 136 | 60 | 0 | 0.0000 | 4.7 |
| 137 | 60 | 0 | 0.0000 | 4.8 |
| 138 | 60 | 0 | 0.0000 | 4.8 |
| 139 | 60 | 0 | 0.0000 | 4.8 |
| 140 | 60 | 0 | 0.0000 | 4.9 |
| 141 | 60 | 0 | 0.0000 | 4.9 |
| 142 | 60 | 0 | 0.0000 | 5.0 |
| 143 | 60 | 0 | 0.0000 | 5.0 |
| 144 | 60 | 0 | 0.0000 | 5.3 |
| 145 | 60 | 0 | 0.0000 | 5.3 |
| 146 | 60 | 0 | 0.0000 | 5.3 |
| 147 | 60 | 0 | 0.0000 | 5.4 |
| 148 | 60 | 0 | 0.0000 | 5.3 |
| 149 | 60 | 0 | 0.0000 | 5.3 |
| 150 | 60 | 0 | 0.0000 | 5.4 |
| 151 | 60 | 0 | 0.0000 | 5.4 |
| 152 | 60 | 0 | 0.0000 | 5.4 |
| 153 | 60 | 0 | 0.0000 | 5.5 |
| 154 | 60 | 0 | 0.0000 | 5.5 |
| 155 | 60 | 0 | 0.0000 | 5.7 |
| 156 | 60 | 0 | 0.0000 | 5.7 |
| 157 | 60 | 0 | 0.0000 | 5.8 |
| 158 | 60 | 0 | 0.0000 | 5.8 |
| 159 | 60 | 0 | 0.0000 | 5.9 |
| 160 | 60 | 0 | 0.0000 | 6.2 |
| 161 | 60 | 0 | 0.0000 | 6.2 |
| 162 | 60 | 0 | 0.0000 | 6.2 |
| 163 | 60 | 0 | 0.0000 | 6.2 |
| 164 | 60 | 0 | 0.0000 | 6.2 |
| 165 | 60 | 0 | 0.0000 | 6.3 |
| 166 | 60 | 0 | 0.0000 | 6.3 |
| 167 | 60 | 0 | 0.0000 | 6.3 |
| 168 | 60 | 0 | 0.0000 | 6.3 |
| 169 | 60 | 0 | 0.0000 | 6.3 |
| 170 | 60 | 0 | 0.0000 | 6.4 |
| 171 | 60 | 0 | 0.0000 | 6.3 |
| 172 | 60 | 0 | 0.0000 | 6.3 |
| 173 | 60 | 0 | 0.0000 | 6.3 |
| 174 | 60 | 0 | 0.0000 | 6.4 |
| 175 | 60 | 0 | 0.0000 | 6.4 |
| 176 | 60 | 0 | 0.0000 | 6.4 |
| 177 | 60 | 0 | 0.0000 | 6.4 |
| 178 | 60 | 0 | 0.0000 | 6.4 |
| 179 | 60 | 0 | 0.0000 | 6.3 |
| 180 | 60 | 0 | 0.0000 | 6.3 |
| 181 | 60 | 0 | 0.0000 | 6.3 |
| 182 | 60 | 0 | 0.0000 | 6.4 |
| 183 | 60 | 0 | 0.0000 | 6.4 |
| 184 | 60 | 0 | 0.0000 | 6.4 |
| 185 | 60 | 0 | 0.0000 | 6.5 |
| 186 | 60 | 0 | 0.0000 | 6.5 |
| 187 | 60 | 0 | 0.0000 | 6.7 |
| 188 | 60 | 0 | 0.0000 | 6.8 |
| 189 | 60 | 0 | 0.0000 | 6.9 |
| 190 | 60 | 0 | 0.0000 | 6.9 |
| 191 | 60 | 0 | 0.0000 | 6.9 |
| 192 | 60 | 0 | 0.0000 | 6.8 |
| 193 | 60 | 0 | 0.0000 | 7.0 |
| 194 | 60 | 0 | 0.0000 | 7.0 |
| 195 | 60 | 0 | 0.0000 | 7.0 |
| 196 | 60 | 0 | 0.0000 | 7.2 |
| 197 | 60 | 0 | 0.0000 | 7.2 |
| 198 | 60 | 0 | 0.0000 | 7.0 |
| 199 | 60 | 0 | 0.0000 | 7.0 |
| 200 | 60 | 0 | 0.0000 | 7.1 |
| 201 | 60 | 0 | 0.0000 | 7.1 |
| 202 | 60 | 0 | 0.0000 | 7.1 |
| 203 | 60 | 0 | 0.0000 | 7.1 |
| 204 | 60 | 0 | 0.0000 | 7.2 |
| 205 | 60 | 0 | 0.0000 | 7.3 |
| 206 | 60 | 0 | 0.0000 | 7.3 |
| 207 | 60 | 0 | 0.0000 | 7.3 |
| 208 | 60 | 0 | 0.0000 | 7.4 |
| 209 | 60 | 0 | 0.0000 | 7.3 |
| 210 | 60 | 0 | 0.0000 | 7.5 |
| 211 | 60 | 0 | 0.0000 | 7.5 |
| 212 | 60 | 0 | 0.0000 | 7.5 |
| 213 | 60 | 0 | 0.0000 | 7.5 |
| 214 | 60 | 0 | 0.0000 | 7.5 |
| 215 | 60 | 0 | 0.0000 | 7.5 |
| 216 | 60 | 0 | 0.0000 | 7.5 |
| 217 | 60 | 0 | 0.0000 | 7.6 |
| 218 | 60 | 0 | 0.0000 | 7.6 |
| 219 | 60 | 0 | 0.0000 | 7.6 |
| 220 | 60 | 0 | 0.0000 | 7.7 |
| 221 | 60 | 0 | 0.0000 | 7.6 |
| 222 | 60 | 0 | 0.0000 | 7.5 |
| 223 | 60 | 0 | 0.0000 | 7.7 |
| 224 | 60 | 0 | 0.0000 | 7.8 |
| 225 | 60 | 0 | 0.0000 | 8.0 |
| 226 | 60 | 0 | 0.0000 | 8.0 |
| 227 | 60 | 0 | 0.0000 | 8.0 |
| 228 | 60 | 0 | 0.0000 | 8.0 |
| 229 | 60 | 0 | 0.0000 | 8.0 |
| 230 | 60 | 0 | 0.0000 | 8.0 |
| 231 | 60 | 0 | 0.0000 | 8.1 |
| 232 | 60 | 0 | 0.0000 | 8.1 |
| 233 | 60 | 0 | 0.0000 | 8.0 |
| 234 | 60 | 0 | 0.0000 | 8.0 |
| 235 | 60 | 0 | 0.0000 | 7.9 |
| 236 | 60 | 0 | 0.0000 | 7.9 |
| 237 | 60 | 0 | 0.0000 | 7.9 |
| 238 | 60 | 0 | 0.0000 | 7.9 |
| 239 | 60 | 0 | 0.0000 | 8.0 |
| 240 | 60 | 0 | 0.0000 | 8.1 |
| 241 | 60 | 0 | 0.0000 | 8.0 |
| 242 | 60 | 0 | 0.0000 | 8.0 |
| 243 | 60 | 0 | 0.0000 | 8.0 |
| 244 | 60 | 0 | 0.0000 | 8.1 |
| 245 | 60 | 0 | 0.0000 | 8.1 |
| 246 | 60 | 0 | 0.0000 | 8.1 |
| 247 | 60 | 0 | 0.0000 | 8.3 |
| 248 | 60 | 0 | 0.0000 | 8.3 |
| 249 | 60 | 0 | 0.0000 | 8.3 |
| 250 | 60 | 0 | 0.0000 | 8.3 |
| 251 | 60 | 0 | 0.0000 | 8.3 |
| 252 | 60 | 0 | 0.0000 | 8.3 |
| 253 | 60 | 0 | 0.0000 | 8.4 |
| 254 | 60 | 0 | 0.0000 | 8.4 |
| 255 | 60 | 0 | 0.0000 | 8.5 |
| 256 | 60 | 0 | 0.0000 | 8.5 |
| 257 | 60 | 0 | 0.0000 | 8.6 |
| 258 | 60 | 0 | 0.0000 | 8.7 |
| 259 | 60 | 0 | 0.0000 | 8.7 |
| 260 | 60 | 0 | 0.0000 | 8.7 |
| 261 | 60 | 0 | 0.0000 | 8.8 |
| 262 | 60 | 0 | 0.0000 | 8.8 |
| 263 | 60 | 0 | 0.0000 | 8.8 |
| 264 | 60 | 0 | 0.0000 | 8.8 |
| 265 | 60 | 0 | 0.0000 | 8.9 |
| 266 | 60 | 0 | 0.0000 | 8.9 |
| 267 | 60 | 0 | 0.0000 | 9.1 |
| 268 | 60 | 0 | 0.0000 | 9.0 |
| 269 | 60 | 0 | 0.0000 | 9.2 |
| 270 | 60 | 0 | 0.0000 | 9.4 |
| 271 | 60 | 0 | 0.0000 | 9.4 |
| 272 | 60 | 0 | 0.0000 | 9.5 |
| 273 | 60 | 0 | 0.0000 | 9.5 |
| 274 | 60 | 0 | 0.0000 | 9.5 |
| 275 | 60 | 0 | 0.0000 | 9.6 |
| 276 | 60 | 0 | 0.0000 | 9.6 |
| 277 | 60 | 0 | 0.0000 | 9.7 |
| 278 | 60 | 0 | 0.0000 | 9.7 |
| 279 | 60 | 0 | 0.0000 | 9.8 |
| 280 | 60 | 0 | 0.0000 | 9.8 |
| 281 | 60 | 0 | 0.0000 | 9.8 |
| 282 | 60 | 0 | 0.0000 | 10.1 |
| 283 | 60 | 0 | 0.0000 | 10.1 |
| 284 | 60 | 0 | 0.0000 | 10.1 |
| 285 | 60 | 0 | 0.0000 | 10.2 |
| 286 | 60 | 0 | 0.0000 | 10.2 |
| 287 | 60 | 0 | 0.0000 | 10.2 |
| 288 | 60 | 0 | 0.0000 | 10.4 |
| 289 | 60 | 0 | 0.0000 | 10.4 |
| 290 | 60 | 0 | 0.0000 | 10.3 |
| 291 | 60 | 0 | 0.0000 | 10.4 |
| 292 | 60 | 0 | 0.0000 | 10.4 |
| 293 | 60 | 0 | 0.0000 | 10.5 |
| 294 | 60 | 0 | 0.0000 | 10.5 |
| 295 | 60 | 0 | 0.0000 | 10.7 |
| 296 | 60 | 0 | 0.0000 | 10.7 |
| 297 | 60 | 0 | 0.0000 | 10.6 |
| 298 | 60 | 0 | 0.0000 | 10.6 |
| 299 | 60 | 0 | 0.0000 | 10.6 |
| 300 | 60 | 0 | 0.0000 | 10.6 |
| 301 | 60 | 0 | 0.0000 | 10.7 |
| 302 | 60 | 0 | 0.0000 | 10.7 |
| 303 | 60 | 0 | 0.0000 | 10.8 |
| 304 | 60 | 0 | 0.0000 | 10.9 |
| 305 | 60 | 0 | 0.0000 | 11.0 |
| 306 | 60 | 0 | 0.0000 | 11.0 |
| 307 | 60 | 0 | 0.0000 | 11.1 |
| 308 | 60 | 0 | 0.0000 | 11.1 |
| 309 | 60 | 0 | 0.0000 | 11.0 |
| 310 | 60 | 0 | 0.0000 | 11.0 |
| 311 | 60 | 0 | 0.0000 | 11.1 |
| 312 | 60 | 0 | 0.0000 | 11.1 |
| 313 | 60 | 0 | 0.0000 | 11.2 |
| 314 | 60 | 0 | 0.0000 | 11.2 |
| 315 | 60 | 0 | 0.0000 | 11.2 |
| 316 | 60 | 0 | 0.0000 | 11.2 |
| 317 | 60 | 0 | 0.0000 | 11.2 |
| 318 | 60 | 0 | 0.0000 | 11.4 |
| 319 | 60 | 0 | 0.0000 | 11.4 |
| 320 | 60 | 0 | 0.0000 | 11.3 |
| 321 | 60 | 0 | 0.0000 | 11.3 |
| 322 | 60 | 0 | 0.0000 | 11.3 |
| 323 | 60 | 0 | 0.0000 | 11.4 |
| 324 | 60 | 0 | 0.0000 | 11.4 |
| 325 | 60 | 0 | 0.0000 | 11.6 |
| 326 | 60 | 0 | 0.0000 | 11.8 |
| 327 | 60 | 0 | 0.0000 | 11.7 |
| 328 | 60 | 0 | 0.0000 | 11.7 |
| 329 | 60 | 0 | 0.0000 | 11.8 |
| 330 | 60 | 0 | 0.0000 | 11.8 |
| 331 | 60 | 0 | 0.0000 | 11.8 |
| 332 | 60 | 0 | 0.0000 | 11.8 |
| 333 | 60 | 0 | 0.0000 | 11.8 |
| 334 | 60 | 0 | 0.0000 | 11.8 |
| 335 | 60 | 0 | 0.0000 | 11.8 |
| 336 | 60 | 0 | 0.0000 | 11.8 |
| 337 | 60 | 0 | 0.0000 | 11.9 |
| 338 | 60 | 0 | 0.0000 | 11.9 |
| 339 | 60 | 0 | 0.0000 | 11.9 |
| 340 | 60 | 0 | 0.0000 | 11.9 |
| 341 | 60 | 0 | 0.0000 | 11.9 |
| 342 | 60 | 0 | 0.0000 | 12.0 |
| 343 | 60 | 0 | 0.0000 | 12.2 |
| 344 | 60 | 0 | 0.0000 | 12.2 |
| 345 | 60 | 0 | 0.0000 | 12.2 |
| 346 | 60 | 0 | 0.0000 | 12.3 |
| 347 | 60 | 0 | 0.0000 | 12.4 |
| 348 | 60 | 0 | 0.0000 | 12.5 |
| 349 | 60 | 0 | 0.0000 | 12.6 |
| 350 | 60 | 0 | 0.0000 | 12.7 |
| 351 | 60 | 0 | 0.0000 | 12.7 |
| 352 | 60 | 0 | 0.0000 | 12.7 |
| 353 | 60 | 0 | 0.0000 | 12.8 |
| 354 | 60 | 0 | 0.0000 | 12.9 |
| 355 | 60 | 0 | 0.0000 | 12.9 |
| 356 | 60 | 0 | 0.0000 | 12.9 |
| 357 | 60 | 0 | 0.0000 | 12.9 |
| 358 | 60 | 0 | 0.0000 | 12.9 |
| 359 | 60 | 0 | 0.0000 | 13.0 |
| 360 | 60 | 0 | 0.0000 | 13.0 |
| 361 | 60 | 0 | 0.0000 | 13.1 |
| 362 | 60 | 0 | 0.0000 | 13.1 |
| 363 | 60 | 0 | 0.0000 | 13.1 |
| 364 | 60 | 0 | 0.0000 | 13.1 |
| 365 | 60 | 0 | 0.0000 | 13.1 |
| 366 | 60 | 0 | 0.0000 | 13.2 |
| 367 | 60 | 0 | 0.0000 | 13.2 |
| 368 | 60 | 0 | 0.0000 | 13.2 |
| 369 | 60 | 0 | 0.0000 | 13.2 |
| 370 | 60 | 0 | 0.0000 | 13.3 |
| 371 | 60 | 0 | 0.0000 | 13.3 |
| 372 | 60 | 0 | 0.0000 | 13.3 |
| 373 | 60 | 0 | 0.0000 | 13.3 |
| 374 | 60 | 0 | 0.0000 | 13.3 |
| 375 | 60 | 0 | 0.0000 | 13.3 |
| 376 | 60 | 0 | 0.0000 | 13.3 |
| 377 | 60 | 0 | 0.0000 | 13.4 |
| 378 | 60 | 0 | 0.0000 | 13.5 |
| 379 | 60 | 0 | 0.0000 | 13.5 |
| 380 | 60 | 0 | 0.0000 | 13.6 |
| 381 | 60 | 0 | 0.0000 | 13.6 |
| 382 | 60 | 0 | 0.0000 | 13.6 |
| 383 | 60 | 0 | 0.0000 | 13.6 |
| 384 | 60 | 0 | 0.0000 | 13.6 |
| 385 | 60 | 0 | 0.0000 | 13.6 |
| 386 | 60 | 0 | 0.0000 | 13.6 |
| 387 | 60 | 0 | 0.0000 | 13.6 |
| 388 | 60 | 0 | 0.0000 | 13.6 |
| 389 | 60 | 0 | 0.0000 | 13.7 |
| 390 | 60 | 0 | 0.0000 | 13.7 |
| 391 | 60 | 0 | 0.0000 | 13.8 |
| 392 | 60 | 0 | 0.0000 | 14.0 |
| 393 | 60 | 0 | 0.0000 | 14.0 |
| 394 | 60 | 0 | 0.0000 | 14.1 |
| 395 | 60 | 0 | 0.0000 | 14.1 |
| 396 | 60 | 0 | 0.0000 | 14.1 |
| 397 | 60 | 0 | 0.0000 | 14.2 |
| 398 | 60 | 0 | 0.0000 | 14.3 |
| 399 | 60 | 0 | 0.0000 | 14.3 |
| 400 | 60 | 0 | 0.0000 | 14.3 |
| 401 | 60 | 0 | 0.0000 | 14.4 |
| 402 | 60 | 0 | 0.0000 | 14.4 |
| 403 | 60 | 0 | 0.0000 | 14.5 |
| 404 | 60 | 0 | 0.0000 | 14.6 |
| 405 | 60 | 0 | 0.0000 | 14.6 |
| 406 | 60 | 0 | 0.0000 | 14.6 |
| 407 | 60 | 0 | 0.0000 | 14.5 |
| 408 | 60 | 0 | 0.0000 | 14.7 |
| 409 | 60 | 0 | 0.0000 | 14.9 |
| 410 | 60 | 0 | 0.0000 | 14.9 |
| 411 | 60 | 0 | 0.0000 | 14.9 |
| 412 | 60 | 0 | 0.0000 | 14.8 |
| 413 | 60 | 0 | 0.0000 | 14.8 |
| 414 | 60 | 0 | 0.0000 | 14.9 |
| 415 | 60 | 0 | 0.0000 | 15.1 |
| 416 | 60 | 0 | 0.0000 | 15.1 |
| 417 | 60 | 0 | 0.0000 | 15.2 |
| 418 | 60 | 0 | 0.0000 | 15.2 |
| 419 | 60 | 0 | 0.0000 | 15.2 |
| 420 | 60 | 0 | 0.0000 | 15.2 |
| 421 | 60 | 0 | 0.0000 | 15.2 |
| 422 | 60 | 0 | 0.0000 | 15.2 |
| 423 | 60 | 0 | 0.0000 | 15.4 |
| 424 | 60 | 0 | 0.0000 | 15.4 |
| 425 | 60 | 0 | 0.0000 | 15.5 |
| 426 | 60 | 0 | 0.0000 | 15.5 |
| 427 | 60 | 0 | 0.0000 | 15.6 |
| 428 | 60 | 0 | 0.0000 | 15.6 |
| 429 | 60 | 0 | 0.0000 | 15.7 |
| 430 | 60 | 0 | 0.0000 | 15.7 |
| 431 | 60 | 0 | 0.0000 | 15.7 |
| 432 | 60 | 0 | 0.0000 | 15.8 |
| 433 | 60 | 0 | 0.0000 | 15.8 |
| 434 | 60 | 0 | 0.0000 | 15.8 |
| 435 | 60 | 0 | 0.0000 | 15.8 |
| 436 | 60 | 0 | 0.0000 | 15.9 |
| 437 | 60 | 0 | 0.0000 | 15.9 |
| 438 | 60 | 0 | 0.0000 | 16.1 |
| 439 | 60 | 0 | 0.0000 | 16.1 |
| 440 | 60 | 0 | 0.0000 | 16.1 |
| 441 | 60 | 0 | 0.0000 | 16.1 |
| 442 | 60 | 0 | 0.0000 | 16.2 |
| 443 | 60 | 0 | 0.0000 | 16.2 |
| 444 | 60 | 0 | 0.0000 | 16.2 |
| 445 | 60 | 0 | 0.0000 | 16.2 |
| 446 | 60 | 0 | 0.0000 | 16.1 |
| 447 | 60 | 0 | 0.0000 | 16.2 |
| 448 | 60 | 0 | 0.0000 | 16.2 |
| 449 | 60 | 0 | 0.0000 | 16.4 |
| 450 | 60 | 0 | 0.0000 | 16.4 |
| 451 | 60 | 0 | 0.0000 | 16.6 |
| 452 | 60 | 0 | 0.0000 | 16.5 |
| 453 | 60 | 0 | 0.0000 | 16.5 |
| 454 | 60 | 0 | 0.0000 | 16.5 |
| 455 | 60 | 0 | 0.0000 | 16.5 |
| 456 | 60 | 0 | 0.0000 | 16.5 |
| 457 | 60 | 0 | 0.0000 | 16.6 |
| 458 | 60 | 0 | 0.0000 | 16.6 |
| 459 | 60 | 0 | 0.0000 | 16.6 |
| 460 | 60 | 0 | 0.0000 | 16.7 |
| 461 | 60 | 0 | 0.0000 | 16.8 |
| 462 | 60 | 0 | 0.0000 | 16.7 |
| 463 | 60 | 0 | 0.0000 | 16.6 |
| 464 | 60 | 0 | 0.0000 | 16.8 |
| 465 | 60 | 0 | 0.0000 | 16.8 |
| 466 | 60 | 0 | 0.0000 | 16.8 |
| 467 | 60 | 0 | 0.0000 | 16.8 |
| 468 | 60 | 0 | 0.0000 | 16.8 |
| 469 | 60 | 0 | 0.0000 | 16.8 |
| 470 | 60 | 0 | 0.0000 | 16.8 |
| 471 | 60 | 0 | 0.0000 | 16.8 |
| 472 | 60 | 0 | 0.0000 | 17.0 |
| 473 | 60 | 0 | 0.0000 | 17.1 |
| 474 | 60 | 0 | 0.0000 | 17.1 |
| 475 | 60 | 0 | 0.0000 | 17.2 |
| 476 | 60 | 0 | 0.0000 | 17.3 |
| 477 | 60 | 0 | 0.0000 | 17.3 |
| 478 | 60 | 0 | 0.0000 | 17.3 |
| 479 | 60 | 0 | 0.0000 | 17.3 |
| 480 | 60 | 0 | 0.0000 | 17.3 |
| 481 | 60 | 0 | 0.0000 | 17.2 |
| 482 | 60 | 0 | 0.0000 | 17.2 |
| 483 | 60 | 0 | 0.0000 | 17.3 |
| 484 | 60 | 0 | 0.0000 | 17.3 |
| 485 | 60 | 0 | 0.0000 | 17.2 |
| 486 | 60 | 0 | 0.0000 | 17.2 |
| 487 | 60 | 0 | 0.0000 | 17.2 |
| 488 | 60 | 0 | 0.0000 | 17.3 |
| 489 | 60 | 0 | 0.0000 | 17.3 |
| 490 | 60 | 0 | 0.0000 | 17.4 |
| 491 | 60 | 0 | 0.0000 | 17.4 |
| 492 | 60 | 0 | 0.0000 | 17.4 |
| 493 | 60 | 0 | 0.0000 | 17.4 |
| 494 | 60 | 0 | 0.0000 | 17.5 |
| 495 | 60 | 0 | 0.0000 | 17.5 |
| 496 | 60 | 0 | 0.0000 | 17.4 |
