# RBT-102 structural carriage -- runs/RBT-90/forage-805

seed 805; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1286; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
| 109 | 60 | 0 | 0.0000 | 3.8 |
| 110 | 60 | 0 | 0.0000 | 3.8 |
| 111 | 60 | 0 | 0.0000 | 3.9 |
| 112 | 60 | 0 | 0.0000 | 3.9 |
| 113 | 60 | 0 | 0.0000 | 3.9 |
| 114 | 60 | 0 | 0.0000 | 3.9 |
| 115 | 60 | 0 | 0.0000 | 3.9 |
| 116 | 60 | 0 | 0.0000 | 3.9 |
| 117 | 60 | 0 | 0.0000 | 3.9 |
| 118 | 60 | 0 | 0.0000 | 3.9 |
| 119 | 60 | 0 | 0.0000 | 4.0 |
| 120 | 60 | 0 | 0.0000 | 4.0 |
| 121 | 60 | 0 | 0.0000 | 4.0 |
| 122 | 60 | 0 | 0.0000 | 4.0 |
| 123 | 60 | 0 | 0.0000 | 4.1 |
| 124 | 60 | 0 | 0.0000 | 4.0 |
| 125 | 60 | 0 | 0.0000 | 4.1 |
| 126 | 60 | 0 | 0.0000 | 4.2 |
| 127 | 60 | 0 | 0.0000 | 4.2 |
| 128 | 60 | 0 | 0.0000 | 4.2 |
| 129 | 60 | 0 | 0.0000 | 4.3 |
| 130 | 60 | 0 | 0.0000 | 4.3 |
| 131 | 60 | 0 | 0.0000 | 4.3 |
| 132 | 60 | 0 | 0.0000 | 4.4 |
| 133 | 60 | 0 | 0.0000 | 4.4 |
| 134 | 60 | 0 | 0.0000 | 4.5 |
| 135 | 60 | 0 | 0.0000 | 4.5 |
| 136 | 60 | 0 | 0.0000 | 4.5 |
| 137 | 60 | 0 | 0.0000 | 4.5 |
| 138 | 60 | 0 | 0.0000 | 4.5 |
