# RBT-102 structural carriage -- runs/RBT-90/forage-4

seed 4; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1207; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
|---|---|---|---|---|
| 0 | 60 | 0 | 0.0000 | 0.0 |
| 1 | 60 | 0 | 0.0000 | 0.0 |
| 2 | 60 | 0 | 0.0000 | 0.1 |
| 3 | 60 | 0 | 0.0000 | 0.2 |
| 4 | 60 | 0 | 0.0000 | 0.2 |
| 5 | 60 | 0 | 0.0000 | 0.3 |
| 6 | 60 | 0 | 0.0000 | 0.3 |
| 7 | 59 | 0 | 0.0000 | 0.5 |
| 8 | 60 | 0 | 0.0000 | 0.6 |
| 9 | 60 | 0 | 0.0000 | 0.6 |
| 10 | 60 | 0 | 0.0000 | 0.7 |
| 11 | 60 | 0 | 0.0000 | 0.8 |
| 12 | 60 | 0 | 0.0000 | 0.9 |
| 13 | 60 | 0 | 0.0000 | 0.9 |
| 14 | 60 | 0 | 0.0000 | 1.0 |
| 15 | 60 | 0 | 0.0000 | 1.1 |
| 16 | 60 | 0 | 0.0000 | 1.2 |
| 17 | 60 | 0 | 0.0000 | 1.2 |
| 18 | 60 | 0 | 0.0000 | 1.2 |
| 19 | 60 | 0 | 0.0000 | 1.3 |
| 20 | 60 | 0 | 0.0000 | 1.4 |
| 21 | 60 | 0 | 0.0000 | 1.4 |
| 22 | 60 | 0 | 0.0000 | 1.5 |
| 23 | 60 | 0 | 0.0000 | 1.5 |
| 24 | 60 | 0 | 0.0000 | 1.6 |
| 25 | 60 | 0 | 0.0000 | 1.6 |
| 26 | 60 | 0 | 0.0000 | 1.6 |
| 27 | 60 | 0 | 0.0000 | 1.7 |
| 28 | 60 | 0 | 0.0000 | 1.7 |
| 29 | 60 | 0 | 0.0000 | 1.7 |
| 30 | 60 | 0 | 0.0000 | 1.7 |
| 31 | 60 | 0 | 0.0000 | 1.7 |
| 32 | 60 | 0 | 0.0000 | 1.7 |
| 33 | 60 | 0 | 0.0000 | 1.7 |
| 34 | 60 | 0 | 0.0000 | 1.7 |
| 35 | 60 | 0 | 0.0000 | 1.7 |
| 36 | 60 | 0 | 0.0000 | 1.7 |
| 37 | 60 | 0 | 0.0000 | 1.7 |
| 38 | 60 | 0 | 0.0000 | 1.7 |
| 39 | 60 | 0 | 0.0000 | 1.7 |
| 40 | 60 | 0 | 0.0000 | 1.7 |
| 41 | 60 | 0 | 0.0000 | 1.8 |
| 42 | 60 | 0 | 0.0000 | 1.8 |
| 43 | 60 | 0 | 0.0000 | 1.8 |
| 44 | 60 | 0 | 0.0000 | 1.8 |
| 45 | 60 | 0 | 0.0000 | 1.8 |
| 46 | 60 | 0 | 0.0000 | 1.8 |
| 47 | 60 | 0 | 0.0000 | 1.8 |
| 48 | 60 | 0 | 0.0000 | 1.8 |
| 49 | 60 | 0 | 0.0000 | 1.8 |
| 50 | 60 | 0 | 0.0000 | 1.8 |
| 51 | 60 | 0 | 0.0000 | 1.8 |
| 52 | 60 | 0 | 0.0000 | 1.8 |
| 53 | 60 | 0 | 0.0000 | 1.8 |
| 54 | 60 | 0 | 0.0000 | 1.8 |
| 55 | 60 | 0 | 0.0000 | 1.9 |
| 56 | 60 | 0 | 0.0000 | 1.9 |
| 57 | 60 | 0 | 0.0000 | 1.9 |
| 58 | 60 | 0 | 0.0000 | 1.9 |
| 59 | 60 | 0 | 0.0000 | 1.9 |
