season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
40	conventional	60	13.1227	59	0	1	0.8277	0.8277	1.3729	0.5452
41	holistic	60	10.8337	59	1	0	0.9067	0.8915	1.0508	0.1442
41	conventional	60	12.9647	58	1	1	0.7376	0.7263	1.2759	0.5382
42	holistic	60	11.2398	60	0	0	0.6562	0.6562	0.8000	0.1438
42	conventional	60	13.6177	60	0	0	0.9029	0.9029	1.4333	0.5304
43	holistic	60	11.4670	59	1	0	0.4846	0.4771	0.6271	0.1425
43	conventional	60	14.0977	58	2	0	0.7638	0.7300	1.2931	0.5293
44	holistic	60	12.1379	60	0	0	0.9210	0.9210	1.0667	0.1457
44	conventional	60	14.7185	59	1	0	0.8917	0.8708	1.4237	0.5320
45	holistic	60	12.8596	60	0	0	0.9716	0.9716	1.1167	0.1450
45	conventional	60	15.0632	59	1	0	0.6079	0.5947	1.1356	0.5277
46	holistic	60	13.7990	60	0	0	1.1894	1.1894	1.3333	0.1439
46	conventional	60	15.6341	59	1	0	0.8311	0.8209	1.3729	0.5418
47	holistic	60	14.0397	59	1	0	0.4964	0.4907	0.6441	0.1477
47	conventional	60	15.9868	58	2	0	0.6219	0.6026	1.1552	0.5333
48	holistic	60	15.1485	59	1	0	1.3808	1.3587	1.5254	0.1446
48	conventional	60	16.7703	59	0	1	1.0974	1.0974	1.6102	0.5128
49	holistic	60	15.9058	60	0	0	1.0073	1.0073	1.1500	0.1427
49	conventional	60	17.1608	59	0	1	1.0826	1.0826	1.6102	0.5276
50	holistic	60	16.8631	60	0	0	1.2073	1.2073	1.3500	0.1427
50	conventional	60	17.8192	60	0	0	0.9084	0.9084	1.4333	0.5249
51	holistic	60	17.3856	60	0	0	0.7725	0.7725	0.9167	0.1442
51	conventional	60	18.2033	59	0	1	0.9326	0.9326	1.4576	0.5250
52	holistic	60	18.2744	60	0	0	1.1388	1.1388	1.2833	0.1445
52	conventional	60	18.2649	60	0	0	0.3116	0.3116	0.8500	0.5384
53	holistic	60	19.1807	60	0	0	1.1563	1.1563	1.3000	0.1437
53	conventional	60	19.1822	60	0	0	1.1673	1.1673	1.7000	0.5327
54	holistic	60	20.0031	60	0	0	1.0724	1.0724	1.2167	0.1443
54	conventional	60	20.0183	60	0	0	1.0861	1.0861	1.6167	0.5306
55	holistic	60	20.6238	60	0	0	0.8707	0.8707	1.0167	0.1460
55	conventional	60	20.1145	60	0	0	0.3461	0.3461	0.8833	0.5372
56	holistic	60	21.0959	60	0	0	0.7221	0.7221	0.8667	0.1445
