generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
235	146374959		0.612987	0.362779	0.876015	3	13.849000	0.937570	0.711972	1.305573	5	15.337000	0.528048	25	25	50
236	148752452		0.642828	0.405513	0.642013	4	14.096000	0.888862	0.527306	1.719343	5	15.337000				
237	1075906332		0.565642	0.399911	0.631806	2	13.755000	0.633850	0.478788	0.571862	5	15.337000				
238	691097384		0.539638	0.326053	0.608587	2	13.755000	0.960973	0.488017	0.853460	5	15.337000				
239	1397231534		0.749124	0.315308	0.207332	2	13.755000	0.941508	0.490562	1.018924	5	15.337000				
240	1292266242		0.688035	0.258055	0.275942	2	13.755000	0.829028	0.440099	0.154588	5	15.337000	0.350388	17	33	50
241	897686105		0.704987	0.313021	0.608587	2	13.755000	0.687678	0.482025	0.615454	5	15.337000				
242	19880702		0.671810	0.312500	0.608587	2	13.755000	1.000000	0.547299	0.559278	5	15.337000				
243	1633922930		0.704129	0.339710	0.608587	2	13.755000	0.909028	0.499065	0.080389	5	15.337000				
244	1341558690		0.682433	0.329930	0.608587	2	13.755000	0.505847	0.498068	1.345024	5	15.337000				
245	799131186		0.689728	0.349907	0.310511	2	13.711000	0.951470	0.597956	0.020273	5	15.337000	0.702260	38	12	50
246	1759826137		0.889519	0.387932	0.244050	2	13.711000	0.629916	0.462148	1.481438	5	15.337000				
247	2065015885		0.664294	0.274454	0.300874	3	14.620000	0.823355	0.315657	0.153015	5	15.337000				
248	2039812565		0.711112	0.368801	0.610371	3	14.620000	0.699014	0.489666	0.537880	5	15.337000				
249	680876939		0.896946	0.514954	0.118412	2	13.755000	0.673056	0.482418	0.302290	5	15.337000	0.802488	45	5	50
