docs/artifacts/RBT-23-W4b-801
| gen | travel azimuth - body yaw (deg) | R |
|---|---|---|
| 90 | -179.0 | 0.678 |
| 190 | +178.6 | 0.708 |
| 290 | -168.9 | 0.809 |
| 390 | +179.1 | 0.759 |
| 490 | -166.1 | 0.639 |
| 550 | -171.9 | 0.854 |
| 590 | -173.0 | 0.857 |

POOLED -174.1 deg, R=0.756  -> drives BACKWARD (reverse of the designed front)
