population	name	generation	age	evals	fitness	parents
conventional	ce935	494	59	59	0.9684	ce919
conventional	ce936	494	59	59	0.8485	ce846,ce917
holistic	he783	439	3	3	0.0	he694,he738
conventional	ce937	495	59	59	0.4035	ce836
conventional	ce938	437	1	1	-0.6372	ce844
conventional	ce939	496	59	59	0.4845	ce894,ce921
conventional	ce940	496	59	59	0.9356	ce916
conventional	ce941	496	59	59	0.8589	ce855
conventional	ce942	496	59	59	1.0914	ce882
conventional	ce943	451	13	13	0.3079	ce862
conventional	ce944	497	59	59	1.3389	ce923
conventional	ce945	497	59	59	1.1855	ce916,ce882
conventional	ce946	449	11	11	0.1716	ce907,ce933
conventional	ce947	497	59	59	1.0893	ce855
holistic	he784	498	59	59	1.0505	he690
holistic	he785	499	59	59	1.519	he710
holistic	he786	499	59	59	1.3696	he732,he705
holistic	he787	499	59	59	0.6998	he746,he715
holistic	he788	447	7	7	0.1409	he726,he717
holistic	he789	501	59	59	1.2676	he710
holistic	he790	445	3	3	0.0	he757
holistic	he791	445	3	3	0.0	he704,he745
conventional	ce948	501	59	59	0.7461	ce864,ce946
holistic	he792	502	59	59	1.1581	he705,he756
conventional	ce949	443	0	0	0.0	ce910,ce922
conventional	ce950	503	59	59	1.5512	ce863
conventional	ce951	503	59	59	0.6882	ce907,ce894
conventional	ce952	503	59	59	1.4001	ce935,ce910
holistic	he793	504	59	59	0.3016	he782
holistic	he794	504	59	59	1.2856	he749,he784
holistic	he795	448	3	3	-0.0282	he711,he764
holistic	he796	504	59	59	2.0072	he725
conventional	ce953	504	59	59	1.2757	ce905
conventional	ce954	447	2	2	-0.0493	ce943
holistic	he797	505	59	59	1.1744	he767
holistic	he798	449	3	3	0.0	he716
holistic	he799	505	59	59	0.6494	he745,he746
conventional	ce955	457	11	11	0.1932	ce893
holistic	he800	449	2	2	-0.1031	he759
holistic	he801	507	59	59	0.9631	he787
holistic	he802	507	59	59	0.3842	he766
holistic	he803	507	59	59	1.1269	he796
holistic	he804	457	9	9	0.1637	he771,he773
holistic	he805	507	59	59	0.8098	he753,he792
holistic	he806	451	3	3	-0.0078	he763
conventional	ce956	448	0	0	0.0	ce874,ce942
conventional	ce957	458	10	10	0.2302	ce944
holistic	he807	452	3	3	-0.0231	he743
holistic	he808	508	59	59	0.389	he762
