population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-0	-7	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-1	-4	0	15.717994	0	33	6	8.450042	0	6.441071	0.826881	0	0
holistic	h0-2	-37	1.700833	3.753813	3	3	4	0	0	3.753813	0	0	0
holistic	h0-3	-45	0	0.735740	0	4	4	0.735740	0	0	0	2.351266	0
holistic	h0-4	-53	0	0	0	0	0	0	0	0	0	0	1.591445
holistic	h0-5	-16	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-6	-28	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-7	-11	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-8	-53	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-9	-12	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-10	-54	6.717094	17.225356	8	34	10	1.971096	1.728874	13.525386	0	0	0
holistic	h0-11	-2	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-12	-35	0	0	0	0	0	0	0	0	0	0.436518	0
holistic	h0-13	-13	0	0	0	0	2	0	0	0	0	1.281438	0
holistic	h0-14	-55	0	0	0	0	5	0	0	0	0	1.677092	0
holistic	h0-15	-49	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-16	-23	0	0	0	0	4	0	0	0	0	0.695010	0
holistic	h0-17	-58	0	0.134710	0	2	2	0	0	0	0.134710	0	1.912677
holistic	h0-18	-58	0	0	0	0	0	0	0	0	0	0	10.284594
holistic	h0-19	-58	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-20	-34	0	0.047099	0	1	2	0.047099	0	0	0	0.434525	0
holistic	h0-21	-49	0	14.022446	0	6	4	0	12.825164	0	1.197282	0.550448	0
holistic	h0-22	-58	0	10.864482	0	12	3	0	10.864482	0	0	0	0
holistic	h0-23	-34	0	2.745427	0	4	3	0	0	2.745427	0	0	1.782496
holistic	h0-24	-28	0	0	0	0	0	0	0	0	0	0.246282	0
holistic	h0-25	-24	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-26	-57	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-27	-2	0	0	0	0	0	0	0	0	0	0	2.405052
holistic	h0-28	-8	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-29	-17	3.650048	7.769706	6	8	6	1.431640	0	0	6.338066	0	0
holistic	h0-30	-34	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-31	-49	0.720876	0.276520	1	2	5	0	0.276520	0	0	0	0
holistic	h0-32	-51	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-33	-3	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-34	-20	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-35	-42	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-36	-51	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-37	-21	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-38	-27	0	0	0	0	6	0	0	0	0	0.092291	0
holistic	h0-39	-33	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-40	-48	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-41	-22	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-42	-47	6.372089	75.532712	7	80	13	3.141745	0	32.429336	39.961631	0	0.980778
holistic	h0-43	-3	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-44	-48	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-45	-26	1.221010	11.396367	1	5	4	6.280273	0	5.116094	0	0	0
holistic	h0-46	-44	0	1.892968	0	6	3	0.812503	0.313751	0	0.766714	1.277657	0
holistic	h0-47	-19	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-48	-54	1.761510	4.979304	2	10	2	0	4.979304	0	0	0.993228	0
holistic	h0-49	-9	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-50	-32	0	0.349309	0	1	2	0	0	0	0.349309	0	0
holistic	h0-51	-49	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-52	-27	0	0	0	0	1	0	0	0	0	1.640966	4.399318
holistic	h0-53	-32	0	0	0	0	7	0	0	0	0	0	0
holistic	h0-54	-2	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-55	-13	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-56	-16	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-57	-6	0	0	0	0	4	0	0	0	0	0	6.895194
holistic	h0-58	-12	0	0	0	0	0	0	0	0	0	0	1.231599
