population	name	generation	age	evals	fitness	parents
conventional	ce216	97	59	59	0.2787	ce169
holistic	he207	98	59	59	1.2107	he134
holistic	he208	42	3	3	-0.0058	he85
holistic	he209	43	3	3	-0.0026	he194
holistic	he210	59	19	19	0.1983	he97,he121
holistic	he211	48	7	7	0.1372	he115
holistic	he212	44	3	3	0.0	he139,he73
conventional	ce217	42	1	1	0.1553	ce62
holistic	he213	102	59	59	0.5107	he89,he145
conventional	ce218	102	59	59	0.4256	ce119
holistic	he214	47	3	3	-0.0189	he89
holistic	he215	47	3	3	-0.0003	he206
conventional	ce219	45	1	1	-0.4908	ce158
conventional	ce220	103	59	59	1.145	ce88
holistic	he216	52	7	7	0.1427	he167
holistic	he217	48	3	3	-0.0031	he166
conventional	ce221	105	59	59	1.0294	ce169
holistic	he218	51	3	3	-0.0443	he89
holistic	he219	107	59	59	0.308	he83
holistic	he220	59	11	11	0.1617	he156
conventional	ce222	107	59	59	0.4782	ce137,ce149
holistic	he221	52	3	3	0.0	he129
holistic	he222	52	3	3	-0.01	he207
holistic	he223	59	7	7	0.1347	he186
holistic	he224	59	7	7	0.1415	he156
conventional	ce223	111	59	59	0.4308	ce185,ce193
holistic	he225	112	59	59	1.5063	he153,he85
holistic	he226	56	3	3	-0.0062	he197
holistic	he227	56	3	3	-0.0006	he123
holistic	he228	56	3	3	-0.0024	he85
conventional	ce224	56	2	2	-0.2332	ce120
holistic	he229	58	3	3	-0.0009	he157
conventional	ce225	57	1	1	-0.5795	ce128
holistic	he230	60	3	3	-0.0091	he186
holistic	he231	64	7	7	0.1429	he117,he96
holistic	he232	116	59	59	0.8602	he166
conventional	ce226	58	1	1	-0.6212	ce203
conventional	ce227	58	1	1	-0.6378	ce201,ce154
holistic	he233	117	59	59	0.4384	he73,he154
conventional	ce228	117	59	59	0.4399	ce221,ce138
holistic	he234	118	59	59	0.4605	he186
conventional	ce229	118	59	59	0.5723	ce89
conventional	ce230	118	59	59	0.5602	ce130,ce137
holistic	he235	63	3	3	0.0	he175
holistic	he236	63	3	3	-0.0027	he194
holistic	he237	119	59	59	1.56	he115
