# RBT-104 no-selection baseline, seed 4, K = 8: 30 planted founders x 20 lineages = 600; adversary/persistence.py's lineage(), unchanged, at depths 0-30
# depth	lineages	paying	fraction	upper95_one_sided
0	600	600	1.0000	1.0000
1	600	452	0.7533	0.7811
2	600	333	0.5550	0.5881
3	600	246	0.4100	0.4434
4	600	177	0.2950	0.3265
5	600	141	0.2350	0.2646
6	600	106	0.1767	0.2037
7	600	78	0.1300	0.1543
8	600	68	0.1133	0.1364
9	600	58	0.0967	0.1184
10	600	50	0.0833	0.1038
11	600	45	0.0750	0.0947
12	600	42	0.0700	0.0891
13	600	38	0.0633	0.0817
14	600	28	0.0467	0.0630
15	600	22	0.0367	0.0515
16	600	19	0.0317	0.0457
17	600	19	0.0317	0.0457
18	600	17	0.0283	0.0418
19	600	12	0.0200	0.0318
20	600	13	0.0217	0.0338
21	600	9	0.0150	0.0256
22	600	8	0.0133	0.0235
23	600	9	0.0150	0.0256
24	600	11	0.0183	0.0297
25	600	11	0.0183	0.0297
26	600	6	0.0100	0.0192
27	600	7	0.0117	0.0214
28	600	5	0.0083	0.0170
29	600	7	0.0117	0.0214
30	600	7	0.0117	0.0214
