# RBT-104 adversary: the planted seed under the operator alone (no selection), seed 801

30 planted founders x 20 lineages per K; part 2's MutationConfig; crossover off.

## K = 1  (600 lineages)

| depth | structure | same sign | paying (>= a=64 rung, same sign) | own links median | whole brain median |
|---|---|---|---|---|---|
| 0 | 600/600 (100%) | 100% | 0% | 0.766 | 0.3733 |
| 1 | 565/600 (94%) | 92% | 1% | 0.711 | 0.3353 |
| 2 | 530/600 (88%) | 85% | 1% | 0.611 | 0.2311 |
| 4 | 470/600 (78%) | 72% | 0% | 0.458 | 0.1557 |
| 8 | 347/600 (58%) | 49% | 0% | 0.036 | 0.0866 |
| 12 | 245/600 (41%) | 32% | 0% | 0.000 | 0.0342 |
| 16 | 187/600 (31%) | 22% | 0% | 0.000 | 0.0165 |
| 20 | 131/600 (22%) | 15% | 0% | 0.000 | 0.0171 |

## K = 8  (600 lineages)

| depth | structure | same sign | paying (>= a=64 rung, same sign) | own links median | whole brain median |
|---|---|---|---|---|---|
| 0 | 600/600 (100%) | 100% | 100% | 46.013 | 0.0025 |
| 1 | 563/600 (94%) | 92% | 74% | 39.952 | 0.0002 |
| 2 | 533/600 (89%) | 86% | 54% | 29.093 | 0.0001 |
| 4 | 454/600 (76%) | 71% | 31% | 2.721 | 0.0000 |
| 8 | 332/600 (55%) | 47% | 13% | 0.000 | 0.0000 |
| 12 | 244/600 (41%) | 32% | 6% | 0.000 | 0.0000 |
| 16 | 173/600 (29%) | 21% | 2% | 0.000 | 0.0000 |
| 20 | 131/600 (22%) | 13% | 1% | 0.000 | 0.0000 |

