population	name	generation	age	evals	fitness	parents
conventional	ce125	15	1	1	-0.5851	ce114
conventional	ce126	15	1	1	-0.647	ce81
conventional	ce127	14	0	0	0.0	c0-44
holistic	he73	18	3	3	-0.0654	he66
conventional	ce128	16	1	1	-0.3302	c0-23
holistic	he74	19	3	3	-0.077	he66
conventional	ce129	17	1	1	-0.3835	c0-23
conventional	ce130	18	1	1	-0.6876	ce122
conventional	ce131	33	16	16	0.4653	ce107
conventional	ce132	31	13	13	0.2911	ce122
conventional	ce133	19	1	1	-0.3637	c0-23
conventional	ce134	19	1	1	-0.48	ce77
conventional	ce135	19	1	1	-0.5475	ce131
conventional	ce136	19	1	1	-0.6916	ce121
conventional	ce137	26	7	7	0.1466	c0-23
conventional	ce138	21	2	2	0.0701	ce131,c0-23
conventional	ce139	29	10	10	0.5052	ce121,ce131
conventional	ce140	21	1	1	-0.7461	c0-23
conventional	ce141	21	1	1	-0.4453	ce107
holistic	he75	23	2	2	-0.1202	he66
conventional	ce142	22	1	1	-0.2929	c0-23
conventional	ce143	24	3	3	0.2841	ce132
conventional	ce144	24	2	2	-0.1644	ce143,ce139
conventional	ce145	23	1	1	-0.6275	ce121,ce143
conventional	ce146	23	1	1	-0.4891	ce139,ce143
conventional	ce147	24	1	1	-0.6267	ce121
conventional	ce148	51	28	28	0.2959	c0-23
conventional	ce149	24	1	1	-0.4947	ce139,ce121
conventional	ce150	26	2	2	-0.0679	c0-22
conventional	ce151	25	1	1	-0.2642	c0-23
conventional	ce152	26	1	1	-0.5109	c0-22
conventional	ce153	25	0	0	0.0	ce131
conventional	ce154	32	6	6	0.1537	ce139
conventional	ce155	31	5	5	0.0505	c0-22,ce131
conventional	ce156	30	4	4	0.1028	ce131
holistic	he76	38	3	3	-0.0302	he66
conventional	ce157	38	1	1	-0.3942	ce148
conventional	ce158	46	6	6	0.0884	ce148
conventional	ce159	54	6	6	0.5181	ce122
conventional	ce160	57	8	8	0.3608	ce122
conventional	ce161	52	3	3	0.0276	ce159
conventional	ce162	51	1	1	-0.5967	ce122,ce159
conventional	ce163	55	5	5	0.1372	ce159
conventional	ce164	53	2	2	-0.1776	ce122
conventional	ce165	59	7	7	0.4657	ce122
conventional	ce166	54	1	1	-0.4751	ce165
conventional	ce167	57	2	2	-0.1102	ce160
conventional	ce168	57	1	1	-0.6756	ce165
