generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	907656374		0.590072	0.555582	1.823074	8	15.340000	0.961711	0.609735	0.795548	5	15.337000	0.503095	34	16	50
1	904230493		0.523935	0.480538	1.656502	8	15.340000	0.824918	0.517347	0.414283	5	15.337000				
2	1867750477		0.523935	0.466105	1.656502	8	15.340000	0.767886	0.359041	2.531106	5	15.337000				
3	1154434935		0.515605	0.457533	1.656513	8	15.340000	0.847919	0.506524	0.419166	5	15.337000				
4	1241770273		0.502550	0.464345	1.656520	8	15.340000	0.789415	0.342373	1.724919	5	15.337000				
5	1705139378		0.501781	0.464075	1.656519	8	15.340000	0.777122	0.354430	0.421923	5	15.337000	0.406552	5	45	50
6	2055655501		0.501781	0.462237	1.656519	8	15.340000	0.805223	0.297373	1.779463	5	15.337000				
7	482516381		0.501781	0.465778	1.656519	8	15.340000	0.972024	0.508881	0.516016	5	15.337000				
8	19032286		0.530584	0.461876	1.465503	3	14.664000	0.913730	0.481520	0.968317	5	15.337000				
9	1548773090		0.755883	0.539198	1.610094	8	15.340000	0.838409	0.494259	0.998139	5	15.337000				
10	563285061		0.536444	0.429735	1.534647	8	15.340000	0.785899	0.510579	0.420213	5	15.337000	0.410400	12	38	50
11	888500302		0.551898	0.448854	1.276905	10	15.340000	0.671145	0.368775	0.665825	5	15.337000				
12	951476777		0.533023	0.362528	1.363671	10	15.340000	0.988520	0.685625	0.183266	5	15.337000				
13	1628839063		0.505628	0.391917	1.315437	10	15.340000	0.859696	0.460565	0.433223	5	15.337000				
14	1075726006		0.657588	0.378808	0.691197	10	15.340000	0.980233	0.554901	0.073644	5	15.337000				
15	1927531749		0.701329	0.410694	0.785804	2	14.649000	0.954917	0.324257	0.075349	5	15.337000	0.332476	11	39	50
16	1455941520		0.639786	0.326412	0.785804	2	14.649000	0.920717	0.325216	0.041398	5	15.337000				
17	258118500		0.588048	0.297935	0.785804	2	14.649000	0.931923	0.565977	0.121320	5	15.337000				
18	1537217314		0.774842	0.384148	0.785804	2	14.649000	0.860856	0.444566	0.191948	5	15.337000				
19	1288005949		0.663330	0.311040	0.785804	2	14.649000	0.859478	0.376444	0.089080	5	15.337000				
20	1350530626		0.668719	0.296714	0.785804	2	14.649000	1.000000	0.459857	1.944694	5	15.337000	0.283768	6	44	50
21	1530490018		0.744558	0.297420	0.785804	2	14.649000	0.784801	0.281946	0.202445	5	15.337000				
22	733911955		0.682764	0.290785	0.785804	2	14.649000	0.650088	0.304362	0.256566	5	15.337000				
23	1383247869		0.674930	0.514004	1.373651	8	15.340000	0.672980	0.300810	0.693459	5	15.337000				
24	165061405		0.761011	0.446180	0.462737	2	14.649000	0.725580	0.345655	0.193139	5	15.337000				
25	1307226591		0.741303	0.351425	0.785804	2	14.649000	0.857646	0.495311	0.118686	5	15.337000	0.305192	4	46	50
26	1675625093		0.707868	0.452422	0.785804	2	14.649000	0.968727	0.405562	0.016822	5	15.337000				
27	1722021650		0.605843	0.426566	1.084757	2	14.649000	0.798325	0.415121	0.486018	5	15.337000				
28	1799428767		0.678151	0.310533	0.785804	2	14.649000	0.829986	0.393627	0.089661	5	15.337000				
29	49836024		0.666510	0.318478	0.595841	2	14.649000	0.960582	0.366735	0.023513	5	15.337000				
30	317278507		0.775258	0.416924	0.672742	3	15.340000	0.855861	0.387027	0.247349	5	15.337000	0.346641	11	39	50
31	1534866293		0.602953	0.451322	1.276501	7	15.282000	0.961191	0.398676	0.028150	5	15.337000				
32	1090482286		0.685976	0.446608	0.590704	3	15.340000	1.000000	0.580248	1.355257	5	15.337000				
