# RBT-101 positive-control table, seed 804: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-804 as restored from ckpt/rbt-90-804 at b0bbcda141 (345/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
P	holistic	he512	0.791718	0.791718	1	1.791718	1.791718	1.291718	1.291718	-	-	he265,he329
P	holistic	he515	0.588214	0.588214	1	1.588214	3.249230	1.088214	1.918722	-	-	he265,he276,he284,he289,he295,he329
P	holistic	he516	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he282
P	holistic	he517	2.763026	4.167302	1	3.763026	5.491441	3.263026	4.829371	-	-	he256,he260,he268,he287,he289,he320,he334
P	holistic	he518	0.000000	0.000000	0	-	-	-	-	-	-	he256,he265,he287,he295,he296,he311,he329
P	holistic	he519	0.000000	0.000000	0	-	-	-	-	-	-	he295
P	holistic	he520	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he256,he296
P	holistic	he521	0.666222	0.666222	1	1.666222	1.666222	1.166222	1.166222	-	-	he265,he285,he287,he329
P	holistic	he522	1.013513	1.013513	1	2.013513	4.271400	1.513513	2.642456	-	-	he304
P	holistic	he524	1.595453	2.760279	1	1.330689	2.391126	1.095453	1.553574	-	-	he256,he289
P	holistic	he529	0.030875	0.030875	1	1.030875	3.460643	0.530875	1.745759	-	-	he256,he287,he296,he329
P	holistic	he531	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he282
P	holistic	he532	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he282
P	holistic	he534	0.000000	0.000000	0	-	-	-	-	-	-	he256,he287,he295,he296,he304
P	holistic	he536	0.000000	0.000000	0	-	-	-	-	-	-	he256,he282,he287,he295,he296,he311
P	holistic	he538	0.588214	0.588214	1	1.588214	1.588214	1.088214	1.088214	-	-	he265,he329
P	holistic	he539	1.013513	1.013513	1	2.013513	2.013513	1.513513	1.513513	-	-	he304
