population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-0	-21	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-1	-43	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-2	-4	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-3	-7	0	0	0	0	5	0	0	0	0	0	0
holistic	h0-4	-58	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-5	-48	8.509376	10.072632	8	10	10	1.896146	2.424920	5.751566	0	0	0
holistic	h0-6	-54	0.490019	1.424695	1	1	1	0	1.424695	0	0	0	0
holistic	h0-7	-48	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-8	-31	0	0	0	0	0	0	0	0	0	1.133674	0
holistic	h0-9	-28	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-10	-15	0	2.880768	0	6	3	1.004242	0	0	1.876526	0	0
holistic	h0-11	-47	0	0.204651	0	3	3	0	0	0	0.204651	0	0.685634
holistic	h0-12	-57	0	7.070479	0	9	6	0	0	7.070479	0	0	0
holistic	h0-13	-26	0	0	0	0	11	0	0	0	0	0	0
holistic	h0-14	-44	0	0	0	0	0	0	0	0	0	1.821300	2.331237
holistic	h0-15	-11	3.215955	4.488651	6	24	18	0.761100	0	3.727551	0	4.130048	0
holistic	h0-16	-12	0	0.057438	0	3	1	0.057438	0	0	0	0	0
holistic	h0-17	-52	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-18	-1	2.944476	3.990526	2	8	4	0	3.284990	0	0.705536	0.084294	0
holistic	h0-19	-53	7.112526	53.027400	6	70	16	0	0.200912	47.601614	5.224874	4.130916	0
holistic	h0-20	-50	0.825592	0.914078	2	2	3	0.914078	0	0	0	0.453586	0
holistic	h0-21	-27	0.873885	2.193257	2	7	4	0	0	1.960559	0.232698	0.257392	0
holistic	h0-22	-42	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-23	-12	3.342972	6.220263	4	7	4	0	5.893020	0	0.327243	1.269918	0
holistic	h0-24	-30	0	0	0	0	0	0	0	0	0	0	3.216639
holistic	h0-25	-7	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-26	-5	0.401256	0.570334	1	2	2	0	0.570334	0	0	0	0
holistic	h0-27	-14	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-28	-14	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-29	-42	0	0	0	0	0	0	0	0	0	0.681855	0
holistic	h0-30	-18	0.334549	0.836534	1	2	1	0.836534	0	0	0	0.103279	0
holistic	h0-31	-31	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-32	-16	0	2.553849	0	3	6	0	0	2.553849	0	0	0
holistic	h0-33	-52	3.712596	18.075036	5	17	5	16.533589	0	0	1.541447	0	0
holistic	h0-34	-13	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-35	-33	0	0.449822	0	1	2	0	0.449822	0	0	0	0
holistic	h0-36	-43	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-37	-13	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-38	-30	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-39	-14	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-40	-16	5.122070	9.850419	6	14	10	1.420023	0	5.465958	2.964438	3.450534	0
holistic	h0-41	-8	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-42	-19	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-43	-9	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-44	-38	2.072906	5.061094	2	4	5	0	0	0	5.061094	0	4.816116
holistic	h0-45	-36	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-46	-39	1.574488	1.093010	3	3	4	0	0	0	1.093010	0	0
holistic	h0-47	-55	0.865142	15.507366	1	21	12	0	0.176883	12.503205	2.827278	0	0
holistic	h0-48	-56	1.293615	5.003997	1	9	9	0	1.156845	0.623448	3.223704	0	0
holistic	h0-49	-29	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-50	-3	1.275756	9.860585	2	10	11	0	0.499284	8.844436	0.516865	0	0
holistic	h0-51	-39	0	0	0	0	5	0	0	0	0	0	0
holistic	h0-52	-8	0	0	0	0	2	0	0	0	0	0	0
