population	name	born	body
conventional	ce87	5	064cde1b95c2
holistic	he71	6	6b9afd54e34e
holistic	he72	6	b0a536af45bb
holistic	he73	6	d323ad580ee8
conventional	ce88	6	064cde1b95c2
conventional	ce89	6	064cde1b95c2
conventional	ce90	6	064cde1b95c2
conventional	ce91	6	064cde1b95c2
conventional	ce92	7	064cde1b95c2
conventional	ce93	7	064cde1b95c2
holistic	he74	8	2a6f08e038c1
holistic	he75	8	6294178f2c72
holistic	he76	8	a2bcc9e82e30
conventional	ce94	8	064cde1b95c2
conventional	ce95	8	064cde1b95c2
conventional	ce96	8	064cde1b95c2
conventional	ce97	8	064cde1b95c2
conventional	ce98	8	064cde1b95c2
holistic	he77	9	0ebb8b66ae2a
holistic	he78	9	d69879fd9fe1
holistic	he79	9	4ada20d13824
conventional	ce99	9	064cde1b95c2
conventional	ce100	9	064cde1b95c2
conventional	ce101	9	064cde1b95c2
holistic	he80	10	dc89890a99f7
holistic	he81	10	0ebb8b66ae2a
conventional	ce102	10	064cde1b95c2
holistic	he82	11	244ff39a8f18
holistic	he83	11	8943d4feb434
holistic	he84	11	242144169c61
holistic	he85	11	da88dfa2780c
conventional	ce103	11	064cde1b95c2
conventional	ce104	11	064cde1b95c2
conventional	ce105	11	064cde1b95c2
holistic	he86	12	05cc01015a44
holistic	he87	12	d25771107057
holistic	he88	12	1c4a5a48a6fc
conventional	ce106	12	064cde1b95c2
conventional	ce107	12	064cde1b95c2
conventional	ce108	12	064cde1b95c2
conventional	ce109	12	064cde1b95c2
conventional	ce110	12	064cde1b95c2
holistic	he89	13	254e3057b197
holistic	he90	13	d44e378d4746
holistic	he91	13	5e1c38c98fb1
holistic	he92	13	609df3bbae1c
conventional	ce111	13	064cde1b95c2
conventional	ce112	13	064cde1b95c2
conventional	ce113	13	064cde1b95c2
conventional	ce114	13	064cde1b95c2
holistic	he93	14	0c8a85a55829
holistic	he94	14	0ebb8b66ae2a
holistic	he95	14	9864b24c856a
holistic	he96	14	26456216ddd6
conventional	ce115	14	064cde1b95c2
conventional	ce116	14	064cde1b95c2
conventional	ce117	14	064cde1b95c2
conventional	ce118	14	064cde1b95c2
holistic	he97	15	dce8e77591c5
holistic	he98	15	c0e2e2581418
holistic	he99	15	af2280669a73
holistic	he100	15	1d18bd3c861a
conventional	ce119	15	064cde1b95c2
conventional	ce120	15	064cde1b95c2
conventional	ce121	15	064cde1b95c2
conventional	ce122	15	064cde1b95c2
holistic	he101	16	90c83b83ad95
holistic	he102	16	36921dda7365
holistic	he103	16	e17c9b17fd8f
conventional	ce123	16	064cde1b95c2
conventional	ce124	16	064cde1b95c2
holistic	he104	17	4e43bf492a89
holistic	he105	17	feb9e1b91eee
holistic	he106	17	82847b810a2e
holistic	he107	17	5e1c38c98fb1
conventional	ce125	17	064cde1b95c2
conventional	ce126	17	064cde1b95c2
conventional	ce127	17	064cde1b95c2
holistic	he108	18	7e72b4505667
holistic	he109	18	f3be4bc66aa4
holistic	he110	18	3581851b99ef
holistic	he111	18	b8e70f49383f
holistic	he112	18	d014093bd565
holistic	he113	18	180044a7197d
holistic	he114	18	05d30d1303be
holistic	he115	18	81889d2476ca
holistic	he116	18	f32061803678
holistic	he117	18	74da0954e77b
conventional	ce128	18	064cde1b95c2
conventional	ce129	18	064cde1b95c2
holistic	he118	19	8dc2280f055c
holistic	he119	19	ad1034fde436
holistic	he120	19	1aa5086d9714
holistic	he121	19	97c263a1593e
holistic	he122	19	ef0be64c26b6
holistic	he123	19	9b6c233cef59
holistic	he124	19	d9d7695f096e
holistic	he125	19	56f829a99809
holistic	he126	19	8cc8a8749eb9
holistic	he127	19	b92c62e02df2
holistic	he128	19	6d27f569c958
holistic	he129	19	533a0f0aa4f2
holistic	he130	19	d014093bd565
conventional	ce130	19	064cde1b95c2
conventional	ce131	19	064cde1b95c2
conventional	ce132	19	064cde1b95c2
holistic	he131	20	67bcc7350daa
holistic	he132	20	1d9a6576b1c0
holistic	he133	20	c0e2e2581418
holistic	he134	20	d92ca99f9c79
holistic	he135	20	b743fbe4f1ab
holistic	he136	20	af2280669a73
holistic	he137	20	213929c3f107
holistic	he138	20	293b320a6ec9
holistic	he139	20	683eeccfa4fe
holistic	he140	20	05d30d1303be
holistic	he141	20	e95fbd6ff2e1
conventional	ce133	20	064cde1b95c2
conventional	ce134	20	064cde1b95c2
conventional	ce135	20	064cde1b95c2
conventional	ce136	20	064cde1b95c2
holistic	he142	21	f08d2f042a9b
holistic	he143	21	847349ac10d5
holistic	he144	22	6a7974797374
holistic	he145	22	616a19a3d3bf
holistic	he146	22	25233f882e3b
holistic	he147	22	c4b6cd292f5e
holistic	he148	22	7e72b4505667
holistic	he149	22	3111f8a0c7ad
conventional	ce137	22	064cde1b95c2
conventional	ce138	22	064cde1b95c2
