population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-0	-30	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-1	-53	1.045434	3.089922	2	2	2	3.089922	0	0	0	0	0
holistic	h0-2	-19	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-3	-5	0	72.996696	0	33	11	0	8.497941	0	64.498755	0	0
holistic	h0-4	-8	0	0	0	0	2	0	0	0	0	1.534189	0
holistic	h0-5	-37	0.272385	0.303419	1	2	2	0	0.303419	0	0	0	0
holistic	h0-6	-29	0	13.879260	0	28	15	0	0	11.497842	2.381418	0	0
holistic	h0-7	-19	0	0	0	0	0	0	0	0	0	3.276744	0
holistic	h0-8	-26	0	1.138736	0	4	2	0.220878	0	0	0.917858	0	0
holistic	h0-9	-19	0	0	0	0	0	0	0	0	0	0.744997	0.916841
holistic	h0-10	-7	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-11	-3	0	31.713900	0	28	9	0	0	31.134224	0.579676	4.286548	9.829140
holistic	h0-12	-17	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-13	-36	0.607035	1.069801	2	5	16	0	0	1.069801	0	0	0
holistic	h0-14	-32	0	4.602903	0	5	4	0	0	0	4.602903	0	0
holistic	h0-15	-33	0	2.866958	0	2	1	0	0	0	2.866958	0	0
holistic	h0-16	-25	1.964031	20.112681	6	66	24	4.016505	0	9.545688	6.550488	0	0
holistic	h0-17	-4	1.208542	1.054281	1	1	3	0	1.054281	0	0	0	0
holistic	h0-18	-45	1.498635	11.727859	2	18	6	0	0	5.417089	6.310770	0	0
holistic	h0-19	-35	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-20	-46	0	0	0	0	2	0	0	0	0	0.360542	0
holistic	h0-21	-20	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-22	-7	0	0	0	0	0	0	0	0	0	5.330364	0
holistic	h0-23	-48	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-24	-42	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-25	-33	0	0	0	0	2	0	0	0	0	6.693706	0
holistic	h0-26	-48	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-27	-3	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-28	-6	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-29	-1	4.575711	13.780416	6	30	13	0	0.051507	13.728909	0	0	0
holistic	h0-30	-33	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-31	-57	0	0	0	0	3	0	0	0	0	0	1.795310
holistic	h0-32	-52	0	0	0	0	0	0	0	0	0	1.983451	0
