generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	1341846876		0.543871	0.479989	1.585291	4	15.340000	0.996030	0.726845	0.031891	5	15.337000	0.344379	8	42	50
1	2094825500		0.540457	0.446466	1.607249	4	15.340000	0.929774	0.337027	0.114189	5	15.337000				
2	557575439		0.510134	0.464342	1.696318	4	15.340000	0.939155	0.236465	0.099722	5	15.337000				
3	2109568734		0.546585	0.454910	1.333279	4	15.340000	0.910816	0.378100	0.108685	5	15.337000				
4	390303728		0.619189	0.435447	0.696728	4	15.340000	0.932659	0.499204	0.068876	5	15.337000				
5	2008133527		0.617695	0.405502	1.991479	4	15.340000	0.696036	0.405120	0.423497	5	15.337000	0.356810	7	43	50
6	219553417		0.569609	0.503880	1.504739	6	15.340000	0.840816	0.440161	0.182521	5	15.337000				
7	2041225105		0.539124	0.437534	1.504739	6	15.340000	0.565366	0.371115	0.417370	5	15.337000				
8	1402883829		0.528291	0.451379	1.343576	6	15.340000	1.000000	0.444352	0.503019	5	15.337000				
9	1444210516		0.581134	0.441550	1.273957	6	15.340000	0.781703	0.381297	0.136328	5	15.337000				
10	553154965		0.606835	0.407965	1.273957	6	15.340000	0.870564	0.344752	0.190201	5	15.337000	0.259153	4	46	50
11	69008096		0.597912	0.441870	1.096457	8	15.340000	0.851508	0.347252	0.268940	5	15.337000				
12	1604461217		0.626182	0.415718	0.767861	6	15.340000	0.828055	0.489746	0.304368	5	15.337000				
13	423713525		0.593147	0.394191	0.951071	6	15.340000	0.891858	0.368287	0.103912	5	15.337000				
14	1507215519		0.530516	0.384829	0.781606	6	15.340000	0.973473	0.519063	0.124104	5	15.337000				
15	792574535		0.535401	0.454365	1.944439	6	15.340000	0.676231	0.381802	0.694954	5	15.337000	0.408326	11	39	50
16	1783361895		0.555425	0.481623	1.567507	6	15.340000	0.885846	0.458254	0.080204	5	15.337000				
17	1796182847		0.611533	0.541410	1.416168	6	15.340000	0.837600	0.508757	1.121486	5	15.337000				
18	1493943741		0.536204	0.418616	1.528711	6	15.340000	0.807349	0.465253	0.459954	5	15.337000				
19	1070418184		0.537786	0.429933	1.374853	6	15.340000	0.929950	0.326364	0.032254	5	15.337000				
20	1294691768		0.758449	0.439083	0.451023	6	15.340000	0.726855	0.313736	0.294290	5	15.337000	0.440943	23	27	50
21	1451476094		0.771587	0.555970	1.201456	6	15.340000	0.726400	0.407649	0.558320	5	15.337000				
22	271945602		0.558101	0.459680	1.636742	6	15.340000	0.721442	0.495963	0.440762	5	15.337000				
23	44780243		0.525164	0.463140	1.669692	3	15.340000	0.768438	0.465167	0.626820	5	15.337000				
24	827742326		0.536340	0.472826	1.636742	6	15.340000	0.828515	0.582129	0.393376	5	15.337000				
25	2009492042		0.584276	0.470165	1.280460	3	15.340000	0.886245	0.515062	0.158617	5	15.337000	0.283204	3	47	50
26	664533185		0.800266	0.564560	1.573971	3	15.340000	0.881749	0.484217	0.079140	5	15.337000				
27	1101881071		0.513569	0.460197	1.642051	3	15.340000	0.766447	0.452140	0.201035	5	15.337000				
28	748652695		0.618578	0.470843	1.017998	4	15.340000	0.890651	0.319187	0.138701	5	15.337000				
29	1192699558		0.614306	0.384288	1.036559	4	15.340000	0.765382	0.473024	0.223224	5	15.337000				
30	1677435032		0.707748	0.417941	0.465640	4	15.340000	0.837352	0.450360	0.100918	5	15.337000	0.255182	0	50	50
31	594693585		0.614449	0.391608	1.220471	2	15.340000	0.856547	0.402400	0.072431	5	15.337000				
32	1167871621		0.771655	0.372626	0.320860	4	15.340000	0.877584	0.384056	3.550662	5	15.337000				
33	1707033590		0.744445	0.385525	1.163638	4	15.340000	0.883535	0.539003	0.333357	5	15.337000				
34	210132727		0.584007	0.393506	1.479952	7	15.340000	0.908395	0.460029	0.089581	5	15.337000				
35	85135997		0.664860	0.466431	0.959660	6	15.340000	0.821169	0.575364	0.122384	5	15.337000	0.269808	0	50	50
36	368537126		0.789050	0.588534	2.113211	6	15.340000	0.886797	0.386742	0.095358	5	15.337000				
37	2127438080		0.828153	0.562313	0.718429	3	15.340000	0.919889	0.508083	0.035555	5	15.337000				
38	1772670258		0.668911	0.520684	1.333322	3	15.340000	0.956194	0.476167	1.016051	5	15.337000				
39	1652712745		0.590544	0.423045	1.333322	3	15.340000	0.962857	0.358554	0.232308	5	15.337000				
40	1644520804		0.598432	0.426910	1.296749	3	15.340000	0.910169	0.345953	0.121932	5	15.337000	0.316558	1	49	50
41	587420941		0.584568	0.458739	1.309797	3	15.340000	0.943109	0.400189	0.080569	5	15.337000				
42	160694479		0.558558	0.465901	1.309797	3	15.340000	0.828889	0.418388	0.087225	5	15.337000				
43	1586764994		0.522961	0.427117	1.333345	2	15.340000	0.803269	0.432900	0.097372	5	15.337000				
44	1789721603		0.512637	0.440726	1.333345	2	15.340000	0.850426	0.453411	0.093468	5	15.337000				
45	542491888		0.557481	0.416008	1.058387	2	15.340000	0.783753	0.307673	0.121733	5	15.337000	0.273431	6	44	50
46	402574898		0.502639	0.334099	1.319346	2	15.340000	0.881348	0.577883	0.149169	5	15.337000				
47	176895833		0.693011	0.347861	0.439307	2	15.340000	0.943728	0.363815	0.027395	5	15.337000				
48	190805491		0.796458	0.400427	0.439307	2	15.340000	0.676551	0.441470	0.227196	5	15.337000				
49	6754220		0.560047	0.420535	1.185605	2	15.340000	0.626220	0.374656	0.187664	5	15.337000				
50	736012919		0.720816	0.300582	0.526072	2	15.340000	0.713993	0.445903	0.143896	5	15.337000	0.508131	26	24	50
51	1803167254		0.812244	0.446757	0.439307	2	15.340000	0.545834	0.345365	1.937576	5	15.337000				
52	728915760		0.817166	0.396661	0.439307	2	15.340000	0.823130	0.500918	0.230189	5	15.337000				
53	667678864		0.574451	0.501789	1.531772	2	15.340000	0.838356	0.499624	0.416359	5	15.337000				
54	1810446521		0.801198	0.483400	0.322300	2	15.340000	0.827629	0.334510	0.079760	5	15.337000				
55	1197961290		0.737175	0.324612	0.850097	2	15.340000	0.855577	0.467675	1.494701	5	15.337000	0.480112	20	30	50
56	740897412		0.617194	0.234686	1.393896	2	15.340000	0.979955	0.652008	0.038659	5	15.337000				
57	1985145794		0.652701	0.437035	0.681779	2	15.340000	0.578929	0.477909	0.865681	5	15.337000				
58	2110086247		0.785791	0.467341	0.599566	2	15.340000	0.960975	0.454903	0.132082	5	15.337000				
59	1657009861		0.598811	0.294983	0.559951	2	15.340000	0.871608	0.411254	0.076070	5	15.337000				
60	1062903986		0.726066	0.373711	0.835423	2	15.340000	0.894421	0.538661	2.147026	5	15.337000	0.600379	24	26	50
61	1975935047		0.660898	0.356336	0.835778	2	15.340000	0.976237	0.575347	0.042215	5	15.337000				
62	1614214931		0.671039	0.352397	0.409719	2	15.340000	0.872500	0.610816	0.141961	5	15.337000				
63	707106621		0.671039	0.222759	0.409719	2	15.340000	0.952292	0.474912	0.173869	5	15.337000				
64	897457676		0.671039	0.281748	0.409719	2	15.340000	1.000000	0.469120	2.363970	5	15.337000				
65	129294365		0.359091	0.264886	1.505572	2	15.340000	0.926450	0.507902	0.173630	5	15.337000	0.417926	20	30	50
66	1451759509		0.812419	0.480973	0.347625	2	15.340000	0.828406	0.515622	0.133201	5	15.337000				
67	1716014745		0.630253	0.394816	0.549660	2	15.340000	1.000000	0.512676	0.113711	5	15.337000				
68	719863050		0.656353	0.439176	0.835778	2	15.340000	1.000000	0.419951	0.699460	5	15.337000				
69	1079712932		0.616438	0.455721	0.835778	2	15.340000	0.839102	0.516682	0.671589	5	15.337000				
70	943604649		0.575266	0.415207	0.834108	2	15.340000	0.870889	0.521366	0.234520	5	15.337000	0.497699	29	21	50
71	929597847		0.598525	0.441732	0.831925	2	15.340000	0.745556	0.514980	1.022707	5	15.337000				
72	154593959		0.669980	0.469764	0.703718	2	15.340000	0.793256	0.460204	1.154140	5	15.337000				
73	534941551		0.542891	0.351602	0.703718	2	15.340000	0.814704	0.309226	0.125079	5	15.337000				
74	974541190		0.662587	0.405368	0.698891	2	15.340000	0.902093	0.425235	0.059509	5	15.337000				
75	725190064		0.667429	0.400277	0.698891	2	15.340000	0.877174	0.451220	0.131611	5	15.337000	0.491230	29	21	50
76	1157774009		0.544598	0.347189	0.698891	2	15.340000	0.961965	0.468260	0.511151	5	15.337000				
