population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
conventional	ce1067	587	0.363211	49.705909	1	14	7	11.664248	4.871935	19.118008	14.051718	0.194349	0
conventional	ce1068	587	0.774134	43.886124	1	14	7	10.102574	6.303571	18.462742	9.017237	0	0
conventional	ce1069	587	0.361528	45.983694	1	14	7	13.562530	4.858489	17.837757	9.724918	0	0
holistic	he998	588	0	0	0	0	3	0	0	0	0	0	0
holistic	he999	588	0	0	0	0	4	0	0	0	0	0	0
holistic	he1000	589	0	0	0	0	2	0	0	0	0	0	0
conventional	ce1070	589	0.784764	14.090706	1	14	7	4.419493	2.903831	2.763874	4.003508	0.402523	0
conventional	ce1071	589	0.413065	29.767412	1	14	7	0.357472	1.176303	18.198096	10.035541	0.358267	0
holistic	he1001	590	0	6.256460	0	8	23	0	3.608736	2.647724	0	0	0
holistic	he1002	590	0	0	0	0	3	0	0	0	0	0	0
holistic	he1003	590	6.167229	40.725954	5	50	33	0	17.950284	22.775670	0	0	0
holistic	he1004	590	0	1.551845	0	1	4	0	0	0	1.551845	0	0
holistic	he1005	591	0	0	0	0	2	0	0	0	0	0	0.206807
holistic	he1006	591	4.365330	19.336514	4	24	28	0	5.983428	13.353086	0	0	0
holistic	he1007	591	0	0	0	0	4	0	0	0	0	0	0
holistic	he1008	591	6.532980	20.074326	6	26	28	0	5.109150	14.965176	0	0	0
conventional	ce1072	591	0.363211	52.544304	1	14	7	11.315650	6.194518	20.078606	14.955530	1.116605	0
conventional	ce1073	591	0	64.226849	0	14	7	12.699262	5.512129	23.374149	22.641309	1.405207	0
conventional	ce1074	591	0.005995	45.034003	1	14	7	11.259909	3.907839	17.135910	12.730345	0	0
conventional	ce1075	591	0.413065	35.848820	1	14	7	9.097494	4.199969	15.518089	7.033268	0.309773	0
holistic	he1009	592	0	0	0	0	8	0	0	0	0	0	0
holistic	he1010	592	10.833472	12.893468	6	10	46	0	0	2.928238	9.965230	0	0
holistic	he1011	592	0	0	0	0	7	0	0	0	0	2.827343	0
holistic	he1012	592	13.628628	15.603457	6	11	54	0	0	0.880084	14.723373	0	0
conventional	ce1076	592	1.445120	31.691126	1	14	7	1.757182	3.915766	9.961402	16.056776	1.143057	0
holistic	he1013	593	0	0.162006	0	2	15	0	0	0.162006	0	0	0
holistic	he1014	593	0	0	0	0	4	0	0	0	0	0	0
holistic	he1015	593	0	0	0	0	1	0	0	0	0	0	0
conventional	ce1077	593	0	38.151223	0	14	7	6.939333	8.153951	14.028256	9.029683	1.300208	0
holistic	he1016	594	0	12.044026	0	4	21	0	7.331420	4.712606	0	0	0
conventional	ce1078	594	0.413065	31.516798	1	14	7	2.475326	1.398580	18.091006	9.551886	0.811098	0
conventional	ce1079	594	0.413065	38.846331	1	14	7	10.205355	2.813536	18.078702	7.748738	0.309773	0
holistic	he1017	595	0	9.540294	0	4	15	0	5.807352	3.732942	0	0	0
holistic	he1018	595	0	0	0	0	2	0	0	0	0	0	0
holistic	he1019	595	3.805809	3.805809	3	3	29	0	0	3.805809	0	0	0
conventional	ce1080	595	0.860968	46.548931	1	14	7	11.414375	5.721599	16.830229	12.582728	0.930976	0
conventional	ce1081	595	0.784764	14.590629	1	14	7	4.640060	2.899702	3.306487	3.744380	0.682001	0
holistic	he1020	596	0	0	0	0	1	0	0	0	0	0	0
conventional	ce1082	596	0.935950	15.289498	1	7	7	0.952210	1.644422	8.720335	3.972531	0.358267	0
holistic	he1021	597	0	0	0	0	1	0	0	0	0	0	0
holistic	he1022	597	0	0	0	0	10	0	0	0	0	0	0
holistic	he1023	597	0	11.969078	0	4	21	0	6.476208	5.492870	0	0	0
conventional	ce1083	597	0.145020	38.245726	1	14	7	10.977935	4.777449	14.199356	8.290986	0	0
conventional	ce1084	598	0.823302	40.391520	1	14	7	7.931517	6.308295	15.795476	10.356232	0.930976	0
holistic	he1024	599	3.142252	7.774109	4	11	32	0	0	7.774109	0	0	0
conventional	ce1085	599	0.363211	43.589013	1	14	7	6.379515	6.100137	15.766934	15.342427	0.194349	0
