population	name	generation	age	evals	fitness	parents
conventional	ce378	172	59	59	1.4103	ce335
conventional	ce379	117	4	4	0.0151	ce234
conventional	ce380	115	2	2	0.0474	ce222,ce297
conventional	ce381	115	2	2	-0.1013	ce283,ce334
holistic	he303	116	2	2	-0.1074	he252
holistic	he304	117	2	2	-0.1714	he196
conventional	ce382	174	59	59	0.8709	ce283
conventional	ce383	174	59	59	1.2164	ce335,ce293
conventional	ce384	138	22	22	0.2061	ce329,ce346
conventional	ce385	131	15	15	0.2431	ce305,ce297
holistic	he305	176	59	59	1.3109	he240
conventional	ce386	176	59	59	0.8043	ce378
holistic	he306	177	59	59	0.4783	he210,he229
conventional	ce387	177	59	59	0.954	ce242
conventional	ce388	118	0	0	0.0	ce329
conventional	ce389	178	59	59	1.0986	ce378
conventional	ce390	178	59	59	0.8451	ce283
conventional	ce391	181	59	59	1.2279	ce362
conventional	ce392	123	1	1	-0.6027	ce383
conventional	ce393	182	59	59	0.5803	ce330
conventional	ce394	183	59	59	0.9441	ce369
holistic	he307	184	59	59	0.5013	he286,he254
holistic	he308	184	59	59	2.3483	he251
conventional	ce395	127	2	2	-0.1894	ce305,ce362
conventional	ce396	126	1	1	-0.582	ce334
conventional	ce397	127	2	2	-0.0792	ce350,ce280
conventional	ce398	184	59	59	0.4587	ce362,ce356
conventional	ce399	185	59	59	1.0064	ce297,ce267
holistic	he309	140	13	13	0.2254	he215
conventional	ce400	129	2	2	-0.1653	ce308,ce280
conventional	ce401	155	28	28	0.2357	ce353
conventional	ce402	187	59	59	0.9005	ce353
conventional	ce403	187	59	59	0.7793	ce325
conventional	ce404	129	1	1	-0.5488	ce389
conventional	ce405	130	1	1	-0.4928	ce398
holistic	he310	133	3	3	-0.0532	he200
holistic	he311	169	39	39	0.2309	he215
conventional	ce406	133	3	3	0.0404	ce394
conventional	ce407	132	2	2	-0.1479	ce341
conventional	ce408	136	6	6	0.1505	ce276
conventional	ce409	189	59	59	1.0709	ce364,ce325
holistic	he312	190	59	59	1.1073	he285
holistic	he313	134	3	3	-0.0142	he294
conventional	ce410	143	12	12	0.1712	ce346
conventional	ce411	132	1	1	-0.5686	ce280
conventional	ce412	133	1	1	-0.5076	ce306,ce399
conventional	ce413	191	59	59	1.4211	ce409
conventional	ce414	192	59	59	0.7874	ce369
conventional	ce415	192	59	59	0.8189	ce329
conventional	ce416	192	59	59	0.4201	ce377
holistic	he314	193	59	59	1.3515	he244,he252
holistic	he315	193	59	59	1.6291	he305
holistic	he316	193	59	59	0.4997	he265
holistic	he317	160	26	26	0.2827	he312
holistic	he318	193	59	59	1.5364	he287
conventional	ce417	193	59	59	0.5688	ce387
conventional	ce418	146	12	12	0.1864	ce323,ce293
holistic	he319	194	59	59	1.3073	he215,he220
holistic	he320	138	3	3	-0.0008	he265
holistic	he321	194	59	59	0.3347	he307,he219
conventional	ce419	136	1	1	-0.3436	ce399
holistic	he322	139	3	3	0.0	he299,he251
holistic	he323	195	59	59	0.7865	he258
holistic	he324	195	59	59	0.7334	he305,he312
conventional	ce420	137	1	1	-0.4073	ce288
conventional	ce421	196	59	59	1.4599	ce364,ce286
conventional	ce422	196	59	59	0.7407	ce369
conventional	ce423	196	59	59	0.6903	ce374
holistic	he325	197	59	59	1.866	he240
holistic	he326	140	2	2	0.0215	he285
holistic	he327	141	3	3	-0.0294	he250
conventional	ce424	197	59	59	0.5374	ce417
conventional	ce425	197	59	59	0.819	ce334
conventional	ce426	140	2	2	-0.0841	ce297,ce416
conventional	ce427	197	59	59	0.4993	ce391
conventional	ce428	197	59	59	0.5087	ce302
holistic	he328	198	59	59	0.9958	he294
holistic	he329	198	59	59	1.3573	he299
holistic	he330	142	3	3	0.0	he293
conventional	ce429	198	59	59	1.2821	ce413
conventional	ce430	198	59	59	0.5792	ce305
holistic	he331	199	59	59	0.4167	he329,he318
holistic	he332	143	3	3	0.0	he294,he325
holistic	he333	199	59	59	0.7316	he298
holistic	he334	143	3	3	-0.0263	he285,he252
holistic	he335	143	3	3	-0.0009	he289,he314
holistic	he336	142	2	2	-0.1422	he258
conventional	ce431	149	9	9	0.2021	ce402
conventional	ce432	141	1	1	-0.4005	ce302
holistic	he337	200	59	59	1.3312	he275
holistic	he338	144	3	3	0.0	he301
conventional	ce433	143	2	2	0.0073	ce334,ce394
conventional	ce434	143	2	2	0.014	ce393
conventional	ce435	142	1	1	-0.4906	ce429
holistic	he339	201	59	59	0.5955	he321
holistic	he340	145	3	3	-0.0024	he265
conventional	ce436	143	1	1	-0.6712	ce341
conventional	ce437	168	26	26	0.3159	ce357
conventional	ce438	201	59	59	0.7003	ce374
holistic	he341	144	1	1	-0.3764	he285
holistic	he342	202	59	59	1.7787	he325,he270
conventional	ce439	152	9	9	0.1566	ce376
holistic	he343	147	3	3	-0.0053	he328,he252
holistic	he344	147	3	3	0.0	he296
holistic	he345	203	59	59	1.4511	he293
holistic	he346	146	2	2	-0.1459	he264
holistic	he347	147	3	3	-0.0022	he307
holistic	he348	145	1	1	-0.4064	he252,he270
conventional	ce440	166	22	22	0.2094	ce350
conventional	ce441	203	59	59	0.7925	ce394
conventional	ce442	146	2	2	0.2427	ce376
conventional	ce443	147	3	3	0.0698	ce369
conventional	ce444	152	8	8	0.1848	ce387
holistic	he349	148	3	3	0.0	he294,he285
holistic	he350	204	59	59	1.0791	he328
holistic	he351	155	10	10	0.1513	he265
holistic	he352	151	5	5	0.0549	he323
holistic	he353	149	3	3	0.0	he293
holistic	he354	205	59	59	0.3486	he324
holistic	he355	148	2	2	-0.1281	he296
holistic	he356	150	3	3	0.0	he265
holistic	he357	206	59	59	1.4646	he306,he305
holistic	he358	149	2	2	-0.1202	he324
conventional	ce445	149	2	2	-0.1103	ce415,ce391
conventional	ce446	206	59	59	0.9015	ce403,ce415
holistic	he359	207	59	59	0.9114	he289,he290
holistic	he360	207	59	59	2.1812	he296
holistic	he361	207	59	59	1.4264	he314,he265
holistic	he362	151	3	3	-0.0012	he328,he342
conventional	ce447	152	4	4	0.1141	ce341
conventional	ce448	207	59	59	0.665	ce335,ce417
holistic	he363	208	59	59	0.9889	he350,he359
holistic	he364	208	59	59	1.317	he323
holistic	he365	208	59	59	1.5412	he359
conventional	ce449	150	1	1	-0.5694	ce427
holistic	he366	209	59	59	1.7346	he360
holistic	he367	209	59	59	0.4953	he308,he285
holistic	he368	159	9	9	0.1642	he275
