RBT-107 design adversary: power of the directional (one-sided) tests the coordinator asked for, on the design's own
measured null, with its heavy tail kept, and the n each needs.
null rows (seed: A_NB co-evolved, designed) from design_power.txt: 1: +0.380 +0.027, 2: +0.006 +0.225, 3: +1.153 -0.374, 4: +0.125 +0.045, 7: -0.019 -0.108, 801: -0.034 +0.055, 804: -0.082 -0.134, 805: +0.031 +0.198, 806: +0.066 +0.081, 807: +0.000 -0.049
RMS co-evolved 0.388 (no seed 3: 0.139); designed 0.166; paired co - des 0.506 (no seed 3: 0.159); corr(co, des) across seeds -0.66
smoothing bandwidth (co-evolved, designed): 0.036, 0.074; no seed 3: 0.029, 0.064

== DES  null EMPIRICAL  d~240 as measured
   +0.27  30    1.000    1.000    1.000    1.000    1.000
   +0.27  40    1.000    1.000    1.000    1.000    1.000
   +0.35  10    1.000    1.000    0.999    0.966    1.000
   +0.35  15    1.000    1.000    1.000    0.998    1.000
   +0.35  20    1.000    1.000    1.000    1.000    1.000
   +0.35  30    1.000    1.000    1.000    1.000    1.000
   +0.35  40    1.000    1.000    1.000    1.000    1.000

== PAIRED  null GAUSS  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.043    0.035    0.055    0.009    0.021
   +0.00  15    0.049    0.046    0.055    0.017    0.023
   +0.00  20    0.051    0.051    0.059    0.023    0.027
   +0.00  30    0.053    0.050    0.054    0.054    0.026
   +0.00  40    0.049    0.047    0.051    0.033    0.024
   +0.15  10    0.215    0.187    0.213    0.058    0.133
   +0.15  15    0.287    0.275    0.273    0.115    0.190
   +0.15  20    0.360    0.353    0.334    0.168    0.249
   +0.15  30    0.466    0.445    0.430    0.353    0.347
   +0.15  40    0.582    0.553    0.518    0.388    0.451
   +0.20  10    0.312    0.269    0.290    0.089    0.195
   +0.20  15    0.422    0.399    0.386    0.173    0.295
   +0.20  20    0.521    0.499    0.477    0.265    0.389
   +0.20  30    0.673    0.648    0.620    0.515    0.543
   +0.20  40    0.795    0.775    0.742    0.591    0.684
   +0.27  10    0.458    0.415    0.419    0.151    0.330
   +0.27  15    0.622    0.592    0.563    0.304    0.475
   +0.27  20    0.737    0.712    0.672    0.423    0.611
   +0.27  30    0.884    0.869    0.840    0.733    0.795
   +0.27  40    0.946    0.932    0.912    0.803    0.896
   +0.35  10    0.652    0.601    0.582    0.262    0.504
   +0.35  15    0.801    0.775    0.733    0.463    0.690
   +0.35  20    0.898    0.879    0.849    0.614    0.823
   +0.35  30    0.976    0.970    0.955    0.896    0.947
   +0.35  40    0.994    0.993    0.988    0.953    0.986

== CO  null EMPIRICAL  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.025    0.040    0.041    0.011    0.006
   +0.00  15    0.041    0.050    0.045    0.020    0.010
   +0.00  20    0.037    0.045    0.039    0.020    0.012
   +0.00  30    0.047    0.049    0.044    0.049    0.020
   +0.00  40    0.048    0.050    0.046    0.041    0.022
   +0.10  10    0.366    0.600    0.789    0.493    0.250
   +0.10  15    0.380    0.743    0.900    0.780    0.287
   +0.10  20    0.370    0.836    0.941    0.903    0.296
   +0.10  30    0.417    0.933    0.975    0.995    0.305
   +0.10  40    0.513    0.974    0.988    0.999    0.404
   +0.20  10    0.585    0.775    0.918    0.730    0.527
   +0.20  15    0.612    0.893    0.963    0.941    0.489
   +0.20  20    0.732    0.949    0.990    0.988    0.631
   +0.20  30    0.841    0.991    0.999    1.000    0.758
   +0.20  40    0.923    0.998    1.000    1.000    0.871
   +0.30  10    0.670    0.819    0.963    0.734    0.603
   +0.30  15    0.850    0.950    0.994    0.946    0.798
   +0.30  20    0.935    0.984    0.998    0.989    0.889
   +0.30  30    0.984    0.996    0.999    1.000    0.968
   +0.30  40    0.997    1.000    1.000    1.000    0.990

== CO  null EMP-NO3  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.036    0.038    0.047    0.009    0.011
   +0.00  15    0.046    0.045    0.049    0.016    0.018
   +0.00  20    0.047    0.045    0.049    0.018    0.022
   +0.00  30    0.051    0.047    0.049    0.046    0.022
   +0.00  40    0.045    0.040    0.041    0.033    0.018
   +0.10  10    0.641    0.758    0.904    0.643    0.560
   +0.10  15    0.813    0.896    0.979    0.895    0.728
   +0.10  20    0.908    0.962    0.995    0.970    0.842
   +0.10  30    0.970    0.994    0.999    1.000    0.944
   +0.10  40    0.996    0.999    1.000    1.000    0.987
   +0.20  10    0.982    0.961    0.986    0.897    0.946
   +0.20  15    0.999    0.997    0.997    0.992    0.996
   +0.20  20    1.000    1.000    0.999    0.999    0.999
   +0.20  30    1.000    1.000    1.000    1.000    1.000
   +0.20  40    1.000    1.000    1.000    1.000    1.000
   +0.30  10    1.000    1.000    0.998    0.896    0.999
   +0.30  15    1.000    1.000    1.000    0.993    1.000
   +0.30  20    1.000    1.000    1.000    1.000    1.000
   +0.30  30    1.000    1.000    1.000    1.000    1.000
   +0.30  40    1.000    1.000    1.000    1.000    1.000

== CO  null GAUSS  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.049    0.042    0.061    0.013    0.025
   +0.00  15    0.050    0.046    0.054    0.019    0.026
   +0.00  20    0.047    0.049    0.055    0.021    0.024
   +0.00  30    0.049    0.048    0.052    0.049    0.026
   +0.00  40    0.054    0.049    0.052    0.044    0.024
   +0.10  10    0.196    0.166    0.191    0.050    0.114
   +0.10  15    0.235    0.222    0.227    0.090    0.141
   +0.10  20    0.295    0.282    0.275    0.128    0.188
   +0.10  30    0.386    0.372    0.355    0.291    0.262
   +0.10  40    0.478    0.458    0.431    0.320    0.351
   +0.20  10    0.438    0.391    0.398    0.144    0.299
   +0.20  15    0.590    0.563    0.538    0.286    0.451
   +0.20  20    0.714    0.697    0.657    0.403    0.591
   +0.20  30    0.868    0.857    0.834    0.722    0.782
   +0.20  40    0.941    0.932    0.908    0.797    0.891
   +0.30  10    0.732    0.681    0.659    0.319    0.595
   +0.30  15    0.886    0.870    0.834    0.581    0.801
   +0.30  20    0.958    0.951    0.929    0.744    0.915
   +0.30  30    0.994    0.992    0.986    0.951    0.983
   +0.30  40    0.999    0.999    0.997    0.979    0.996

== DES  null EMPIRICAL  scaled to d=800 (x1.83)
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.048    0.041    0.060    0.011    0.023
