population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
conventional	ce271	81	0	23.445195	0	14	7	2.315272	2.045866	13.521618	5.562439	0	0
conventional	ce272	81	0	25.082335	0	14	7	3.172151	1.898545	12.793170	7.218469	0	0
conventional	ce273	81	0	26.233917	0	14	7	4.009260	3.427871	9.967701	8.829085	0	0
holistic	he201	82	4.217909	5.854999	3	3	6	0	2.365595	0	3.489404	0	0
conventional	ce274	82	0	17.069315	0	14	7	5.279069	1.602058	7.543300	2.644888	0	0
conventional	ce275	82	0	31.083488	0	14	7	2.212171	6.764014	14.027896	8.079407	0	0
conventional	ce276	82	0	22.331524	0	14	7	0.359458	3.234057	11.766732	6.971277	0	0
conventional	ce277	82	0	19.678218	0	14	7	3.380672	3.476998	7.776738	5.043810	0	0
holistic	he202	83	0	5.865157	0	6	3	5.767324	0	0	0.097833	0	0
holistic	he203	83	0	1.191108	0	4	7	0	0	1.191108	0	0	0
holistic	he204	83	0	0	0	0	2	0	0	0	0	0	0
holistic	he205	83	0	0	0	0	3	0	0	0	0	0	0
holistic	he206	83	0	0.364764	0	1	6	0	0	0.364764	0	0	0
holistic	he207	83	0	0	0	0	0	0	0	0	0	0	0
holistic	he208	83	0	0	0	0	2	0	0	0	0	0	0
holistic	he209	84	0	0	0	0	0	0	0	0	0	0	0
holistic	he210	84	0	0	0	0	3	0	0	0	0	0	0
holistic	he211	84	0	0	0	0	3	0	0	0	0	0	0
holistic	he212	84	0	0	0	0	14	0	0	0	0	0	0
holistic	he213	84	0	0.864878	0	2	9	0	0	0.864878	0	0	0
holistic	he214	84	0	0	0	0	2	0	0	0	0	0	0
holistic	he215	84	0	0	0	0	12	0	0	0	0	0	0
holistic	he216	84	8.280822	26.877042	6	24	18	0	5.838296	15.118710	5.920036	0	0
conventional	ce278	84	0	24.604302	0	14	7	5.922253	1.136022	10.374634	7.171393	0	0
conventional	ce279	84	0	20.567932	0	14	7	3.890174	1.500037	8.100729	7.076992	0	0
conventional	ce280	84	0	13.687694	0	14	7	0.820786	3.239729	6.902485	2.724694	0	0
conventional	ce281	84	0	12.482207	0	14	7	2.041808	4.004542	4.040107	2.395750	0	0
conventional	ce282	84	0	27.247316	0	14	7	3.681203	6.389344	6.637498	10.539271	0	0
conventional	ce283	84	0	18.963207	0	14	7	2.304274	2.912960	7.016614	6.729359	0	0
holistic	he217	85	0	0	0	0	3	0	0	0	0	0.988449	0
