generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
57	950375215		0.615556	0.343283	0.835533	6	15.340000	0.682756	0.529973	0.618601	5	15.337000				
58	186194703		0.764971	0.227945	0.613625	6	15.340000	0.868359	0.361012	0.077485	5	15.337000				
59	906793277		0.684401	0.307840	1.085422	6	15.340000	0.708022	0.441877	0.438514	5	15.337000				
60	743409632		0.585493	0.252917	0.876193	6	15.340000	0.942913	0.463024	0.074360	5	15.337000	0.354841	12	38	50
61	1214658894		0.698819	0.323779	0.791444	6	15.340000	1.000000	0.459919	1.320013	5	15.337000				
62	1431473432		0.583879	0.332530	1.310841	6	15.340000	0.917426	0.508990	0.138091	5	15.337000				
63	1270164205		0.756194	0.339114	0.644789	6	15.340000	0.770163	0.364698	0.399503	5	15.337000				
64	2121042962		0.758693	0.323439	0.745765	6	15.340000	0.941805	0.453266	0.028694	5	15.337000				
65	21649048		0.574610	0.293146	2.016581	6	15.340000	0.851248	0.473931	0.074375	5	15.337000	0.160688	2	48	50
66	1737718689		0.513643	0.484631	1.976061	6	15.340000	0.955561	0.350579	0.021377	5	15.337000				
67	1488132412		0.813177	0.533405	0.589594	6	15.340000	0.878364	0.475868	0.074825	5	15.337000				
68	917552916		0.793078	0.558810	0.518127	6	15.340000	0.943598	0.496102	0.088634	5	15.337000				
69	1029904083		0.717160	0.476315	1.781093	6	15.340000	0.864939	0.432096	0.292632	5	15.337000				
70	102446510		0.727969	0.510472	1.405908	6	15.340000	0.946067	0.465172	0.072974	5	15.337000	0.210107	1	49	50
71	1241450885		0.635394	0.437028	2.386450	6	15.340000	0.906271	0.496871	0.090742	5	15.337000				
72	1602429775		0.604248	0.463423	1.893324	6	15.340000	0.998478	0.419202	0.019789	5	15.337000				
73	882833046		0.508926	0.472613	1.824195	6	15.340000	0.861420	0.545113	0.212146	5	15.337000				
74	1346639778		0.806313	0.652836	1.829553	6	15.340000	0.659974	0.505281	0.671447	5	15.337000				
75	20906486		0.513345	0.465913	1.734427	6	15.340000	1.000000	0.517810	0.796489	5	15.337000	0.374500	5	45	50
76	1161689618		0.746980	0.462971	1.734427	6	15.340000	0.918907	0.314858	0.081839	5	15.337000				
77	753459967		0.603659	0.453614	1.734427	6	15.340000	0.837940	0.489278	0.167067	5	15.337000				
78	1425664539		0.580635	0.458501	1.252695	6	15.340000	0.671399	0.393231	0.143712	5	15.337000				
