season	population	sizes	names_in_groups_below_modal
0	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
0	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
1	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,2	h0-18,h0-17
1	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
2	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,2	h0-44,h0-9
2	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
3	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
3	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
4	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
4	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
5	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,1	h0-8
5	conventional	4,4,4,4,4,4,4,4,4,4,4,4,2	c0-53,c0-32
6	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4	
6	conventional	4,4,4,4,4,4,4,4,4,3	c0-33,c0-51,c0-20
7	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,1	h0-7
7	conventional	4,4,4,4,4,4,4,4,1	c0-17
8	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4	
8	conventional	4,4,4,4,4,4,4,1	c0-57
9	holistic	4,4,4,4,4,4,4,4,4,4,4,4,1	h0-49
9	conventional	4,4,4,4,4,2	c0-8,ce80
10	holistic	4,4,4,4,4,4,4,4,4,4,4,4,1	h0-58
10	conventional	4,4,4,4,4,2	c0-27,ce89
11	holistic	4,4,4,4,4,4,4,4,4,4,4	
11	conventional	4,4,4,4,2	c0-57,c0-6
12	holistic	4,4,1	h0-28
12	conventional	4,4,4,3	ce96,c0-9,c0-26
13	holistic	4,4	
13	conventional	4,4,4	
14	holistic	4,4,1	h0-28
14	conventional	4,4,3	c0-57,ce99,c0-54
15	holistic	4,3	
15	conventional	4,4,2	ce92,c0-54
16	holistic	4,3	
16	conventional	4,4,1	ce89
17	holistic	4,3	
17	conventional	4,4,1	ce103
18	holistic	4,2	
18	conventional	4,4,2	ce61,ce105
19	holistic	4,1	
19	conventional	4,4,4	
20	holistic	4,1	
20	conventional	4,4,2	ce89,ce107
21	holistic	4,1	
21	conventional	4,4	
22	holistic	4	
22	conventional	4,4	
23	holistic	4	
23	conventional	4,4,4	
24	holistic	4	
24	conventional	4,4,4	
25	holistic	4,1	
25	conventional	4,4,2	ce105,ce111
26	holistic	3	
26	conventional	4,4,2	ce89,ce97
27	holistic	3	
27	conventional	4,4,1	ce106
28	holistic	3	
28	conventional	4,4,1	ce97
29	holistic	2	
29	conventional	4,2	
30	holistic	2	
30	conventional	4,1	
31	holistic	2	
31	conventional	4,1	
32	holistic	2	
32	conventional	3	
33	holistic	2	
33	conventional	4	
34	holistic	2	
34	conventional	4	
35	holistic	1	
35	conventional	4,2	
36	holistic	2	
36	conventional	4,4	
37	holistic	3	
37	conventional	4,3	
38	holistic	4	
38	conventional	4,4	
39	holistic	4	
39	conventional	4,3	
40	holistic	2	
40	conventional	4,3	
41	holistic	1	
41	conventional	4,3	
42	holistic	1	
42	conventional	4,2	
43	holistic	1	
43	conventional	4,3	
44	holistic	2	
44	conventional	4,3	
45	holistic	3	
45	conventional	4,1	
46	holistic	3	
46	conventional	4	
47	holistic	4	
47	conventional	4	
48	holistic	4	
48	conventional	4,1	
49	holistic	4	
49	conventional	4,1	
50	holistic	4	
50	conventional	4,2	
51	holistic	4,2	
51	conventional	4,2	
52	holistic	4,2	
52	conventional	4,2	
53	holistic	4,4	
53	conventional	4,2	
54	holistic	4,4,1	he82
54	conventional	4,1	
55	holistic	4,4,3	he83,he85,he81
55	conventional	4	
56	holistic	4,4,1	he70
56	conventional	4,1	
57	holistic	4,4,1	he77
57	conventional	4,2	
58	holistic	4,4	
58	conventional	4,1	
59	holistic	4,3	
59	conventional	4,1	
