generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	1060457471		0.537182	0.487005	2.009532	2	15.340000	0.991400	0.399852	0.046421	5	15.337000	0.387519	14	36	50
1	205314379		0.523570	0.495963	1.828602	2	15.340000	0.705397	0.354597	0.361797	5	15.337000				
2	555074330		0.578503	0.467952	2.000000	1	13.500000	1.000000	0.418097	1.002891	5	15.337000				
3	2137071901		0.556517	0.504513	1.593780	2	15.340000	1.000000	0.375883	4.230950	5	15.337000				
4	1269938626		0.503443	0.441423	1.593551	2	15.340000	0.989218	0.583142	0.255813	5	15.337000				
5	118666479		0.546268	0.445761	1.323812	2	15.340000	0.832226	0.437312	0.405640	5	15.337000	0.388318	18	32	50
6	93283740		0.542925	0.404612	1.323812	2	15.340000	0.915199	0.327523	0.134951	5	15.337000				
7	309750140		0.501774	0.422030	1.323821	2	15.340000	0.925314	0.365474	0.117262	5	15.337000				
8	1627334457		0.545758	0.449075	1.333291	2	15.340000	0.755194	0.375019	0.227941	5	15.337000				
9	1195044209		0.533023	0.432968	1.333323	2	15.340000	0.583990	0.344222	0.369156	5	15.337000				
10	1328214765		0.559832	0.442610	1.048136	2	15.340000	0.724432	0.400067	0.215026	5	15.337000	0.371803	12	38	50
11	1782209852		0.574577	0.375052	1.189910	2	15.340000	0.955229	0.555179	0.105585	5	15.337000				
12	766172909		0.573707	0.424829	0.884169	2	15.340000	0.785579	0.482439	0.304917	5	15.337000				
13	1462065297		0.549441	0.486465	1.323182	2	15.340000	0.851896	0.495705	0.243782	5	15.337000				
14	608543748		0.521889	0.453736	1.282679	2	15.340000	1.000000	0.656802	1.542674	5	15.337000				
15	87726840		0.557659	0.461567	1.049739	2	15.340000	0.885628	0.502260	0.891248	5	15.337000	0.450929	15	35	50
16	1079553253		0.821997	0.398426	0.227309	2	15.340000	0.819059	0.395347	0.258089	5	15.337000				
17	954217077		0.766690	0.467629	1.132662	2	15.340000	0.887563	0.395490	0.122481	5	15.337000				
18	26532665		0.582516	0.414391	0.783841	2	15.340000	1.000000	0.573058	0.934242	5	15.337000				
19	612066895		0.673219	0.465672	0.908220	2	15.340000	0.936440	0.401372	0.031617	5	15.337000				
20	1765453164		0.567944	0.391708	0.906433	2	15.340000	0.713088	0.384844	0.524172	5	15.337000	0.325324	5	45	50
21	261955361		0.726203	0.434316	0.587435	2	15.340000	0.923854	0.413267	0.119180	5	15.337000				
22	650224613		0.615726	0.354656	0.608989	2	15.340000	0.827149	0.459785	0.182322	5	15.337000				
23	515190408		0.725344	0.386973	0.588220	2	15.340000	1.000000	0.543626	1.504592	5	15.337000				
24	73356912		0.716561	0.298902	0.597313	2	15.340000	0.885233	0.513123	0.173446	5	15.337000				
25	1706906037		0.587019	0.456221	1.166592	2	15.340000	0.774990	0.503424	0.428102	5	15.337000	0.335509	9	41	50
26	1518673436		0.690567	0.441728	0.522733	2	15.340000	0.851580	0.547035	0.101219	5	15.337000				
27	1891663659		0.595169	0.452875	1.136605	2	15.340000	0.749548	0.453957	0.394787	5	15.337000				
28	1605506918		0.652951	0.398502	0.546062	2	15.340000	0.882887	0.514608	0.074418	5	15.337000				
29	1922009621		0.791312	0.460562	0.524955	2	15.340000	0.774799	0.427692	0.104161	5	15.337000				
