generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
57	950375215		0.642236	0.450659	1.927424	14	15.340000	0.682756	0.529973	0.618601	5	15.337000				
58	186194703		0.730136	0.504938	0.718989	14	15.340000	0.868359	0.361012	0.077485	5	15.337000				
59	906793277		0.689217	0.456923	0.452533	16	15.340000	0.708022	0.441877	0.438514	5	15.337000				
60	743409632		0.572200	0.375431	2.070068	14	15.340000	0.942913	0.463024	0.074360	5	15.337000	0.265181	1	49	50
61	1214658894		0.626828	0.537249	1.450716	16	15.340000	1.000000	0.459919	1.320013	5	15.337000				
62	1431473432		0.611461	0.477256	1.533999	16	15.340000	0.917426	0.508990	0.138091	5	15.337000				
63	1270164205		0.685370	0.507688	1.999617	16	15.340000	0.770163	0.364698	0.399503	5	15.337000				
64	2121042962		0.587820	0.498816	1.240122	14	15.340000	0.941805	0.453266	0.028694	5	15.337000				
65	21649048		0.644015	0.376169	1.250136	14	15.340000	0.851248	0.473931	0.074375	5	15.337000	0.173056	1	49	50
66	1737718689		0.556730	0.395983	1.239231	14	15.340000	0.955561	0.350579	0.021377	5	15.337000				
67	1488132412		0.568522	0.400198	1.225332	14	15.340000	0.878364	0.475868	0.074825	5	15.337000				
68	917552916		0.789654	0.419405	1.232514	14	15.340000	0.943598	0.496102	0.088634	5	15.337000				
69	1029904083		0.543140	0.364186	1.244523	14	15.340000	0.864939	0.432096	0.292632	5	15.337000				
70	102446510		0.756122	0.368332	1.235790	14	15.340000	0.946067	0.465172	0.072974	5	15.337000	0.191565	1	49	50
71	1241450885		0.588779	0.399537	1.251157	14	15.340000	0.906271	0.496871	0.090742	5	15.337000				
72	1602429775		0.532104	0.384426	1.246600	14	15.340000	0.998478	0.419202	0.019789	5	15.337000				
73	882833046		0.556793	0.419622	1.524754	14	15.340000	0.861420	0.545113	0.212146	5	15.337000				
74	1346639778		0.631032	0.411506	1.227880	14	15.340000	0.659974	0.505281	0.671447	5	15.337000				
75	20906486		0.623716	0.395638	1.239492	14	15.340000	1.000000	0.517810	0.796489	5	15.337000	0.449315	13	37	50
76	1161689618		0.575300	0.402664	1.247687	14	15.340000	0.918907	0.314858	0.081839	5	15.337000				
77	753459967		0.731294	0.397711	1.245909	14	15.340000	0.837940	0.489278	0.167067	5	15.337000				
78	1425664539		0.622839	0.411160	1.244660	14	15.340000	0.671399	0.393231	0.143712	5	15.337000				
79	1867833078		0.639978	0.407207	0.701346	14	15.340000	0.856630	0.378250	0.106545	5	15.337000				
80	1248239222		0.715807	0.388178	1.756064	14	15.340000	0.941990	0.450160	0.089976	5	15.337000	0.323302	10	40	50
81	567434790		0.603064	0.307068	0.821532	14	15.340000	0.859840	0.551420	0.148751	5	15.337000				
82	671227166		0.815234	0.214411	0.286451	14	15.340000	0.917964	0.525381	0.099464	5	15.337000				
83	728557871		0.667811	0.318747	1.294648	14	15.340000	0.637177	0.482281	0.568939	5	15.337000				
84	784844802		0.618885	0.311302	1.230283	14	15.340000	0.850284	0.447925	0.197944	5	15.337000				
85	1199883724		0.730656	0.318451	0.717286	14	15.340000	1.000000	0.490498	3.365522	5	15.337000	0.459224	19	31	50
86	2008576083		0.614420	0.294989	0.779560	14	15.340000	0.983090	0.714885	0.072594	5	15.337000				
87	891059341		0.553613	0.226771	1.057854	14	15.340000	0.857548	0.422862	0.511429	5	15.337000				
88	1585922369		0.536993	0.250696	1.063262	14	15.340000	0.791430	0.389434	0.131320	5	15.337000				
89	2134035813		0.649329	0.303672	0.665973	14	15.340000	0.945062	0.469502	0.031244	5	15.337000				
90	1800583605		0.665532	0.374630	0.926227	14	15.340000	0.881581	0.422839	0.066781	5	15.337000	0.264108	5	45	50
91	291612303		0.620468	0.428417	0.848393	14	15.340000	0.944853	0.357373	0.072819	5	15.337000				
92	1496073522		0.602690	0.483578	1.452128	14	15.340000	0.920425	0.552200	0.103408	5	15.337000				
93	1993267751		0.571302	0.407107	1.233166	14	15.340000	0.986080	0.328359	0.018497	5	15.337000				
94	522840927		0.537707	0.424823	1.230503	16	15.340000	0.924849	0.430386	0.100730	5	15.337000				
95	391955161		0.593449	0.414522	1.977751	14	15.340000	0.899792	0.400241	0.171713	5	15.337000	0.256386	2	48	50
96	890303169		0.570707	0.492734	1.495130	16	15.340000	0.912891	0.495993	0.126532	5	15.337000				
97	850531942		0.542212	0.399360	1.378592	16	15.340000	0.846450	0.516849	0.093849	5	15.337000				
98	951008721		0.586739	0.450109	0.966724	14	15.340000	0.903072	0.456190	0.280419	5	15.337000				
99	1512780978		0.573011	0.480815	1.721340	14	15.340000	0.927575	0.350770	0.060627	5	15.337000				
100	11093767		0.530673	0.472583	1.721341	14	15.340000	1.000000	0.507264	0.730418	5	15.337000	0.402947	13	37	50
101	1839730027		0.504828	0.460629	1.721341	14	15.340000	0.971116	0.433138	0.584489	5	15.337000				
102	626593378		0.590883	0.478068	1.191824	14	15.340000	0.945921	0.576048	0.053446	5	15.337000				
103	1129708540		0.620085	0.492770	2.073847	14	15.340000	0.770022	0.383751	0.315551	5	15.337000				
104	923247043		0.618700	0.508505	1.278108	14	15.340000	0.811980	0.307295	1.530466	5	15.337000				
105	699298704		0.701582	0.530346	0.908834	14	15.340000	0.855951	0.536882	0.196849	5	15.337000	0.329461	6	44	50
106	1141703801		0.554035	0.462699	1.568990	14	15.340000	0.897917	0.545134	0.150602	5	15.337000				
107	453778677		0.599970	0.481338	1.764684	14	15.340000	0.801785	0.517384	0.284486	5	15.337000				
108	559778421		0.522270	0.485830	1.985874	2	15.340000	0.837184	0.385926	0.070505	5	15.337000				
109	1684731720		0.634811	0.505363	1.142420	4	15.340000	0.918455	0.519892	0.087325	5	15.337000				
110	937766115		0.594615	0.472099	1.309632	4	15.340000	0.985624	0.474537	0.134816	5	15.337000	0.274174	3	47	50
111	1586429641		0.689922	0.476136	0.513518	14	15.340000	1.000000	0.608055	0.773924	5	15.337000				
112	1339766692		0.638753	0.431455	1.130639	14	15.340000	0.601244	0.372498	0.789606	5	15.337000				
113	850682108		0.715797	0.493436	1.223563	14	15.340000	0.889780	0.413446	0.141905	5	15.337000				
114	561231389		0.730326	0.555400	1.943069	2	15.340000	0.880270	0.542742	0.163872	5	15.337000				
115	781182374		0.618868	0.502557	1.196645	2	15.340000	1.000000	0.565228	0.201075	5	15.337000	0.428292	15	35	50
116	1806798142		0.919935	0.246357	0.365670	2	15.340000	0.821526	0.499874	0.154384	5	15.337000				
117	532025507		0.825333	0.357138	0.210637	2	15.340000	0.898738	0.417191	0.129336	5	15.337000				
118	905798530		0.801020	0.222960	0.104219	2	15.340000	0.685529	0.390833	0.162145	5	15.337000				
119	2083557088		0.759704	0.340680	0.633102	2	15.340000	0.676493	0.527141	0.622124	5	15.337000				
120	1548807259		0.637809	0.278991	1.022404	2	15.340000	0.983306	0.513146	0.544070	5	15.337000	0.430453	15	35	50
121	202812595		0.698895	0.254210	0.283629	3	15.340000	0.831888	0.535922	1.043014	5	15.337000				
122	1427130438		0.431905	0.253159	0.605593	2	15.340000	1.000000	0.514610	0.763269	5	15.337000				
123	1000859187		0.799049	0.346169	0.326895	2	15.340000	0.931584	0.529896	0.087898	5	15.337000				
124	367443432		0.718582	0.383272	0.555770	2	15.340000	0.832690	0.461006	0.239555	5	15.337000				
125	788264185		0.801020	0.181023	0.104219	2	15.340000	0.920116	0.449060	0.040616	5	15.337000	0.492116	4	46	50
126	1357457393		0.654194	0.299304	1.029174	2	15.340000	0.861976	0.293370	0.119220	5	15.337000				
127	177579293		0.699103	0.241175	0.246938	2	15.340000	0.803989	0.407490	0.114848	5	15.337000				
128	425325362		0.654903	0.384666	0.596348	2	15.340000	0.730733	0.421672	0.387041	5	15.337000				
129	2054140832		0.892790	0.266691	0.215421	2	15.340000	0.760675	0.508595	1.647418	5	15.337000				
130	19395513		0.559205	0.217151	0.423996	2	15.340000	0.974061	0.572442	0.308517	5	15.337000	0.627578	35	15	50
131	1977898165		0.586135	0.420289	1.170302	2	15.340000	0.713285	0.518812	1.184501	5	15.337000				
132	551383780		0.801020	0.180485	0.104219	2	15.340000	0.906329	0.534074	0.045048	5	15.337000				
133	1498253456		0.892879	0.311541	0.264896	2	15.340000	0.668568	0.527800	0.215400	5	15.337000				
134	469213791		0.801020	0.351156	0.104219	2	15.340000	0.715553	0.420217	0.265068	5	15.337000				
135	191940732		0.647247	0.363529	0.715802	2	15.340000	0.585173	0.486919	0.759283	5	15.337000	0.585149	33	17	50
136	557873792		0.793551	0.330227	0.204037	2	15.340000	0.919710	0.489283	0.065311	5	15.337000				
137	1502494116		0.846008	0.176469	0.313656	2	15.340000	0.747289	0.410325	0.127407	5	15.337000				
138	1578853134		0.807368	0.278680	0.474511	2	15.340000	0.819642	0.488774	0.146970	5	15.337000				
139	1865870159		0.685957	0.315947	0.398000	2	15.340000	0.777284	0.384490	0.391118	5	15.337000				
140	874497531		0.921360	0.297123	0.057220	2	15.340000	0.927224	0.360471	0.382401	5	15.337000	0.616884	28	22	50
141	2037701185		0.835456	0.331082	0.262919	2	15.340000	0.950395	0.455808	0.070141	5	15.337000				
142	1808805943		0.693168	0.228284	0.254404	2	15.340000	0.797114	0.473706	0.336188	5	15.337000				
143	1827206037		0.716740	0.307387	0.558144	2	15.340000	1.000000	0.618857	2.288756	5	15.337000				
144	1868464916		0.851053	0.362651	0.229316	2	15.340000	0.759751	0.605242	0.499938	5	15.337000				
145	474619466		0.652839	0.198107	0.377697	2	15.340000	0.882565	0.361359	0.190228	5	15.337000	0.485639	14	36	50
146	1080444008		0.834143	0.262975	0.239109	2	15.340000	0.935591	0.567009	0.049215	5	15.337000				
147	160052064		0.809137	0.260054	0.090657	2	15.340000	0.788254	0.525098	0.134375	5	15.337000				
148	1042709980		0.740292	0.344360	0.230085	2	15.340000	0.825888	0.468328	1.465592	5	15.337000				
149	929875243		0.742206	0.239850	0.110769	2	15.340000	0.841905	0.524895	0.481957	5	15.337000				
150	1255575434		0.588900	0.315850	0.424151	2	15.340000	0.853557	0.502305	0.379935	5	15.337000	0.443675	17	33	50
