generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	518894301		0.598560	0.499407	1.341350	2	15.203000	0.842285	0.462177	0.842496	5	15.337000	0.378860	15	35	50
1	1498611935		0.542460	0.424467	1.428196	2	15.203000	0.740114	0.363577	0.485169	5	15.337000				
2	1629296439		0.596440	0.445223	1.362628	2	15.203000	0.772005	0.455076	0.371969	5	15.337000				
3	528677420		0.561530	0.450595	1.814473	6	15.340000	0.803136	0.367344	0.125972	5	15.337000				
4	1997588265		0.503926	0.473633	1.816069	6	15.340000	0.938262	0.395627	0.060529	5	15.337000				
5	441334053		0.518889	0.480600	1.683536	2	15.203000	0.936479	0.404728	0.064549	5	15.337000	0.213549	2	48	50
6	170380350		0.517218	0.463376	1.687850	2	15.203000	0.759891	0.508881	0.200278	5	15.337000				
7	453846246		0.511072	0.459457	1.680864	2	15.203000	0.763933	0.400359	0.100075	5	15.337000				
8	118734555		0.509504	0.461615	1.695874	2	15.203000	0.663374	0.409496	0.248345	5	15.337000				
9	1401105964		0.538219	0.464979	1.440603	2	15.203000	0.875707	0.571887	0.307583	5	15.337000				
10	569976015		0.549800	0.488482	1.702324	2	15.203000	0.922383	0.540387	0.098559	5	15.337000	0.255019	2	48	50
11	1687360053		0.516782	0.464804	1.727732	2	15.203000	0.821953	0.433758	0.168226	5	15.337000				
12	394174095		0.513679	0.468627	1.806675	2	15.203000	0.957365	0.326171	0.022990	5	15.337000				
13	455195882		0.512332	0.465285	1.701082	2	15.203000	0.837917	0.628398	0.344860	5	15.337000				
14	360445592		0.535659	0.480984	1.753099	6	15.340000	0.734607	0.353332	0.127008	5	15.337000				
15	1590398881		0.510014	0.474628	1.711678	6	15.340000	0.819547	0.473756	0.164025	5	15.337000	0.300560	2	48	50
16	2133822115		0.528576	0.486228	1.597984	6	15.340000	0.894763	0.389983	0.150706	5	15.337000				
17	1788612230		0.743529	0.470162	0.538599	3	15.340000	0.841481	0.428973	0.285787	5	15.337000				
18	1671690210		0.782507	0.567361	0.855556	6	15.340000	0.873611	0.365315	0.206781	5	15.337000				
19	658412622		0.588176	0.473846	1.121580	6	15.340000	0.849605	0.448012	0.238160	5	15.337000				
20	1973999907		0.557767	0.465167	1.234910	6	15.340000	0.952061	0.390064	1.128447	5	15.337000	0.376726	7	43	50
21	1199747259		0.583235	0.392929	1.232261	6	15.340000	0.879141	0.471773	0.184304	5	15.337000				
22	5275215		0.648880	0.408220	0.925817	6	15.340000	0.890115	0.545456	0.096602	5	15.337000				
23	526924971		0.518549	0.405845	1.818752	8	15.340000	1.000000	0.497195	0.146407	5	15.337000				
24	575919629		0.524691	0.472895	1.818751	8	15.340000	0.928295	0.456514	0.065793	5	15.337000				
25	644843250		0.570342	0.493443	1.370130	10	15.340000	0.879004	0.540829	0.083755	5	15.337000	0.368429	4	46	50
26	1748135036		0.509279	0.406989	1.371827	10	15.340000	0.891677	0.508481	3.600449	5	15.337000				
27	974092602		0.520921	0.426727	1.505550	6	15.340000	0.716236	0.564708	0.667986	5	15.337000				
28	980963436		0.671284	0.495724	1.837445	6	15.340000	1.000000	0.512983	1.454250	5	15.337000				
29	112581847		0.549737	0.447486	1.371287	2	14.736000	0.861442	0.438456	0.219050	5	15.337000				
30	1681196923		0.700260	0.462592	1.736120	6	15.340000	0.859105	0.397285	0.156624	5	15.337000	0.400095	10	40	50
31	1579076590		0.629092	0.478741	1.736120	6	15.340000	0.864832	0.390599	0.250626	5	15.337000				
32	516884304		0.545450	0.473057	1.446794	8	15.340000	0.652118	0.469410	0.358141	5	15.337000				
33	1657625162		0.578437	0.478836	1.621811	6	15.340000	0.795065	0.489429	0.202325	5	15.337000				
34	934382430		0.578516	0.458499	1.621811	6	15.340000	0.931448	0.458657	0.033519	5	15.337000				
35	885020813		0.516840	0.462962	1.516125	6	15.340000	0.722888	0.420566	0.251436	5	15.337000	0.215508	0	50	50
36	507249733		0.591245	0.460346	1.066871	6	15.340000	0.856411	0.448449	0.083078	5	15.337000				
37	315708495		0.600682	0.512414	1.715955	6	15.340000	0.514607	0.479583	1.262178	5	15.337000				
38	1901535584		0.537077	0.478392	1.708845	6	15.340000	0.708863	0.525009	0.351860	5	15.337000				
