population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-0	-50	0	0	0	0	9	0	0	0	0	0	0
holistic	h0-1	-45	6.711352	25.785340	8	36	4	25.785340	0	0	0	0	0
holistic	h0-2	-21	0	0	0	0	2	0	0	0	0	0	0.155729
holistic	h0-3	-42	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-4	-8	2.528604	9.075988	4	8	5	0	0	0	9.075988	0	0
holistic	h0-5	-11	0	0	0	0	1	0	0	0	0	4.782090	0
holistic	h0-6	-39	0	0	0	0	0	0	0	0	0	0.229659	0.537713
holistic	h0-7	-10	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-8	-38	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-9	-26	0.335646	88.879570	3	78	9	51.258816	0	0	37.620754	0	0
holistic	h0-10	-18	0	2.093176	0	32	18	0.153880	0	1.939296	0	0.335422	0
holistic	h0-11	-1	1.544307	28.569528	3	36	8	0	7.558497	0	21.011031	0	0
holistic	h0-12	-52	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-13	-22	0	0	0	0	1	0	0	0	0	1.595096	0
holistic	h0-14	-9	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-15	-10	0	0.166736	0	2	1	0	0.166736	0	0	0	0
holistic	h0-17	-52	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-18	-6	2.466964	25.530082	6	34	8	0	2.855510	22.674572	0	0	0
holistic	h0-19	-51	0	0	0	0	0	0	0	0	0	1.860088	0
holistic	h0-20	-1	8.870508	30.990774	6	41	11	7.860696	7.347027	0	15.783051	1.359654	0
holistic	h0-21	-16	1.151248	7.275223	2	6	3	0.997891	2.890877	0	3.386455	0	0
holistic	h0-22	-46	0.849973	0.849973	1	1	2	0	0.849973	0	0	0	1.027237
holistic	h0-23	-49	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-24	-35	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-25	-37	0	48.804880	0	36	6	0	0	48.804880	0	1.372908	0
holistic	h0-26	-16	2.818730	2.818730	2	2	6	0	0	2.818730	0	0	0
holistic	h0-27	-38	0	0	0	0	1	0	0	0	0	0	19.431576
holistic	h0-28	-21	0	3.614196	0	6	3	0	3.614196	0	0	0	0
holistic	h0-29	-13	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-30	-22	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-31	-56	0	0	0	0	3	0	0	0	0	1.726069	0
holistic	h0-32	-42	1.717111	1.883620	2	4	6	0.282022	0	1.601598	0	0	0
holistic	h0-33	-29	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-34	-55	4.038589	4.131134	3	3	6	0	0	4.131134	0	0.362470	0
holistic	h0-35	-5	1.337875	1.610631	1	1	5	0	0	1.610631	0	0	0
