# RBT-106 null genealogy: seed 804, founders w = 1, K = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-804, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 10/40/21 | 11/48/11 | False |
| 1 | 25/40/21 H | 8/48/11 | False |
| 2 | 9/40/21 | 5/48/11 | False |
| 3 | 20/40/21 | 12/48/11 H | False |
| 4 | 8/40/21 | 1/48/11 | False |
| 5 | 23/40/21 H | 9/48/11 | False |
| 6 | 11/40/21 | 18/48/11 H | False |
| 7 | 7/40/21 | 0/48/11 | False |
| 8 | 19/40/21 | 5/48/11 | False |
| 9 | 20/40/21 | 0/48/11 | False |
| 10 | 25/40/21 H | 20/48/11 H | True |
| 11 | 23/40/21 H | 6/48/11 | False |
| 12 | 13/40/21 | 0/48/11 | False |
| 13 | 30/40/21 H | 5/48/11 | False |
| 14 | 20/40/21 | 13/48/11 H | False |
| 15 | 20/40/21 | 7/48/11 | False |
| 16 | 20/40/21 | 5/48/11 | False |
| 17 | 23/40/21 H | 11/48/11 | False |
| 18 | 12/40/21 | 9/48/11 | False |
| 19 | 20/40/21 | 0/48/11 | False |

HELD at season 300: 6/20, HELD at season 599: 4/20
NULL seed 804 w 1 K 1: HELD at every window season in 1 of 20 replicates
