# RBT-106 null genealogy: seed 801, founders w = 32, K = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-801, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 1/37/4 | 0/11/1 | False |
| 1 | 6/37/4 H | 0/11/1 | False |
| 2 | 4/37/4 | 0/11/1 | False |
| 3 | 12/37/4 H | 0/11/1 | False |
| 4 | 5/37/4 H | 0/11/1 | False |
| 5 | 0/37/4 | 0/11/1 | False |
| 6 | 1/37/4 | 0/11/1 | False |
| 7 | 0/37/4 | 0/11/1 | False |
| 8 | 0/37/4 | 0/11/1 | False |
| 9 | 8/37/4 H | 0/11/1 | False |
| 10 | 2/37/4 | 0/11/1 | False |
| 11 | 0/37/4 | 0/11/1 | False |
| 12 | 8/37/4 H | 0/11/1 | False |
| 13 | 1/37/4 | 0/11/1 | False |
| 14 | 0/37/4 | 0/11/1 | False |
| 15 | 0/37/4 | 0/11/1 | False |
| 16 | 0/37/4 | 0/11/1 | False |
| 17 | 0/37/4 | 0/11/1 | False |
| 18 | 3/37/4 | 4/11/1 H | False |
| 19 | 1/37/4 | 0/11/1 | False |

HELD at season 300: 5/20, HELD at season 599: 1/20
NULL seed 801 w 32 K 1: HELD at every window season in 0 of 20 replicates
