# RBT-106 null genealogy: seed 1, founders w = 1, K = 8, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-1, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 6/42/6 | 0/55/3 | False |
| 1 | 6/42/6 | 0/55/3 | False |
| 2 | 1/42/6 | 0/55/3 | False |
| 3 | 2/42/6 | 0/55/3 | False |
| 4 | 3/42/6 | 0/55/3 | False |
| 5 | 7/42/6 H | 12/55/3 H | True |
| 6 | 3/42/6 | 0/55/3 | False |
| 7 | 15/42/6 H | 3/55/3 | False |
| 8 | 13/42/6 H | 0/55/3 | False |
| 9 | 2/42/6 | 0/55/3 | False |
| 10 | 5/42/6 | 0/55/3 | False |
| 11 | 1/42/6 | 0/55/3 | False |
| 12 | 0/42/6 | 0/55/3 | False |
| 13 | 4/42/6 | 0/55/3 | False |
| 14 | 4/42/6 | 0/55/3 | False |
| 15 | 7/42/6 H | 18/55/3 H | True |
| 16 | 7/42/6 H | 1/55/3 | False |
| 17 | 15/42/6 H | 0/55/3 | False |
| 18 | 11/42/6 H | 0/55/3 | False |
| 19 | 4/42/6 | 0/55/3 | False |

HELD at season 300: 7/20, HELD at season 599: 2/20
NULL seed 1 w 1 K 8: HELD at every window season in 2 of 20 replicates
