# RBT-106 null genealogy: seed 804, founders w = 32, K = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-804, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 2/40/4 | 0/48/1 | False |
| 1 | 2/40/4 | 0/48/1 | False |
| 2 | 0/40/4 | 0/48/1 | False |
| 3 | 0/40/4 | 1/48/1 | False |
| 4 | 4/40/4 | 2/48/1 H | False |
| 5 | 1/40/4 | 0/48/1 | False |
| 6 | 2/40/4 | 0/48/1 | False |
| 7 | 0/40/4 | 0/48/1 | False |
| 8 | 0/40/4 | 0/48/1 | False |
| 9 | 1/40/4 | 0/48/1 | False |
| 10 | 2/40/4 | 0/48/1 | False |
| 11 | 0/40/4 | 0/48/1 | False |
| 12 | 0/40/4 | 0/48/1 | False |
| 13 | 11/40/4 H | 5/48/1 H | True |
| 14 | 0/40/4 | 0/48/1 | False |
| 15 | 2/40/4 | 0/48/1 | False |
| 16 | 0/40/4 | 0/48/1 | False |
| 17 | 2/40/4 | 0/48/1 | False |
| 18 | 0/40/4 | 0/48/1 | False |
| 19 | 0/40/4 | 0/48/1 | False |

HELD at season 300: 1/20, HELD at season 599: 2/20
NULL seed 804 w 32 K 1: HELD at every window season in 1 of 20 replicates
