# RBT-106 null genealogy: seed 804, founders w = 1, K = 8, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-804, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 0/40/6 | 0/48/3 | False |
| 1 | 7/40/6 H | 0/48/3 | False |
| 2 | 0/40/6 | 0/48/3 | False |
| 3 | 2/40/6 | 0/48/3 | False |
| 4 | 0/40/6 | 0/48/3 | False |
| 5 | 4/40/6 | 1/48/3 | False |
| 6 | 0/40/6 | 0/48/3 | False |
| 7 | 0/40/6 | 0/48/3 | False |
| 8 | 4/40/6 | 3/48/3 | False |
| 9 | 3/40/6 | 0/48/3 | False |
| 10 | 18/40/6 H | 0/48/3 | False |
| 11 | 0/40/6 | 1/48/3 | False |
| 12 | 3/40/6 | 0/48/3 | False |
| 13 | 0/40/6 | 0/48/3 | False |
| 14 | 5/40/6 | 0/48/3 | False |
| 15 | 5/40/6 | 3/48/3 | False |
| 16 | 2/40/6 | 0/48/3 | False |
| 17 | 4/40/6 | 1/48/3 | False |
| 18 | 4/40/6 | 1/48/3 | False |
| 19 | 5/40/6 | 0/48/3 | False |

HELD at season 300: 2/20, HELD at season 599: 0/20
NULL seed 804 w 1 K 8: HELD at every window season in 0 of 20 replicates
