# RBT-106 null genealogy: seed 1, founders w = 32, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-1, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 2/42/4 | 0/55/1 | False |
| 1 | 0/42/4 | 0/55/1 | False |
| 2 | 3/42/4 | 0/55/1 | False |
| 3 | 10/42/4 H | 0/55/1 | False |
| 4 | 2/42/4 | 0/55/1 | False |
| 5 | 0/42/4 | 0/55/1 | False |
| 6 | 4/42/4 | 1/55/1 | False |
| 7 | 2/42/4 | 0/55/1 | False |
| 8 | 0/42/4 | 0/55/1 | False |
| 9 | 1/42/4 | 0/55/1 | False |
| 10 | 0/42/4 | 0/55/1 | False |
| 11 | 6/42/4 H | 1/55/1 | False |
| 12 | 8/42/4 H | 0/55/1 | False |
| 13 | 3/42/4 | 0/55/1 | False |
| 14 | 1/42/4 | 0/55/1 | False |
| 15 | 0/42/4 | 0/55/1 | False |
| 16 | 1/42/4 | 0/55/1 | False |
| 17 | 4/42/4 | 0/55/1 | False |
| 18 | 0/42/4 | 0/55/1 | False |
| 19 | 0/42/4 | 0/55/1 | False |

HELD at season 300: 3/20, HELD at season 599: 0/20
NULL seed 1 w 32: HELD at every window season in 0 of 20 replicates
