# RBT-106 null genealogy: seed 1, founders w = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-1, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 10/42/23 | 7/55/17 | False |
| 1 | 15/42/23 | 7/55/17 | False |
| 2 | 9/42/23 | 3/55/17 | False |
| 3 | 8/42/23 | 31/55/17 H | False |
| 4 | 10/42/23 | 7/55/17 | False |
| 5 | 37/42/23 H | 21/55/17 H | True |
| 6 | 14/42/23 | 0/55/17 | False |
| 7 | 10/42/23 | 27/55/17 H | False |
| 8 | 5/42/23 | 0/55/17 | False |
| 9 | 9/42/23 | 17/55/17 | False |
| 10 | 22/42/23 | 4/55/17 | False |
| 11 | 15/42/23 | 11/55/17 | False |
| 12 | 13/42/23 | 0/55/17 | False |
| 13 | 33/42/23 H | 5/55/17 | False |
| 14 | 16/42/23 | 21/55/17 H | False |
| 15 | 6/42/23 | 0/55/17 | False |
| 16 | 9/42/23 | 6/55/17 | False |
| 17 | 11/42/23 | 0/55/17 | False |
| 18 | 7/42/23 | 0/55/17 | False |
| 19 | 11/42/23 | 15/55/17 | False |

HELD at season 300: 2/20, HELD at season 599: 4/20
NULL seed 1 w 1: HELD at every window season in 1 of 20 replicates
