# RBT-106 null genealogy: seed 7, founders w = 1, K = 8, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-7, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 0/7/3 | 0/6/1 | False |
| 1 | 1/7/3 | 0/6/1 | False |
| 2 | 1/7/3 | 0/6/1 | False |
| 3 | 0/7/3 | 0/6/1 | False |
| 4 | 0/7/3 | 0/6/1 | False |
| 5 | 0/7/3 | 4/6/1 H | False |
| 6 | 0/7/3 | 0/6/1 | False |
| 7 | 0/7/3 | 0/6/1 | False |
| 8 | 0/7/3 | 0/6/1 | False |
| 9 | 0/7/3 | 0/6/1 | False |
| 10 | 0/7/3 | 0/6/1 | False |
| 11 | 0/7/3 | 0/6/1 | False |
| 12 | 0/7/3 | 0/6/1 | False |
| 13 | 2/7/3 | 0/6/1 | False |
| 14 | 0/7/3 | 0/6/1 | False |
| 15 | 0/7/3 | 0/6/1 | False |
| 16 | 0/7/3 | 0/6/1 | False |
| 17 | 0/7/3 | 0/6/1 | False |
| 18 | 1/7/3 | 0/6/1 | False |
| 19 | 0/7/3 | 0/6/1 | False |

HELD at season 300: 0/20, HELD at season 599: 1/20
NULL seed 7 w 1 K 8: HELD at every window season in 0 of 20 replicates
