# RBT-106 null genealogy: seed 4, founders w = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-4, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 29/50/25 H | 27/52/11 H | True |
| 1 | 28/50/25 H | 18/52/11 H | True |
| 2 | 39/50/25 H | 11/52/11 | False |
| 3 | 26/50/25 H | 9/52/11 | False |
| 4 | 0/50/25 | 0/52/11 | False |
| 5 | 0/50/25 | 0/52/11 | False |
| 6 | 28/50/25 H | 3/52/11 | False |
| 7 | 31/50/25 H | 8/52/11 | False |
| 8 | 16/50/25 | 2/52/11 | False |
| 9 | 35/50/25 H | 11/52/11 | False |
| 10 | 24/50/25 | 23/52/11 H | False |
| 11 | 23/50/25 | 4/52/11 | False |
| 12 | 29/50/25 H | 5/52/11 | False |
| 13 | 18/50/25 | 18/52/11 H | False |
| 14 | 10/50/25 | 22/52/11 H | False |
| 15 | 33/50/25 H | 15/52/11 H | True |
| 16 | 3/50/25 | 0/52/11 | False |
| 17 | 19/50/25 | 0/52/11 | False |
| 18 | 24/50/25 | 0/52/11 | False |
| 19 | 6/50/25 | 0/52/11 | False |

HELD at season 300: 9/20, HELD at season 599: 6/20
NULL seed 4 w 1: HELD at every window season in 3 of 20 replicates
