# RBT-106 null genealogy: seed 806, founders w = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-806, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 3/45/20 | 1/60/12 | False |
| 1 | 35/45/20 H | 24/60/12 H | True |
| 2 | 16/45/20 | 9/60/12 | False |
| 3 | 32/45/20 H | 24/60/12 H | True |
| 4 | 26/45/20 H | 4/60/12 | False |
| 5 | 2/45/20 | 3/60/12 | False |
| 6 | 7/45/20 | 3/60/12 | False |
| 7 | 6/45/20 | 2/60/12 | False |
| 8 | 17/45/20 | 0/60/12 | False |
| 9 | 0/45/20 | 0/60/12 | False |
| 10 | 12/45/20 | 0/60/12 | False |
| 11 | 22/45/20 H | 19/60/12 H | True |
| 12 | 0/45/20 | 0/60/12 | False |
| 13 | 14/45/20 | 0/60/12 | False |
| 14 | 9/45/20 | 2/60/12 | False |
| 15 | 0/45/20 | 0/60/12 | False |
| 16 | 21/45/20 H | 0/60/12 | False |
| 17 | 11/45/20 | 0/60/12 | False |
| 18 | 22/45/20 H | 11/60/12 | False |
| 19 | 42/45/20 H | 40/60/12 H | True |

HELD at season 300: 7/20, HELD at season 599: 4/20
NULL seed 806 w 1: HELD at every window season in 4 of 20 replicates
